# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.442
metadata : {}


# id : NWRW1800000038.442.1.1
[세법 개정안 합의] 고소득자 9만여명, 所得稅 최대 450만원 늘어

[세법	[/SS+세법/NNG
개정안	개정안/NNG
합의]	합의/NNG+]/SS
고소득자	고소득자/NNG
9만여명,	9/SN+만/NR+여/XSN+명/NNB+,/SP
所得稅	所得稅/SH
최대	최대/NNG
450만원	450/SN+만/NR+원/NNB
늘어	늘/VV+어/EF


# id : NWRW1800000038.442.2.1
소득 課標 1억5000만원 초과, 최고 세율 38% 적용

소득	소득/NNG
課標	課標/SH
1억5000만원	1/SN+억/NR+5000/SN+만/NR+원/NNB
초과,	초과/NNG+,/SP
최고	최고/NNG
세율	세율/NNG
38%	38/SN+%/SW
적용	적용/NNG


# id : NWRW1800000038.442.3.1
내년부터 과세표준(과표)으로 1억5000만원(실제 연봉 기준으론 1억7000만~1억8000만원)을 초과하는 고액 연봉자는 올해보다 소득세가 최대 450만원 늘어난다.

내년부터	내년/NNG+부터/JX
과세표준(과표)으로	과세/NNG+표준/NNG+(/SS+과표/NNG+)/SS+으로/JKB
1억5000만원(실제	1/SN+억/NR+5000/SN+만/NR+원/NNB+(/SS+실제/NNG
연봉	연봉/NNG
기준으론	기준/NNG+으로/JKB+ㄴ/JX
1억7000만~1억8000만원)을	1/SN+억/NR+7000/SN+만/NR+~/SO+1/SN+억/NR+8000/SN+만/NR+원/NNB+)/SS+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
고액	고액/NNG
연봉자는	연봉자/NNG+는/JX
올해보다	올해/NNG+보다/JKB
소득세가	소득세/NNG+가/JKS
최대	최대/NNG
450만원	450/SN+만/NR+원/NNB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.442.4.1
국회 기획재정위원회는 30일 조세소위원회를 열고 소득세 최고 세율(38%) 적용 구간을 기존의 과세표준 '3억원 초과'에서 '1억5000만원 초과'로 바꾸기로 합의했다.

국회	국회/NNG
기획재정위원회는	기획/NNG+재정/NNG+위원회/NNG+는/JX
30일	30/SN+일/NNB
조세소위원회를	조세/NNG+소/XPN+위원회/NNG+를/JKO
열고	열/VV+고/EC
소득세	소득세/NNG
최고	최고/NNG
세율(38%)	세율/NNG+(/SS+38/SN+%/SW+)/SS
적용	적용/NNG
구간을	구간/NNG+을/JKO
