# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.248
metadata : {}


# id : NWRW1800000036.248.1.1
삼성노조, 본관 앞서 첫 합법집회

삼성노조,	삼성노조/NNP+,/SP
본관	본관/NNG
앞서	앞서/MAG
첫	첫/MMN
합법집회	합법/NNG+집회/NNG


# id : NWRW1800000036.248.2.1
[한겨레] ‘유령집회’ 선점에 경찰선 금지통고

[한겨레]	[/SS+한겨레/NNP+]/SS
‘유령집회’	‘/SS+유령/NNG+집회/NNG+’/SS
선점에	선점/NNG+에/JKB
경찰선	경찰/NNG+서/JKB+ㄴ/JX
금지통고	금지/NNG+통고/NNG


# id : NWRW1800000036.248.3.1
법원, 백혈병 사망 추모집회 허용

법원,	법원/NNG+,/SP
백혈병	백혈병/NNG
사망	사망/NNG
추모집회	추모/NNG+집회/NNG
허용	허용/NNG


# id : NWRW1800000036.248.4.1
삼성 본관 앞 노조 집회를 경찰의 금지 통고에도 불구하고 개최할 수 있도록 허용하는 법원의 첫 결정이 나왔다.

삼성	삼성/NNP
본관	본관/NNG
앞	앞/NNG
노조	노조/NNG
집회를	집회/NNG+를/JKO
경찰의	경찰/NNG+의/JKG
금지	금지/NNG
통고에도	통고/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
개최할	개최/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용하는	허용/NNG+하/XSV+는/ETM
법원의	법원/NNG+의/JKG
첫	첫/MMN
결정이	결정/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.248.5.1
23일 서울행정법원 14부(재판장 진창수)는 삼성노조가 서울 서초경찰서장을 상대로 낸 ‘옥외집회 금지통고 처분 취소소송 집행정지 신청’을 받아들여 이날 삼성 본관 앞에서 ‘삼성반도체 백혈병 사망노동자 고 황민웅 7주기 추모집회’를 열도록 허용했다.

23일	23/SN+일/NNB
서울행정법원	서울행정법원/NNP
14부(재판장	14/SN+부/NNG+(/SS+재판장/NNG
진창수)는	진창수/NNP+)/SS+는/JX
삼성노조가	삼성노조/NNP+가/JKS
