# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.108
metadata : {}


# id : NWRW1800000021.108.1.1
美 원자력발전소 다시 뜬다

美	美/SH
원자력발전소	원자력/NNG+발전소/NNG
다시	다시/MAG
뜬다	뜨/VV+ㄴ다/EF


# id : NWRW1800000021.108.2.1
지구온난화에 대한 우려가 높아지면서 미국에서는 원자력발전소(원전)가 새 대안으로 급부상하고 있다.

지구온난화에	지구/NNG+온난/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
높아지면서	높아지/VV+면서/EC
미국에서는	미국/NNP+에서/JKB+는/JX
원자력발전소(원전)가	원자력/NNG+발전소/NNG+(/SS+원전/NNG+)/SS+가/JKS
새	새/MMA
대안으로	대안/NNG+으로/JKB
급부상하고	급부상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.108.2.2
온난화의 주범인 온실가스 배출이 거의 없는 데다 가스나 석유를 연료로 사용하는 화력발전보다 전력생산비용이 획기적으로 낮기 때문이다.

온난화의	온난/NNG+화/XSN+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
온실가스	온실가스/NNG
배출이	배출/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
데다	데/NNB+다/JX
가스나	가스/NNG+나/JC
석유를	석유/NNG+를/JKO
연료로	연료/NNG+로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
화력발전보다	화력/NNG+발전/NNG+보다/JKB
전력생산비용이	전력/NNG+생산/NNG+비용/NNG+이/JKS
획기적으로	획기적/NNG+으로/JKB
낮기	낮/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.108.2.3
원전의 kWh당 전력 생산비용(2005년 기준)은 가스나 석유의 23%, 21%에 불과하다.

원전의	원전/NNG+의/JKG
kWh당	kWh/SW+당/XSN
전력	전력/NNG
생산비용(2005년	생산/NNG+비용/NNG+(/SS+2005/SN+년/NNB
기준)은	기준/NNG+)/SS+은/JX
가스나	가스/NNG+나/JC
석유의	석유/NNG+의/JKG
23%,	23/SN+%/SW+,/SP
21%에	21/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000021.108.3.1
미국에서는 1979년 3월 펜실베이니아 주 스리마일 섬 원전에서 방사능 누출 사고가 발생한 이후 30여 년 동안 사실상 원전 폐기 정책을 펴왔다.

미국에서는	미국/NNP+에서/JKB+는/JX
1979년	1979/SN+년/NNB
3월	3/SN+월/NNB
펜실베이니아	펜실베이니아/NNP
주	주/NNG
스리마일	스리마일/NNP
섬	섬/NNG
원전에서	원전/NNG+에서/JKB
방사능	방사능/NNG
누출	누출/NNG
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
30여	30/SN+여/XSN
년	년/NNB
동안	동안/NNG
사실상	사실/NNG+상/XSN
원전	원전/NNG
폐기	폐기/NNG
정책을	정책/NNG+을/JKO
펴왔다.	펴/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.108.3.2
현재 원자로 104기를 가동하며 전력 생산의 20%를 의존하고 있지만 신규 건설은 엄격히 금지해왔다.

현재	현재/MAG
원자로	원자로/NNG
104기를	104/SN+기/NNB+를/JKO
가동하며	가동/NNG+하/XSV+며/EC
전력	전력/NNG
생산의	생산/NNG+의/JKG
20%를	20/SN+%/SW+를/JKO
의존하고	의존/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
신규	신규/NNG
건설은	건설/NNG+은/JX
엄격히	엄격히/MAG
금지해왔다.	금지/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.108.3.3
최근 미국 정부가 원전에 대한 시각을 바꾸자 원전 업체들은 원자로 26기를 새로 짓기 위한 인허가를 신청하는 등 분위기가 급반전했다.

최근	최근/MAG
미국	미국/NNP
정부가	정부/NNG+가/JKS
원전에	원전/NNG+에/JKB
