# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.64
metadata : {}


# id : NWRW1800000056.64.1.1
신임 미 법무장관도 러시아와 ‘내통’ 의혹

신임	신임/NNG
미	미/NNP
법무장관도	법무/NNG+장관/NNG+도/JX
러시아와	러시아/NNP+와/JKB
‘내통’	‘/SS+내통/NNG+’/SS
의혹	의혹/NNG


# id : NWRW1800000056.64.2.1
[한겨레] 대선 때 러 대사와 두차례 만나

[한겨레]	[/SS+한겨레/NNP+]/SS
대선	대선/NNG
때	때/NNG
러	러/NNP
대사와	대사/NNG+와/JKB
두차례	두/MMN+차례/NNG
만나	만나/VV+아/EF


# id : NWRW1800000056.64.3.1
인준 청문회선 부인해 위증 논란

인준	인준/NNG
청문회선	청문회/NNG+서/JKB+ㄴ/JX
부인해	부인/NNG+하/XSV+아/EC
위증	위증/NNG
논란	논란/NNG


# id : NWRW1800000056.64.4.1
민주당 “장관직 사퇴해야” 공세

민주당	민주당/NNP
“장관직	“/SS+장관직/NNG
사퇴해야”	사퇴/NNG+하/XSV+아야/EC+”/SS
공세	공세/NNG


# id : NWRW1800000056.64.5.1
제프 세션스 미국 법무장관이 지난해 대선 때 도널드 트럼프 캠프에서 활동할 당시 미국 주재 러시아 대사와 두 차례 만나 대화를 나눴던 것으로 드러났다.

제프	제프/NNP
세션스	세션스/NNP
미국	미국/NNP
법무장관이	법무/NNG+장관/NNG+이/JKS
지난해	지난해/NNG
대선	대선/NNG
때	때/NNG
도널드	도널드/NNP
트럼프	트럼프/NNP
캠프에서	캠프/NNG+에서/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
주재	주재/NNG
러시아	러시아/NNP
대사와	대사/NNG+와/JKB
두	두/MMN
차례	차례/NNG
만나	만나/VV+아/EC
대화를	대화/NNG+를/JKO
나눴던	나누/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.5.2
세션스 장관은 상원 인준 청문회에서 러시아 쪽과 접촉한 적이 없다고 말해 위증 논란까지 일고 있으며, 민주당은 그의 법무장관직 사퇴를 촉구했다.

세션스	세션스/NNP
장관은	장관/NNG+은/JX
상원	상원/NNG
인준	인준/NNG
청문회에서	청문회/NNG+에서/JKB
러시아	러시아/NNP
쪽과	쪽/NNB+과/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다고	없/VA+다고/EC
말해	말/NNG+하/XSV+아/EC
위증	위증/NNG
논란까지	논란/NNG+까지/JX
일고	일/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
민주당은	민주당/NNP+은/JX
그의	그/NP+의/JKG
법무장관직	법무/NNG+장관직/NNG
사퇴를	사퇴/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.6.1
<워싱턴 포스트>는 1일 세션스 장관이 트럼프 캠프에 합류한 뒤인 지난 7월과 9월 미국 주재 러시아 대사인 세르게이 키슬랴크를 만나 대화를 나눴다고 보도했다.

<워싱턴	</SS+워싱턴/NNP
포스트>는	포스트/NNG+>/SS+는/JX
1일	1/SN+일/NNB
세션스	세션스/NNP
장관이	장관/NNG+이/JKS
트럼프	트럼프/NNP
캠프에	캠프/NNG+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
7월과	7/SN+월/NNB+과/JC
9월	9/SN+월/NNB
미국	미국/NNP
주재	주재/NNG
러시아	러시아/NNP
대사인	대사/NNG+이/VCP+ㄴ/ETM
세르게이	세르게이/NNP
키슬랴크를	키슬랴크/NNP+를/JKO
만나	만나/VV+아/EC
대화를	대화/NNG+를/JKO
나눴다고	나누/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.64.6.2
세션스 장관은 당시 상원 군사위원회 위원이었으면 트럼프 캠프의 외교정책 자문이었다.

세션스	세션스/NNP
장관은	장관/NNG+은/JX
당시	당시/NNG
상원	상원/NNG
군사위원회	군사/NNG+위원회/NNG
위원이었으면	위원/NNG+이/VCP+었/EP+으면/EC
트럼프	트럼프/NNP
캠프의	캠프/NNG+의/JKG
외교정책	외교/NNG+정책/NNG
자문이었다.	자문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.64.6.3
