# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.395
metadata : {}


# id : NWRW1800000049.395.1.1
[수도권]‘지옥철’ 9호선 열차 늘린다

[수도권]‘지옥철’	[/SS+수도/NNG+권/XSN+]/SS+‘/SS+지옥철/NNG+’/SS
9호선	9/SN+호선/NNB
열차	열차/NNG
늘린다	늘리/VV+ㄴ다/EF


# id : NWRW1800000049.395.2.1
8월부터 32량 투입 등… 2018년까지 150량 추가

8월부터	8/SN+월/NNB+부터/JX
32량	32/SN+량/NNB
투입	투입/NNG
등…	등/NNB+…/SE
2018년까지	2018/SN+년/NNB+까지/JX
150량	150/SN+량/NNB
추가	추가/NNG


# id : NWRW1800000049.395.3.1
서울시가 지하철 9호선의 혼잡 완화를 위해 운행 열차를 추가로 투입하기로 했다.

서울시가	서울시/NNP+가/JKS
지하철	지하철/NNG
9호선의	9/SN+호선/NNB+의/JKG
혼잡	혼잡/NNG
완화를	완화/NNG+를/JKO
위해	위하/VV+아/EC
운행	운행/NNG
열차를	열차/NNG+를/JKO
추가로	추가/NNG+로/JKB
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.395.3.2
2009년 1단계, 2015년 2단계가 개통된 지하철 9호선은 다른 노선보다 차량이 적어 출퇴근 때 극심한 혼잡을 빚어 왔다.

2009년	2009/SN+년/NNB
1단계,	1/SN+단계/NNG+,/SP
2015년	2015/SN+년/NNB
2단계가	2/SN+단계/NNG+가/JKS
개통된	개통/NNG+되/XSV+ㄴ/ETM
지하철	지하철/NNG
9호선은	9/SN+호선/NNB+은/JX
다른	다른/MMD
노선보다	노선/NNG+보다/JKB
차량이	차량/NNG+이/JKS
적어	적/VA+어/EC
출퇴근	출퇴근/NNG
때	때/NNG
극심한	극심하/VA+ㄴ/ETM
혼잡을	혼잡/NNG+을/JKO
빚어	빚/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.395.3.3
지하철 2호선은 한 열차가 10량으로 구성되지만 지하철 9호선은 4량에 불과하다.

지하철	지하철/NNG
