# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.234
metadata : {}


# id : NWRW1800000022.234.1.1
['입학사정관제 원조' 미국 현지를 가다]"한국은 지나치게 공정성 집착";윌리엄스 칼리지 26세 한국인 입학사정관 임슬기씨

['입학사정관제	[/SS+'/SS+입학/NNG+사정관/NNG+제/XSN
원조'	원조/NNG+'/SS
미국	미국/NNP
현지를	현지/NNG+를/JKO
가다]"한국은	가/VV+다/EF+]/SS+"/SS+한국/NNP+은/JX
지나치게	지나치/VA+게/EC
공정성	공정/NNG+성/XSN
집착";윌리엄스	집착/NNG+"/SS+;/SW+윌리엄스/NNP
칼리지	칼리지/NNP
26세	26/SN+세/NNB
한국인	한국인/NNG
입학사정관	입학/NNG+사정관/NNG
임슬기씨	임슬기/NNP+씨/NNB


# id : NWRW1800000022.234.2.1
미국 대학들은 공정하다고 '생각되는' 공통의 기준을 만들기보다는, 저마다 다른 전통과 환경, 가치에 맞는 학생을 뽑는 데 집중합니다.

미국	미국/NNP
대학들은	대학/NNG+들/XSN+은/JX
공정하다고	공정/NNG+하/XSA+다고/EC
'생각되는'	'/SS+생각/NNG+되/XSV+는/ETM+'/SS
공통의	공통/NNG+의/JKG
기준을	기준/NNG+을/JKO
만들기보다는,	만들/VV+기/ETN+보다/JKB+는/JX+,/SP
저마다	저마다/MAG
다른	다르/VA+ㄴ/ETM
전통과	전통/NNG+과/JC
환경,	환경/NNG+,/SP
가치에	가치/NNG+에/JKB
맞는	맞/VV+는/ETM
학생을	학생/NNG+을/JKO
뽑는	뽑/VV+는/ETM
데	데/NNB
집중합니다.	집중/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000022.234.3.1
미 매사추세츠주의 학부 중심 대학인 윌리엄스 칼리지에서 3년째 입학사정관으로 일하는 임슬기(26)씨는 "미국 대학들은 기계적이고 평면적인 공정성을 유지하는 데 집착하지 않는다"고 말했다.

미	미/NNP
매사추세츠주의	매사추세츠주/NNP+의/JKG
학부	학부/NNG
중심	중심/NNG
대학인	대학/NNG+이/VCP+ㄴ/ETM
윌리엄스	윌리엄스/NNP
칼리지에서	칼리지/NNP+에서/JKB
3년째	3/SN+년/NNB+째/XSN
입학사정관으로	입학/NNG+사정관/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
임슬기(26)씨는	임슬기/NNP+(/SS+26/SN+)/SS+씨/NNB+는/JX
"미국	"/SS+미국/NNP
대학들은	대학/NNG+들/XSN+은/JX
기계적이고	기계/NNG+적/XSN+이/VCP+고/EC
평면적인	평면/NNG+적/XSN+이/VCP+ㄴ/ETM
공정성을	공정/NNG+성/XSN+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
데	데/NNB
집착하지	집착/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.234.3.2
윌리엄스 칼리지는 미 주간지 US 뉴스 앤드 월드리포트의 학부 중심 대학(liberal arts college) 부문 평가에서 6년째 1위를 차지하는 명문대다.

윌리엄스	윌리엄스/NNP
칼리지는	칼리지/NNP+는/JX
미	미/NNP
주간지	주간지/NNG
US	US/SL
뉴스	뉴스/NNP
앤드	앤드/NNP
월드리포트의	월드리포트/NNP+의/JKG
학부	학부/NNG
중심	중심/NNG
대학(liberal	대학/NNG+(/SS+liberal/SL
arts	arts/SL
college)	college/SL+)/SS
부문	부문/NNG
평가에서	평가/NNG+에서/JKB
6년째	6/SN+년/NNB+째/XSN
1위를	1/SN+위/NNB+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
명문대다.	명문대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.234.3.3
임씨는 2002년 서울 한영외고를 졸업한 뒤 이 학교에 진학했으며, 졸업 후 다국적 컨설팅사에 다니다 2007년 가을부터 모교로 돌아왔다.

임씨는	임/NNP+씨/NNB+는/JX
2002년	2002/SN+년/NNB
서울	서울/NNP
한영외고를	한영외고/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
학교에	학교/NNG+에/JKB
진학했으며,	진학/NNG+하/XSV+았/EP+으며/EC+,/SP
졸업	졸업/NNG
후	후/NNG
다국적	다국적/NNG
컨설팅사에	컨설팅사/NNG+에/JKB
다니다	다니/VV+다/EC
2007년	2007/SN+년/NNB
가을부터	가을/NNG+부터/JX
모교로	모교/NNG+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.234.3.4
한국과 미국의 입시 제도를 모두 겪어 본 미국 대학 입학사정관인 셈이다.

한국과	한국/NNP+과/JC
미국의	미국/NNP+의/JKG
입시	입시/NNG
제도를	제도/NNG+를/JKO
모두	모두/MAG
겪어	겪/VV+어/EC
본	보/VX+ㄴ/ETM
미국	미국/NNP
대학	대학/NNG
입학사정관인	입학/NNG+사정관/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.234.4.1
임씨는 "한국 대학들이 입학사정관제를 하려면 재정·시간·노력이 많이 들어가지만, 선발 절차와 결과에 대한 여론의 반발이 만만치 않을 것"이라고 말했다.

임씨는	임/NNP+씨/NNB+는/JX
"한국	"/SS+한국/NNP
대학들이	대학/NNG+들/XSN+이/JKS
입학사정관제를	입학/NNG+사정관/NNG+제/XSN+를/JKO
하려면	하/VV+려면/EC
재정·시간·노력이	재정/NNG+·/SP+시간/NNG+·/SP+노력/NNG+이/JKS
많이	많이/MAG
들어가지만,	들어가/VV+지만/EC+,/SP
선발	선발/NNG
절차와	절차/NNG+와/JC
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여론의	여론/NNG+의/JKG
반발이	반발/NNG+이/JKS
만만치	만만하/VA+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.234.4.2
그는 실제로 입학사정관제를 도입하려는 한국의 대학들이 가장 많이 묻는 것이 "입시 부정을 막을 윤리적 안전장치"였다며, "공정성에 지나치게 집착하는 것 같다"고 말했다.

그는	그/NP+는/JX
실제로	실제로/MAG
입학사정관제를	입학/NNG+사정관/NNG+제/XSN+를/JKO
도입하려는	도입/NNG+하/XSV+려는/ETM
한국의	한국/NNP+의/JKG
대학들이	대학/NNG+들/XSN+이/JKS
가장	가장/MAG
많이	많이/MAG
묻는	묻/VV+는/ETM
것이	것/NNB+이/JKS
"입시	"/SS+입시/NNG
부정을	부정/NNG+을/JKO
막을	막/VV+을/ETM
윤리적	윤리/NNG+적/XSN
안전장치"였다며,	안전장치/NNG+"/SS+이/VCP+었/EP+다며/EC+,/SP
"공정성에	"/SS+공정/NNG+성/XSN+에/JKB
지나치게	지나치/VA+게/EC
집착하는	집착/NNG+하/XSV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.234.4.3
보통 '객관적'이라고 여기는 고교 성적도 사실 부모의 소득에 매우 큰 영향을 받는 것이 사실이어서, 어떠한 것도 '완벽하게 공정한' 기준이 될 수는 없다는 설명이다.

보통	보통/MAG
'객관적'이라고	'/SS+객관/NNG+적/XSN+'/SS+이라고/JKQ
여기는	여기/VV+는/ETM
고교	고교/NNG
성적도	성적/NNG+도/JX
사실	사실/MAG
부모의	부모/NNG+의/JKG
소득에	소득/NNG+에/JKB
매우	매우/MAG
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
사실이어서,	사실/NNG+이/VCP+어서/EC+,/SP
어떠한	어떠하/VA+ㄴ/ETM
것도	것/NNB+도/JX
'완벽하게	'/SS+완벽/NNG+하/XSA+게/EC
공정한'	공정/NNG+하/XSA+ㄴ/ETM+'/SS
기준이	기준/NNG+이/JKC
될	되/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다는	없/VA+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.234.5.1
임씨는 "한국에서 입학사정관 제도가 성공적으로 정착하려면, 이 제도를 통해 이전과 어떻게 다른 학생들을 뽑을 것인지를 우선 구체적으로 고민해야 한다. 그리고 그 목표를 위해서 어떤 제도를 갖출 것인지 생각해야 한다"는 의견을 냈다.

임씨는	임/NNP+씨/NNB+는/JX
"한국에서	"/SS+한국/NNP+에서/JKB
입학사정관	입학/NNG+사정관/NNG
제도가	제도/NNG+가/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
정착하려면,	정착/NNG+하/XSV+려면/EC+,/SP
이	이/MMD
제도를	제도/NNG+를/JKO
통해	통하/VV+아/EC
이전과	이전/NNG+과/JKB
어떻게	어떻/VA+게/EC
다른	다르/VA+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
뽑을	뽑/VV+을/ETM
것인지를	것/NNB+이/VCP+ㄴ지/EF+를/JKO
우선	우선/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
고민해야	고민/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
그리고	그리고/MAJ
그	그/MMD
목표를	목표/NNG+를/JKO
위해서	위하/VV+아서/EC
어떤	어떤/MMD
갖출	갖추/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
생각해야	생각/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
의견을	의견/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


