# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.47
metadata : {}


# id : NWRW1800000029.47.1.1
제4이통, 中企 젖줄 될까

제4이통,	제/XPN+4/SN+이통/NNG+,/SP
中企	中企/SH
젖줄	젖줄/NNG
될까	되/VV+ㄹ까/EF


# id : NWRW1800000029.47.2.1
중기중앙회, 4세대 이동통신 진출하기로… “통신장비中企 주주로 참여… 국민주 검토”

중기중앙회,	중기중앙회/NNP+,/SP
4세대	4/SN+세대/NNG
이동통신	이동/NNG+통신/NNG
진출하기로…	진출/NNG+하/XSV+기/ETN+로/JKB+…/SE
“통신장비中企	“/SS+통신/NNG+장비/NNG+中企/SH
주주로	주주/NNG+로/JKB
참여…	참여/NNG+…/SE
국민주	국민주/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000029.47.3.1
망 구축에만 1조… 일각선 자금력에 의문

망	망/NNG
구축에만	구축/NNG+에/JKB+만/JX
1조…	1/SN+조/NR+…/SE
일각선	일각/NNG+서/JKB+ㄴ/JX
자금력에	자금력/NNG+에/JKB
의문	의문/NNG


# id : NWRW1800000029.47.4.1
중소기업중앙회가 홈쇼핑에 이어 제4이동통신 사업에도 진출하기로 18일 확정했다.

중소기업중앙회가	중소기업/NNG+중앙회/NNG+가/JKS
홈쇼핑에	홈쇼핑/NNG+에/JKB
이어	잇/VV+어/EC
제4이동통신	제/XPN+4/SN+이동/NNG+통신/NNG
사업에도	사업/NNG+에/JKB+도/JX
진출하기로	진출/NNG+하/XSV+기/ETN+로/JKB
18일	18/SN+일/NNB
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.47.4.2
그러나 기업계 일각에선 중소기업들의 자금력에 의문을 제기하고 있어 중기중앙회가 최종 사업권을 따낼 수 있을지 주목된다.

그러나	그러나/MAJ
기업계	기업/NNG+계/XSN
일각에선	일각/NNG+에서/JKB+ㄴ/JX
중소기업들의	중소기업/NNG+들/XSN+의/JKG
자금력에	자금력/NNG+에/JKB
의문을	의문/NNG+을/JKO
제기하고	제기/NNG+하/XSV+고/EC
있어	있/VX+어/EC
중기중앙회가	중기중앙회/NNP+가/JKS
최종	최종/NNG
사업권을	사업/NNG+권/XSN+을/JKO
따낼	따내/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.47.5.1
이날 중기중앙회는 서울 여의도 본부에서 임시 이사회를 열어 ‘제4이동통신 사업자 선정 참여 및 출자안’을 의결했다.

이날	이날/NNG
중기중앙회는	중기중앙회/NNP+는/JX
서울	서울/NNP
여의도	여의도/NNP
본부에서	본부/NNG+에서/JKB
임시	임시/NNG
이사회를	이사회/NNG+를/JKO
열어	열/VV+어/EC
‘제4이동통신	‘/SS+제/XPN+4/SN+이동/NNG+통신/NNG
사업자	사업자/NNG
선정	선정/NNG
참여	참여/NNG
및	및/MAG
출자안’을	출자/NNG+안/NNG+’/SS+을/JKO
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.47.5.2
총 6500억 원의 초기 자본금 가운데 중기중앙회는 1000억 원 이내로 부담하며 나머지는 벤처기업협회와 이노비즈협회 등 중소기업 단체와 900여 개 중기 협동조합 등을 참여시켜 채울 계획이다.

총	총/MMA
6500억	6500/SN+억/NR
원의	원/NNB+의/JKG
초기	초기/NNG
자본금	자본금/NNG
가운데	가운데/NNG
중기중앙회는	중기중앙회/NNP+는/JX
1000억	1000/SN+억/NR
원	원/NNB
이내로	이내/NNG+로/JKB
부담하며	부담/NNG+하/XSV+며/EC
나머지는	나머지/NNG+는/JX
벤처기업협회와	벤처기업협회/NNP+와/JC
이노비즈협회	이노비즈협회/NNP
등	등/NNB
중소기업	중소기업/NNG
단체와	단체/NNG+와/JC
900여	900/SN+여/XSN
개	개/NNB
중기	중기/NNG
협동조합	협동조합/NNG
등을	등/NNB+을/JKO
참여시켜	참여/NNG+시키/XSV+어/EC
채울	채우/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.47.6.1
제4이동통신은 기존 3세대(3G)망이 아닌 4세대(4G) 와이브로를 활용해 통신요금을 30% 이상 낮출 수 있다.

제4이동통신은	제/XPN+4/SN+이동/NNG+통신/NNG+은/JX
기존	기존/NNG
3세대(3G)망이	3/SN+세대/NNG+(/SS+3/SN+G/SL+)/SS+망/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
4세대(4G)	4/SN+세대/NNG+(/SS+4/SN+G/SL+)/SS
와이브로를	와이브로/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
통신요금을	통신/NNG+요금/NNG+을/JKO
30%	30/SN+%/SW
이상	이상/NNG
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.47.6.2
이와 관련해 최시중 방송통신위원장은 통신비 절감을 위해 올해 안으로 4세대 이통 사업자 선정을 마치겠다는 뜻을 밝힌 바 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
최시중	최시중/NNP
방송통신위원장은	방송/NNG+통신/NNG+위원장/NNG+은/JX
통신비	통신비/NNG
절감을	절감/NNG+을/JKO
위해	위하/VV+아/EC
올해	올해/NNG
안으로	안/NNG+으로/JKB
4세대	4/SN+세대/NNG
이통	이통/NNG
사업자	사업자/NNG
선정을	선정/NNG+을/JKO
마치겠다는	마치/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.47.6.3
