# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.219
metadata : {}


# id : NWRW1800000046.219.1.1
34타석만에… '姜砲(강포)' 터졌다

34타석만에…	34/SN+타석/NNG+만/NNB+에/JKB+…/SE
'姜砲(강포)'	'/SS+姜砲/SH+(/SS+강포/NNG+)/SS+'/SS
터졌다	터지/VV+었/EP+다/EF


# id : NWRW1800000046.219.2.1
강정호, MLB 첫 홈런 신고… '한국인 3인방' 꽃피는 5월

강정호,	강정호/NNP+,/SP
MLB	MLB/SL
첫	첫/MMN
홈런	홈런/NNG
신고…	신고/NNG+…/SE
'한국인	'/SS+한국인/NNG
3인방'	3인방/NNG+'/SS
꽃피는	꽃피/VV+는/ETM
5월	5/SN+월/NNB


# id : NWRW1800000046.219.3.1
'잔인한 4월'을 보낸 한국인 메이저리거 3인방이 5월 들어 움츠렸던 기지개를 켜고 있다.

'잔인한	'/SS+잔인/NNG+하/XSA+ㄴ/ETM
4월'을	4/SN+월/NNB+'/SS+을/JKO
보낸	보내/VV+ㄴ/ETM
한국인	한국인/NNG
메이저리거	메이저리거/NNG
3인방이	3인방/NNG+이/JKS
5월	5/SN+월/NNB
들어	들/VV+어/EC
움츠렸던	움츠리/VV+었/EP+던/ETM
기지개를	기지개/NNG+를/JKO
켜고	켜/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.219.4.1
올 시즌 MLB 무대에 입성한 강정호(28·피츠버그 파이리츠)는 4일(한국 시각) 미국 미주리주 부시스타디움에서 열린 세인트루이스 카디널스와의 원정 경기에서 메이저리그 데뷔 홈런을 신고했다.

올	올/NNG
시즌	시즌/NNG
MLB	MLB/SL
무대에	무대/NNG+에/JKB
입성한	입성/NNG+하/XSV+ㄴ/ETM
강정호(28·피츠버그	강정호/NNP+(/SS+28/SN+·/SP+피츠버그/NNP
파이리츠)는	파이리츠/NNP+)/SS+는/JX
4일(한국	4/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
미국	미국/NNP
미주리주	미주리주/NNP
부시스타디움에서	부시스타디움/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세인트루이스	세인트루이스/NNP
카디널스와의	카디널스/NNP+와/JKB+의/JKG
원정	원정/NNG
경기에서	경기/NNG+에서/JKB
메이저리그	메이저리그/NNG
데뷔	데뷔/NNG
홈런을	홈런/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.4.2
추신수(33·텍사스 레인저스)는 3경기 연속 장타 행진을 이어갔다.

추신수(33·텍사스	추신수/NNP+(/SS+33/SN+·/SP+텍사스/NNP
레인저스)는	레인저스/NNP+)/SS+는/JX
3경기	3/SN+경기/NNG
연속	연속/NNG
장타	장타/NNG
행진을	행진/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.219.4.3
류현진(28·LA다저스)도 마운드 복귀를 위한 일정을 순조롭게 소화하고 있다.

류현진(28·LA다저스)도	류현진/NNP+(/SS+28/SN+·/SP+LA/SL+다저스/NNP+)/SS+도/JX
마운드	마운드/NNG
복귀를	복귀/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
일정을	일정/NNG+을/JKO
순조롭게	순조/NNG+롭/XSA+게/EC
소화하고	소화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.219.5.1
◇드디어 터진 대포

◇드디어	◇/SW+드디어/MAG
터진	터지/VV+ㄴ/ETM
대포	대포/NNG


# id : NWRW1800000046.219.6.1
이날 7번 타자 겸 3루수로 선발 출전한 강정호는 9회초 카디널스 트레버 로젠탈의 초구 커브(시속 약 132㎞)를 두들겨 좌중간 담장을 넘겼다.

이날	이날/NNG
7번	7/SN+번/NNB
타자	타자/NNG
겸	겸/NNB
3루수로	3루수/NNG+로/JKB
선발	선발/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
강정호는	강정호/NNP+는/JX
9회초	9/SN+회/NNB+초/NNB
카디널스	카디널스/NNP
트레버	트레버/NNP
로젠탈의	로젠탈/NNP+의/JKG
초구	초구/NNG
커브(시속	커브/NNG+(/SS+시속/NNG
약	약/MMA
132㎞)를	132/SN+㎞/SW+)/SS+를/JKO
두들겨	두들기/VV+어/EC
좌중간	좌중간/NNG
담장을	담장/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.219.6.2
1―1로 균형을 맞추는 동점 솔로 홈런이었다.

1―1로	1/SN+―/SS+1/SN+로/JKB
균형을	균형/NNG+을/JKO
맞추는	맞추/VV+는/ETM
동점	동점/NNG
솔로	솔로/NNG
홈런이었다.	홈런/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.219.6.3
MLB닷컴은 "첫 홈런을 드라마틱(dramatic)한 순간에 쏘아 올렸다"고 표현했다.

MLB닷컴은	MLB닷컴/NNG+은/JX
"첫	"/SS+첫/MMN
홈런을	홈런/NNG+을/JKO
드라마틱(dramatic)한	드라마틱/NNG+(/SS+dramatic/SL+)/SS+하/XSA+ㄴ/ETM
순간에	순간/NNG+에/JKB
쏘아	쏘/VV+아/EC
올렸다"고	올리/VV+었/EP+다/EF+"/SS+고/JKQ
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.219.6.4
15경기 34타석 만에 기록한 비거리 127m짜리 대형 대포이기도 했다.

15경기	15/SN+경기/NNG
34타석	34/SN+타석/NNG
만에	만/NNB+에/JKB
기록한	기록/NNG+하/XSV+ㄴ/ETM
비거리	비거리/NNG
127m짜리	127/SN+m/SW+짜리/XSN
대형	대형/NNG
대포이기도	대포/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.219.6.5
로젠탈은 지난해 내셔널리그 세이브 부문 2위(45세이브)를 했던 정상급 마무리 투수다.

로젠탈은	로젠탈/NNP+은/JX
지난해	지난해/NNG
내셔널리그	내셔널리그/NNG
세이브	세이브/NNG
