# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.241
metadata : {}


# id : NWRW1800000046.241.1.1
우즈 웁스(oops:이크·감탄사) 입스(yips:샷 실패 불안증세)… 2015 놀라운 골프뉴스 1위

우즈	우즈/NNP
웁스(oops:이크·감탄사)	웁스/NNG+(/SS+oops/SL+:/SP+이크/IC+·/SP+감탄사/NNG+)/SS
입스(yips:샷	입스/NNG+(/SS+yips/SL+:/SP+샷/NNG
실패	실패/NNG
불안증세)…	불안/NNG+증세/NNG+)/SS+…/SE
2015	2015/SN
놀라운	놀랍/VA+ㄴ/ETM
골프뉴스	골프/NNG+뉴스/NNG
1위	1/SN+위/NNB


# id : NWRW1800000046.241.2.1
원숭이도 나무에서 떨어지더라… 호랑이를 동네골퍼로 만든 불안감

원숭이도	원숭이/NNG+도/JX
나무에서	나무/NNG+에서/JKB
떨어지더라…	떨어지/VV+더라/EF+…/SE
호랑이를	호랑이/NNG+를/JKO
동네골퍼로	동네/NNG+골퍼/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
불안감	불안감/NNG


# id : NWRW1800000046.241.3.1
타이거 우즈의 칩샷 입스(yips·샷 실패 불안 증세)가 미국 골프 채널이 꼽은 '2015년 골프계에서 가장 놀라운 뉴스 10(Top 10 Surprises)' 1위에 올랐다.

타이거	타이거/NNP
우즈의	우즈/NNP+의/JKG
칩샷	칩샷/NNG
입스(yips·샷	입스/NNG+(/SS+yips/SL+·/SP+샷/NNG
실패	실패/NNG
불안	불안/NNG
증세)가	증세/NNG+)/SS+가/JKS
미국	미국/NNP
골프	골프/NNG
채널이	채널/NNG+이/JKS
꼽은	꼽/VV+은/ETM
'2015년	'/SS+2015/SN+년/NNB
골프계에서	골프/NNG+계/XSN+에서/JKB
가장	가장/MAG
놀라운	놀랍/VA+ㄴ/ETM
뉴스	뉴스/NNG
10(Top	10/SN+(/SS+Top/SL
10	10/SN
Surprises)'	Surprises/SL+)/SS+'/SS
1위에	1/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.4.1
우즈는 올 2월 피닉스오픈에서 프로 데뷔 최악의 스코어(2라운드 82타)를 기록하며 컷 탈락했다.

우즈는	우즈/NNP+는/JX
올	올/NNG
2월	2/SN+월/NNB
피닉스오픈에서	피닉스오픈/NNG+에서/JKB
프로	프로/NNG
데뷔	데뷔/NNG
최악의	최악/NNG+의/JKG
스코어(2라운드	스코어/NNG+(/SS+2/SN+라운드/NNG
82타)를	82/SN+타/NNG+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
컷	컷/NNG
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.4.2
이어진 파머스 인슈어런스오픈 1라운드에서도 실수를 연발하다 기권했다.

이어진	이어지/VV+ㄴ/ETM
파머스	파머스/NNP
인슈어런스오픈	인슈어런스오픈/NNG
1라운드에서도	1/SN+라운드/NNG+에서/JKB+도/JX
실수를	실수/NNG+를/JKO
연발하다	연발/NNG+하/XSV+다/EC
기권했다.	기권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.4.3
칩샷을 하다 뒤땅을 치거나 홈런을 날려 '우즈에게 칩샷 입스가 온 것 같다'는 지적이 쏟아졌다.

칩샷을	칩샷/NNG+을/JKO
하다	하/VV+다/EC
뒤땅을	뒤땅/NNG+을/JKO
치거나	치/VV+거나/EC
홈런을	홈런/NNG+을/JKO
날려	날리/VV+어/EC
'우즈에게	'/SS+우즈/NNP+에게/JKB
칩샷	칩샷/NNG
입스가	입스/NNG+가/JKS
온	오/VV+ㄴ/ETM
것	것/NNB
같다'는	같/VA+다/EF+'/SS+는/ETM
지적이	지적/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.241.4.4
마치 물고기가 수영하는 법을 잊어버린 것처럼 우즈가 어쩔 줄 몰라 하는 모습에 팬들도 놀랐다.

마치	마치/MAG
물고기가	물고기/NNG+가/JKS
수영하는	수영/NNG+하/XSV+는/ETM
법을	법/NNB+을/JKO
잊어버린	잊어버리/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
우즈가	우즈/NNP+가/JKS
어쩔	어쩌/VV+ㄹ/ETM
줄	줄/NNB
몰라	모르/VV+아/EC
하는	하/VX+는/ETM
모습에	모습/NNG+에/JKB
팬들도	팬/NNG+들/XSN+도/JX
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.4.5
우즈는 스윙 코치를 바꾸면서 생긴 일시적 현상이라고 설명했지만 전문가들은 "지나치게 스윙 메커니즘에 얽매이다 이 지경까지 됐다"고 비판했다.

우즈는	우즈/NNP+는/JX
스윙	스윙/NNG
코치를	코치/NNG+를/JKO
바꾸면서	바꾸/VV+면서/EC
생긴	생기/VV+ㄴ/ETM
일시적	일시/NNG+적/XSN
현상이라고	현상/NNG+이/VCP+라고/EC
설명했지만	설명/NNG+하/XSV+았/EP+지만/EC
전문가들은	전문가/NNG+들/XSN+은/JX
"지나치게	"/SS+지나치/VA+게/EC
메커니즘에	메커니즘/NNG+에/JKB
얽매이다	얽매이/VV+다/EC
이	이/MMD
지경까지	지경/NNB+까지/JX
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.241.4.6
허리 수술로 일찌감치 시즌을 접어 우즈의 입스 논란은 더 이상 확산되지는 않았다.

허리	허리/NNG
수술로	수술/NNG+로/JKB
일찌감치	일찌감치/MAG
시즌을	시즌/NNG+을/JKO
접어	접/VV+어/EC
우즈의	우즈/NNP+의/JKG
입스	입스/NNG
논란은	논란/NNG+은/JX
더	더/MAG
이상	이상/NNG
확산되지는	확산/NNG+되/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.241.5.1
입스는 샷을 하기도 전에 실패에 대한 두려움으로 나타나는 각종 불안 증세를 뜻한다.

입스는	입스/NNG+는/JX
샷을	샷/NNG+을/JKO
