# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.424
metadata : {}


# id : NWRW1800000054.424.1.1
"기업 생산성 높이는 혁신성장엔 노동개혁과 규제개혁이 꼭 필요… 진보 정부가 노조와 '딜' 나서야"

"기업	"/SS+기업/NNG
정책은	정책/NNG+은/JX
수출	수출/NNG
기업과	기업/NNG+과/JC
내수	내수/NNG
기업에	기업/NNG+에/JKB
달리	달리/MAG
적용해야	적용/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.424.10.2
수출 기업은 글로벌 경쟁에서 이겨야 하기 때문에 임금 등에 대해 시장 원리대로 할 수밖에 없다.

수출	수출/NNG
기업은	기업/NNG+은/JX
글로벌	글로벌/NNG
경쟁에서	경쟁/NNG+에서/JKB
이겨야	이기/VV+어야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
임금	임금/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
시장	시장/NNG
원리대로	원리/NNG+대로/JX
할	하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.424.10.3
반면 내수 기업은 그렇지 않다.

반면	반면/NNG
내수	내수/NNG
기업은	기업/NNG+은/JX
그렇지	그렇/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.424.10.4
고용을 중요한 기준으로 삼아야 한다.

고용을	고용/NNG+을/JKO
중요한	중요/NNG+하/XSA+ㄴ/ETM
기준으로	기준/NNG+으로/JKB
삼아야	삼/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.424.10.5
최저임금도 수출 기업과 내수 기업에 차등을 두는 게 바람직하다."

최저임금도	최저/NNG+임금/NNG+도/JX
수출	수출/NNG
기업과	기업/NNG+과/JC
내수	내수/NNG
기업에	기업/NNG+에/JKB
차등을	차등/NNG+을/JKO
두는	두/VV+는/ETM
게	거/NNB+이/JKS
바람직하다."	바람직하/VA+다/EF+./SF+"/SS


# id : NWRW1800000054.424.11.1
-대기업 정책은 어떤 방향으로 가야 하나.

-대기업	-/SO+대/XPN+기업/NNG
정책은	정책/NNG+은/JX
어떤	어떤/MMD
방향으로	방향/NNG+으로/JKB
가야	가/VV+아야/EC
하나.	하/VX+나/EF+./SF


# id : NWRW1800000054.424.12.1
"대기업의 순기능을 살려야 한다.

"대기업의	"/SS+대/XPN+기업/NNG+의/JKG
순기능을	순기능/NNG+을/JKO
살려야	살리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.424.12.2
글로벌 시장에서 경쟁력을 갖고 돈을 벌어들이는 것이 반드시 필요하다.

글로벌	글로벌/NNG
시장에서	시장/NNG+에서/JKB
경쟁력을	경쟁력/NNG+을/JKO
갖고	갖/VV+고/EC
돈을	돈/NNG+을/JKO
벌어들이는	벌어들이/VV+는/ETM
것이	것/NNB+이/JKS
반드시	반드시/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.424.12.3
대기업이 성장에 기여하는 역할을 정부가 뒷받침해야 한다.

대기업이	대/XPN+기업/NNG+이/JKS
성장에	성장/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
정부가	정부/NNG+가/JKS
뒷받침해야	뒷받침/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.424.12.4
다만 과거처럼 정부가 대기업에 특혜를 줘서는 안 된다.

다만	다만/MAG
과거처럼	과거/NNG+처럼/JKB
정부가	정부/NNG+가/JKS
대기업에	대/XPN+기업/NNG+에/JKB
특혜를	특혜/NNG+를/JKO
줘서는	주/VV+어서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.424.12.5
대기업도 불법, 불합리한 경영 방식을 없애야 한다.

대기업도	대/XPN+기업/NNG+도/JX
불법,	불법/NNG+,/SP
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
경영	경영/NNG
방식을	방식/NNG+을/JKO
없애야	없애/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.424.12.6
대기업이 벌어들인 소득이 고용이나 투자를 통해 국내로 환원돼야 한다."

대기업이	대/XPN+기업/NNG+이/JKS
벌어들인	벌어들이/VV+ㄴ/ETM
소득이	소득/NNG+이/JKS
고용이나	고용/NNG+이나/JC
투자를	투자/NNG+를/JKO
통해	통하/VV+아/EC
국내로	국내/NNG+로/JKB
환원돼야	환원/NNG+되/XSV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.424.13.1
-정부가 최근 혁신 성장도 강조하고 있다.

-정부가	-/SO+정부/NNG+가/JKS
최근	최근/NNG
혁신	혁신/NNG
성장도	성장/NNG+도/JX
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.424.13.2
문재인 정부의 경제 정책이 언제쯤 효과를 나타낼 것으로 보나.

문재인	문재인/NNP
정부의	정부/NNG+의/JKG
경제	경제/NNG
정책이	정책/NNG+이/JKS
언제쯤	언제/NP+쯤/XSN
효과를	효과/NNG+를/JKO
나타낼	나타내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보나.	보/VV+나/EF+./SF


# id : NWRW1800000054.424.14.1
"정부가 경제 정책을 꾸준히 밀고 나간다면, 내년 하반기쯤부터 조금씩 효과가 나타날 것이다.

"정부가	"/SS+정부/NNG+가/JKS
경제	경제/NNG
정책을	정책/NNG+을/JKO
꾸준히	꾸준히/MAG
밀고	밀/VV+고/EC
나간다면,	나가/VX+ㄴ다면/EC+,/SP
내년	내년/NNG
하반기쯤부터	하반기/NNG+쯤/XSN+부터/JX
조금씩	조금/NNG+씩/XSN
효과가	효과/NNG+가/JKS
나타날	나타나/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.424.14.2
2년 뒤부터는 상당한 효과가 있을 것이다.

2년	2/SN+년/NNB
뒤부터는	뒤/NNG+부터/JX+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.424.14.3
지금까지 몇 달간 성과를 놓고 성공이냐, 실패냐 말하는 것은 옳지 않다.

지금까지	지금/NNG+까지/JX
몇	몇/NR
달간	달/NNB+간/XSN
성과를	성과/NNG+를/JKO
놓고	놓/VV+고/EC
성공이냐,	성공/NNG+이/VCP+냐/EF+,/SP
실패냐	실패/NNG+이/VCP+냐/EF
말하는	말/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
옳지	옳/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.424.14.4
다만 정부가 추진하는 개혁에 대해 보수로부터 저항뿐 아니라 진보로부터 저항도 있다.

다만	다만/MAG
정부가	정부/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
개혁에	개혁/NNG+에/JKB
대해	대하/VV+아/EC
보수로부터	보수/NNG+로부터/JKB
저항뿐	저항/NNG+뿐/JX
아니라	아니/VCN+라/EC
진보로부터	진보/NNG+로부터/JKB
저항도	저항/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.424.14.5
국민의 강력한 지지를 못 받으면 실패할 수 있다."

국민의	국민/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
지지를	지지/NNG+를/JKO
못	못/MAG
받으면	받/VV+으면/EC
실패할	실패/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다."	있/VA+다/EF+./SF+"/SS


