# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.52
metadata : {}


# id : NWRW1800000033.52.1.1
신세계, 대표 7명-전략실장 대폭 물갈이

신세계,	신세계/NNP+,/SP
대표	대표/NNG
7명-전략실장	7/SN+명/NNB+-/SO+전략실장/NNG
대폭	대폭/MAG
물갈이	물갈이/NNG


# id : NWRW1800000033.52.2.1
이마트 허인철-신세계百 장재영 대표… “공격형 리더 배치로 경영위기 돌파”

이마트	이마트/NNP
허인철-신세계百	허인철/NNP+-/SO+신세계/NNP+百/SH
장재영	장재영/NNP
대표…	대표/NNG+…/SE
“공격형	“/SS+공격/NNG+형/XSN
리더	리더/NNG
배치로	배치/NNG+로/JKB
경영위기	경영/NNG+위기/NNG
돌파”	돌파/NNG+”/SS


# id : NWRW1800000033.52.3.1
신세계그룹이 주력 계열사인 이마트와 신세계백화점의 대표이사를 교체하는 등 현 경영진을 대폭 물갈이하는 쇄신 인사를 단행했다.

신세계그룹이	신세계그룹/NNP+이/JKS
주력	주력/NNG
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
이마트와	이마트/NNP+와/JC
신세계백화점의	신세계백화점/NNP+의/JKG
대표이사를	대표/NNG+이사/NNG+를/JKO
교체하는	교체/NNG+하/XSV+는/ETM
등	등/NNB
현	현/MMD
경영진을	경영진/NNG+을/JKO
대폭	대폭/MAG
물갈이하는	물갈이/NNG+하/XSV+는/ETM
쇄신	쇄신/NNG
인사를	인사/NNG+를/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.52.3.2
주요 계열사 12개 중 8곳의 대표와 그룹 경영전략실장이 한꺼번에 바뀌었다.

주요	주요/NNG
계열사	계열사/NNG
12개	12/SN+개/NNB
중	중/NNB
8곳의	8/SN+곳/NNG+의/JKG
대표와	대표/NNG+와/JC
그룹	그룹/NNG
경영전략실장이	경영/NNG+전략실장/NNG+이/JKS
한꺼번에	한꺼번에/MAG
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.4.1
신세계그룹은 12월 1일자로 대표이사 선임 7명(겸직 1명 포함), 사장 승진 1명, 기타 임원 승진 39명, 업무 위촉 변경 10명 등 총 57명에 대한 정기 임원인사를 단행한다고 30일 밝혔다.

신세계그룹은	신세계그룹/NNP+은/JX
12월	12/SN+월/NNB
1일자로	1/SN+일/NNB+자/NNG+로/JKB
대표이사	대표/NNG+이사/NNG
선임	선임/NNG
7명(겸직	7/SN+명/NNB+(/SS+겸직/NNG
1명	1/SN+명/NNB
포함),	포함/NNG+)/SS+,/SP
사장	사장/NNG
승진	승진/NNG
1명,	1/SN+명/NNB+,/SP
기타	기타/NNG
임원	임원/NNG
39명,	39/SN+명/NNB+,/SP
업무	업무/NNG
위촉	위촉/NNG
변경	변경/NNG
10명	10/SN+명/NNB
등	등/NNB
총	총/MMA
57명에	57/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정기	정기/NNG
임원인사를	임원/NNG+인사/NNG+를/JKO
단행한다고	단행/NNG+하/XSV+ㄴ다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.4.2
대표이사 선임은 내년 3월 정기 주주총회를 거쳐 정식으로 확정된다.

대표이사	대표/NNG+이사/NNG
선임은	선임/NNG+은/JX
내년	내년/NNG
3월	3/SN+월/NNB
정기	정기/NNG
주주총회를	주주/NNG+총회/NNG+를/JKO
거쳐	거치/VV+어/EC
정식으로	정식/NNG+으로/JKB
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.52.5.1
인수합병(M&A), 재무, 신사업 등 핵심 업무를 총괄해 온 허인철 신세계그룹 경영전략실장 사장(52)이 이마트 대표이사로 선임됐다.

인수합병(M&A),	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+,/SP
재무,	재무/NNG+,/SP
신사업	신/XPN+사업/NNG
등	등/NNB
핵심	핵심/NNG
업무를	업무/NNG+를/JKO
총괄해	총괄/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
허인철	허인철/NNP
신세계그룹	신세계그룹/NNP
경영전략실장	경영/NNG+전략실장/NNG
사장(52)이	사장/NNG+(/SS+52/SN+)/SS+이/JKS
이마트	이마트/NNP
대표이사로	대표/NNG+이사/NNG+로/JKB
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.5.2
영업규제로 인해 위축된 대형마트 실적을 신사업 등 다각화된 사업모델로 극복하라는 의미로 해석된다.

영업규제로	영업/NNG+규제/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
위축된	위축/NNG+되/XSV+ㄴ/ETM
대형마트	대형/NNG+마트/NNG
실적을	실적/NNG+을/JKO
신사업	신/XPN+사업/NNG
등	등/NNB
다각화된	다각/NNG+화/XSN+되/XSV+ㄴ/ETM
사업모델로	사업/NNG+모델/NNG+로/JKB
극복하라는	극복/NNG+하/XSV+라는/ETM
의미로	의미/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.52.5.3
신세계백화점 대표이사에는 마케팅 전문가로 꼽히며 백화점 판매본부장을 맡아 온 장재영 부사장(51)이 선임됐다.

신세계백화점	신세계백화점/NNP
대표이사에는	대표/NNG+이사/NNG+에/JKB+는/JX
마케팅	마케팅/NNG
전문가로	전문가/NNG+로/JKB
꼽히며	꼽히/VV+며/EC
백화점	백화점/NNG
판매본부장을	판매/NNG+본부장/NNG+을/JKO
맡아	맡/VV+아/EC
온	오/VX+ㄴ/ETM
장재영	장재영/NNP
부사장(51)이	부사장/NNG+(/SS+51/SN+)/SS+이/JKS
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.6.1
7년간 신세계인터내셔날 대표이사를 맡았던 김해성 부사장(54)이 사장으로 승진하면서 그룹 경영전략실장에 선임됐다.

7년간	7/SN+년/NNB+간/XSN
신세계인터내셔날	신세계인터내셔날/NNP
대표이사를	대표/NNG+이사/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
김해성	김해성/NNP
부사장(54)이	부사장/NNG+(/SS+54/SN+)/SS+이/JKS
사장으로	사장/NNG+으로/JKB
승진하면서	승진/NNG+하/XSV+면서/EC
그룹	그룹/NNG
경영전략실장에	경영/NNG+전략실장/NNG+에/JKB
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.52.6.2
거취에 관심이 쏠렸던 구학서 신세계그룹 회장은 직함은 유지한 채 그룹의 대외 업무만 담당하게 된다.

거취에	거취/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠렸던	쏠리/VV+었/EP+던/ETM
구학서	구학서/NNP
신세계그룹	신세계그룹/NNP
회장은	회장/NNG+은/JX
직함은	직함/NNG+은/JX
유지한	유지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
그룹의	그룹/NNG+의/JKG
대외	대외/NNG
업무만	업무/NNG+만/JX
담당하게	담당/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.52.6.3
‘고졸 신화’의 주인공이던 최병렬 이마트 대표(63)와 박건현 신세계백화점 대표(56)는 고문으로 물러났다.

‘고졸	‘/SS+고졸/NNG
신화’의	신화/NNG+’/SS+의/JKG
주인공이던	주인공/NNG+이/VCP+던/ETM
최병렬	최병렬/NNP
이마트	이마트/NNP
대표(63)와	대표/NNG+(/SS+63/SN+)/SS+와/JC
박건현	박건현/NNP
신세계백화점	신세계백화점/NNP
대표(56)는	대표/NNG+(/SS+56/SN+)/SS+는/JX
고문으로	고문/NNG+으로/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


