# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.224
metadata : {}


# id : NWRW1800000026.224.1.1
'천성관 자료(작년 검찰총장 후보자)' 野에 건넨 관세청 직원 중징계;입출국 내역 불법유출

'천성관	'/SS+천성관/NNP
자료(작년	자료/NNG+(/SS+작년/NNG
검찰총장	검찰/NNG+총장/NNG
후보자)'	후보자/NNG+)/SS+'/SS
野에	野/SH+에/JKB
건넨	건네/VV+ㄴ/ETM
관세청	관세청/NNG
직원	직원/NNG
중징계;입출국	중징계/NNG+;/SW+입출국/NNG
내역	내역/NNG
불법유출	불법/NNG+유출/NNG


# id : NWRW1800000026.224.2.1
지난해 7월 천성관 검찰총장 후보 인사청문회 당시 민주당 박지원 의원에게 천 후보자의 해외 출국 내역 등을 유출했던 관세청 직원 3명이 해임 등의 중징계를 받은 것으로 나타났다.

지난해	지난해/NNG
7월	7/SN+월/NNB
천성관	천성관/NNP
검찰총장	검찰/NNG+총장/NNG
후보	후보/NNG
인사청문회	인사/NNG+청문회/NNG
당시	당시/NNG
민주당	민주당/NNP
박지원	박지원/NNP
의원에게	의원/NNG+에게/JKB
천	천/NNP
후보자의	후보자/NNG+의/JKG
해외	해외/NNG
출국	출국/NNG
내역	내역/NNG
등을	등/NNB+을/JKO
유출했던	유출/NNG+하/XSV+았/EP+던/ETM
관세청	관세청/NNG
직원	직원/NNG
3명이	3/SN+명/NNB+이/JKS
해임	해임/NNG
등의	등/NNB+의/JKG
중징계를	중징계/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.224.3.1
관세청이 올 초 총리실 공직윤리지원관실에 올린 '2009년 공직기강 점검활동 실적'에 따르면, 관세청은 청문회 뒤인 지난해 9월 10~28일 실시한 보안 점검을 통해 가담 직원들을 파악했고, 이들을 인사조치한 것으로 돼 있다.

관세청이	관세청/NNG+이/JKS
올	올/NNG
초	초/NNB
총리실	총리실/NNG
공직윤리지원관실에	공직/NNG+윤리/NNG+지원관실/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
'2009년	'/SS+2009/SN+년/NNB
공직기강	공직/NNG+기강/NNG
점검활동	점검/NNG+활동/NNG
실적'에	실적/NNG+'/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
관세청은	관세청/NNG+은/JX
청문회	청문회/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
9월	9/SN+월/NNB
10~28일	10/SN+~/SO+28/SN+일/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
보안	보안/NNG
점검을	점검/NNG+을/JKO
통해	통하/VV+아/EC
가담	가담/NNG
직원들을	직원/NNG+들/XSN+을/JKO
파악했고,	파악/NNG+하/XSV+았/EP+고/EC+,/SP
이들을	이/NP+들/XSN+을/JKO
인사조치한	인사/NNG+조치/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.224.4.1
본지가 8일 입수한 '점검활동 실적'에서 관세청은 "(관련자들이) 관세청 여행자 정보시스템에 접속해 전(前) 검찰총장 청문회 관련자의 개인 입출국 내역을 불법유출했다"며 관련자들을 ▲해임(1명) ▲정직(1명) ▲감봉(1명) 조치했다고 밝혔다.

본지가	본지/NNG+가/JKS
8일	8/SN+일/NNB
입수한	입수/NNG+하/XSV+ㄴ/ETM
'점검활동	'/SS+점검/NNG+활동/NNG
실적'에서	실적/NNG+'/SS+에서/JKB
관세청은	관세청/NNG+은/JX
"(관련자들이)	"/SS+(/SS+관련자/NNG+들/XSN+이/JKS+)/SS
관세청	관세청/NNG
여행자	여행자/NNG
정보시스템에	정보/NNG+시스템/NNG+에/JKB
접속해	접속/NNG+하/XSV+아/EC
전(前)	전/MMD+(/SS+前/SH+)/SS
검찰총장	검찰/NNG+총장/NNG
청문회	청문회/NNG
관련자의	관련자/NNG+의/JKG
개인	개인/NNG
입출국	입출국/NNG
내역을	내역/NNG+을/JKO
불법유출했다"며	불법/NNG+유출/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
관련자들을	관련자/NNG+들/XSN+을/JKO
▲해임(1명)	▲/SW+해임/NNG+(/SS+1/SN+명/NNB+)/SS
▲정직(1명)	▲/SW+정직/NNG+(/SS+1/SN+명/NNB+)/SS
▲감봉(1명)	▲/SW+감봉/NNG+(/SS+1/SN+명/NNB+)/SS
조치했다고	조치/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.224.4.2
또 이들의 관리자들에 대해서도 연대책임을 물어 '엄중경고(2명), 경고(1명) 및 하향 문책전보인사'를 했다고 적었다.

또	또/MAG
이들의	이/NP+들/XSN+의/JKG
관리자들에	관리자/NNG+들/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
연대책임을	연대/NNG+책임/NNG+을/JKO
물어	묻/VV+어/EC
'엄중경고(2명),	'/SS+엄중/NNG+경고/NNG+(/SS+2/SN+명/NNB+)/SS+,/SP
경고(1명)	경고/NNG+(/SS+1/SN+명/NNB+)/SS
및	및/MAG
하향	하향/NNG
문책전보인사'를	문책/NNG+전보/NNG+인사/NNG+'/SS+를/JKO
했다고	하/VV+았/EP+다고/EC
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.224.5.1
인사청문회 때 박 의원은 이 자료 등을 토대로 ▲천 후보자가 사업가와 해외골프 여행을 다녀온 일 ▲천 후보자의 부인이 해외여행에서 고가 명품을 쇼핑했던 사실 등 부적절한 처신들을 지적했고, 천 후보는 자진사퇴했다.

인사청문회	인사/NNG+청문회/NNG
때	때/NNG
박	박/NNP
의원은	의원/NNG+은/JX
이	이/MMD
자료	자료/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
▲천	▲/SW+천/NNP
후보자가	후보자/NNG+가/JKS
사업가와	사업가/NNG+와/JKB
해외골프	해외/NNG+골프/NNG
여행을	여행/NNG+을/JKO
다녀온	다녀오/VV+ㄴ/ETM
일	일/NNG
후보자의	후보자/NNG+의/JKG
부인이	부인/NNG+이/JKS
해외여행에서	해외여행/NNG+에서/JKB
고가	고가/NNG
명품을	명품/NNG+을/JKO
쇼핑했던	쇼핑/NNG+하/XSV+았/EP+던/ETM
사실	사실/NNG
등	등/NNB
부적절한	부적절하/VA+ㄴ/ETM
처신들을	처신/NNG+들/XSN+을/JKO
지적했고,	지적/NNG+하/XSV+았/EP+고/EC+,/SP
천	천/NNP
후보는	후보/NNG+는/JX
자진사퇴했다.	자진/NNG+사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.224.5.2
이후 검찰은 천 후보 정보 유출과 관련한 내사를 시작했다가 '보복수사' 논란이 일자, 이를 중단했었다.

이후	이후/NNG
검찰은	검찰/NNG+은/JX
천	천/NNP
후보	후보/NNG
정보	정보/NNG
유출과	유출/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
내사를	내사/NNG+를/JKO
시작했다가	시작/NNG+하/XSV+았/EP+다가/EC
'보복수사'	'/SS+보복/NNG+수사/NNG+'/SS
논란이	논란/NNG+이/JKS
일자,	일/VV+자/EC+,/SP
이를	이/NP+를/JKO
중단했었다.	중단/NNG+하/XSV+았었/EP+다/EF+./SF


