# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.34
metadata : {}


# id : NWRW1800000038.34.1.1
뛰는 인간 위에 나는 바퀴벌레

뛰는	뛰/VV+는/ETM
인간	인간/NNG
위에	위/NNG+에/JKB
나는	날/VV+는/ETM
바퀴벌레	바퀴벌레/NNG


# id : NWRW1800000038.34.2.1
단맛 든 미끼 피하기 위해 단맛을 쓴맛으로 느끼게 진화

단맛	단맛/NNG
든	들/VV+ㄴ/ETM
미끼	미끼/NNG
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
단맛을	단맛/NNG+을/JKO
쓴맛으로	쓴맛/NNG+으로/JKB
느끼게	느끼/VV+게/EC
진화	진화/NNG


# id : NWRW1800000038.34.3.1
바퀴벌레가 20여년 전부터 생존을 위해 '단것'을 끊은 것으로 밝혀졌다.

바퀴벌레가	바퀴벌레/NNG+가/JKS
20여년	20/SN+여/XSN+년/NNB
전부터	전/NNG+부터/JX
생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
'단것'을	'/SS+단것/NNG+'/SS+을/JKO
끊은	끊/VV+은/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.34.3.2
바퀴벌레약에 들어 있는 '달콤한 미끼'를 피하기 위해서다.

바퀴벌레약에	바퀴벌레/NNG+약/NNG+에/JKB
들어	들/VV+어/EC
있는	있/VX+는/ETM
'달콤한	'/SS+달콤하/VA+ㄴ/ETM
미끼'를	미끼/NNG+'/SS+를/JKO
피하기	피하/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000038.34.4.1
미 노스캐롤라이나 대학 연구진은 23일 "독일바퀴 중 일부는 최근 체내 화학작용에 변화를 일으켜 포도당 성분을 '쓴맛'으로 느끼도록 진화한 것으로 나타났다"고 밝혔다.

미	미/NNP
노스캐롤라이나	노스캐롤라이나/NNP
대학	대학/NNG
연구진은	연구진/NNG+은/JX
23일	23/SN+일/NNB
"독일바퀴	"/SS+독일/NNP+바퀴/NNG
중	중/NNB
일부는	일부/NNG+는/JX
최근	최근/MAG
체내	체내/NNG
화학작용에	화학/NNG+작용/NNG+에/JKB
변화를	변화/NNG+를/JKO
일으켜	일으키/VV+어/EC
포도당	포도당/NNG
성분을	성분/NNG+을/JKO
'쓴맛'으로	'/SS+쓴맛/NNG+'/SS+으로/JKB
느끼도록	느끼/VV+도록/EC
진화한	진화/NNG+하/XSV+ㄴ/ETM
