# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.90
metadata : {}


# id : NWRW1800000038.90.1.1
유럽을 지휘한 서른셋 한국 여인

유럽을	유럽/NNP+을/JKO
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
서른셋	서른셋/NR
한국	한국/NNP
여인	여인/NNG


# id : NWRW1800000038.90.2.1
런던 잉글리시 내셔널 오페라의 新作 '박쥐' 지휘자 김은선

런던	런던/NNP
잉글리시	잉글리시/NNP
내셔널	내셔널/NNG
오페라의	오페라/NNG+의/JKG
新作	新作/SH
'박쥐'	'/SS+박쥐/NNP+'/SS
지휘자	지휘자/NNG
김은선	김은선/NNP


# id : NWRW1800000038.90.3.1
오케스트라 피트 위로 뒤로 질끈 묶은 긴 생머리가 찰랑거렸다.

오케스트라	오케스트라/NNG
피트	피트/NNG
위로	위/NNG+로/JKB
뒤로	뒤/NNG+로/JKB
질끈	질끈/MAG
묶은	묶/VV+은/ETM
긴	길/VA+ㄴ/ETM
생머리가	생/XPN+머리/NNG+가/JKS
찰랑거렸다.	찰랑거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.90.3.2
두 손으로 파도 타듯 지휘봉을 젓는 모습이 요한 슈트라우스의 왈츠처럼 가볍고, 경쾌했다.

두	두/MMN
손으로	손/NNG+으로/JKB
파도	파도/NNG
타듯	타/VV+듯/EC
지휘봉을	지휘봉/NNG+을/JKO
젓는	젓/VV+는/ETM
모습이	모습/NNG+이/JKS
요한	요한/NNP
슈트라우스의	슈트라우스/NNP+의/JKG
왈츠처럼	왈츠/NNG+처럼/JKB
가볍고,	가볍/VA+고/EC+,/SP
경쾌했다.	경쾌하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.90.3.3
한국인 여성 지휘자 김은선(33).

한국인	한국인/NNG
여성	여성/NNG
지휘자	지휘자/NNG
김은선(33).	김은선/NNP+(/SS+33/SN+)/SS+./SF


# id : NWRW1800000038.90.3.4
런던 콜리세움 극장에서 지난달 30일 개막한 잉글리시 내셔널 오페라(ENO)의 야심작 '박쥐'의 음악을 책임진 주역이다.

런던	런던/NNP
콜리세움	콜리세움/NNP
극장에서	극장/NNG+에서/JKB
지난달	지난달/NNG
30일	30/SN+일/NNB
개막한	개막/NNG+하/XSV+ㄴ/ETM
잉글리시	잉글리시/NNP
내셔널	내셔널/NNG
오페라(ENO)의	오페라/NNG+(/SS+ENO/SL+)/SS+의/JKG
야심작	야심작/NNG
'박쥐'의	'/SS+박쥐/NNP+'/SS+의/JKG
음악을	음악/NNG+을/JKO
책임진	책임지/VV+ㄴ/ETM
주역이다.	주역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.90.4.1
귀에 익숙한 왈츠로 시작하는 서곡부터 '친애하는 후작님' '차르다슈'등 보석 같은 아리아들이 촘촘한 요한 슈트라우스 2세의 오페레타 '박쥐'는 유럽 오페라극장의 인기 레퍼토리다.

귀에	귀/NNG+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
왈츠로	왈츠/NNG+로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
서곡부터	서곡/NNG+부터/JX
'친애하는	'/SS+친애/NNG+하/XSV+는/ETM
후작님'	후작/NNG+님/XSN+'/SS
'차르다슈'등	'/SS+차르다슈/NNG+'/SS+등/NNB
보석	보석/NNG
같은	같/VA+은/ETM
아리아들이	아리아/NNG+들/XSN+이/JKS
촘촘한	촘촘하/VA+ㄴ/ETM
요한	요한/NNP
슈트라우스	슈트라우스/NNP
2세의	2/SN+세/NNB+의/JKG
오페레타	오페레타/NNG
'박쥐'는	'/SS+박쥐/NNP+'/SS+는/JX
유럽	유럽/NNP
오페라극장의	오페라/NNG+극장/NNG+의/JKG
인기	인기/NNG
레퍼토리다.	레퍼토리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.90.4.2
영국의 대표적 오페라단 ENO가 20년 만에 올린 '박쥐'는 2359석 대극장 티켓이 모두 팔려나갔다.

영국의	영국/NNP+의/JKG
대표적	대표/NNG+적/XSN
오페라단	오페라단/NNG
ENO가	ENO/SL+가/JKS
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
올린	올리/VV+ㄴ/ETM
'박쥐'는	'/SS+박쥐/NNP+'/SS+는/JX
2359석	2359/SN+석/NNB
대극장	대/XPN+극장/NNG
티켓이	티켓/NNG+이/JKS
모두	모두/MAG
팔려나갔다.	팔리/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.90.5.1
어떻게 이 무대에 섰을까.

어떻게	어떻/VA+게/EC
이	이/MMD
무대에	무대/NNG+에/JKB
섰을까.	서/VV+었/EP+을까/EF+./SF


# id : NWRW1800000038.90.5.2
