# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.249
metadata : {}


# id : NWRW1800000030.249.1.1
[만물상] 男 부장판사, 女 배석판사

[만물상]	[/SS+만물상/NNG+]/SS
男	男/SH
부장판사,	부장/NNG+판사/NNG+,/SP
女	女/SH
배석판사	배석/NNG+판사/NNG


# id : NWRW1800000030.249.2.1
어느 남성 부장판사가 서울중앙지법 근무 때 썼다는 '여성 배석판사와 함께 근무하는 부장판사의 유의점'이라는 글이 법원 내부에서 퍼지고 있다.

어느	어느/MMD
남성	남성/NNG
부장판사가	부장/NNG+판사/NNG+가/JKS
서울중앙지법	서울중앙지법/NNP
근무	근무/NNG
때	때/NNG
썼다는	쓰/VV+었/EP+다는/ETM
'여성	'/SS+여성/NNG
배석판사와	배석/NNG+판사/NNG+와/JKB
함께	함께/MAG
근무하는	근무/NNG+하/XSV+는/ETM
부장판사의	부장/NNG+판사/NNG+의/JKG
유의점'이라는	유의점/NNG+'/SS+이/VCP+라는/ETM
글이	글/NNG+이/JKS
법원	법원/NNG
내부에서	내부/NNG+에서/JKB
퍼지고	퍼지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.249.2.2
'둘이서만 사무실에 있을 때는 문을 열어두라', '설명은 1m 이상 떨어져서 하라', '여성이 남성보다 식사 속도가 느릴 수 있으므로 배석보다 빨리 식사를 마치지 않도록 유의하라'라는 내용이다.

'둘이서만	'/SS+둘/NR+이서/JKS+만/JX
사무실에	사무실/NNG+에/JKB
있을	있/VV+을/ETM
때는	때/NNG+는/JX
문을	문/NNG+을/JKO
열어두라',	열/VV+어/EC+두/VX+라/EF+'/SS+,/SP
'설명은	'/SS+설명/NNG+은/JX
1m	1/SN+m/SW
이상	이상/NNG
떨어져서	떨어지/VV+어서/EC
하라',	하/VV+라/EF+'/SS+,/SP
'여성이	'/SS+여성/NNG+이/JKS
남성보다	남성/NNG+보다/JKB
식사	식사/NNG
속도가	속도/NNG+가/JKS
느릴	느리/VA+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
배석보다	배석/NNG+보다/JKB
빨리	빨리/MAG
식사를	식사/NNG+를/JKO
마치지	마치/VV+지/EC
않도록	않/VX+도록/EC
유의하라'라는	유의/NNG+하/XSV+라/EF+'/SS+이/VCP+라는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.249.2.3
'배석판사의 생리적 필요를 배려해 재판은 2시간 이상 지속하지 말라', '야근을 하더라도 저녁식사는 배석이 요청하지 않는 이상 따로 하는 게 원칙'이라는 것도 있다.

'배석판사의	'/SS+배석/NNG+판사/NNG+의/JKG
생리적	생리/NNG+적/XSN
필요를	필요/NNG+를/JKO
배려해	배려/NNG+하/XSV+아/EC
재판은	재판/NNG+은/JX
2시간	2/SN+시간/NNB
이상	이상/NNG
지속하지	지속/NNG+하/XSV+지/EC
말라',	말/VX+라/EF+'/SS+,/SP
'야근을	'/SS+야근/NNG+을/JKO
하더라도	하/VV+더라도/EC
저녁식사는	저녁/NNG+식사/NNG+는/JX
배석이	배석/NNG+이/JKS
요청하지	요청/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
따로	따로/MAG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
원칙'이라는	원칙/NNG+'/SS+이/VCP+라는/ETM
것도	것/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.249.3.1
▶법원엔 부장판사 방은 따로 있고 배석판사 둘은 3~4평쯤 되는 방을 함께 쓴다.

▶법원엔	▶/SW+법원/NNG+에/JKB+ㄴ/JX
부장판사	부장/NNG+판사/NNG
방은	방/NNG+은/JX
따로	따로/MAG
있고	있/VA+고/EC
배석판사	배석/NNG+판사/NNG
둘은	둘/NR+은/JX
3~4평쯤	3/SN+~/SO+4/SN+평/NNB+쯤/XSN
되는	되/VV+는/ETM
방을	방/NNG+을/JKO
함께	함께/MAG
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.249.3.2
과거엔 배석들이 등받이가 펴지는 의자에서 낮잠을 자거나 여름철 야근 때는 반바지를 입는 풍경을 드물지 않게 볼 수 있었다.

과거엔	과거/NNG+에/JKB+ㄴ/JX
배석들이	배석/NNG+들/XSN+이/JKS
