# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.224
metadata : {}


# id : NWRW1800000040.224.1.1
정부와 협의 규정한 ‘진주의료원법’ 무산

정부와	정부/NNG+와/JKB
협의	협의/NNG
규정한	규정/NNG+하/XSV+ㄴ/ETM
‘진주의료원법’	‘/SS+진주의료원법/NNG+’/SS
무산	무산/NNG


# id : NWRW1800000040.224.2.1
여당일부 자리 비워 정족수 부족

여당일부	여당/NNG+일부/NNG
자리	자리/NNG
비워	비우/VV+어/EC
정족수	정족수/NNG
부족	부족/NNG


# id : NWRW1800000040.224.3.1
국민연금법 개정안도 처리 못해

국민연금법	국민연금법/NNG
개정안도	개정안/NNG+도/JX
처리	처리/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000040.224.4.1
지방자치단체장이 독단적으로 지방의료원을 폐업하지 못하도록 하는 이른바 ‘진주의료원법’ 처리가 임시국회 마지막 날인 7일 끝내 무산됐다.

지방자치단체장이	지방/NNG+자치/NNG+단체장/NNG+이/JKS
독단적으로	독단/NNG+적/XSN+으로/JKB
지방의료원을	지방/NNG+의료원/NNG+을/JKO
폐업하지	폐업/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
이른바	이른바/MAG
‘진주의료원법’	‘/SS+진주의료원법/NNG+’/SS
처리가	처리/NNG+가/JKS
임시국회	임시/NNG+국회/NNG
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
7일	7/SN+일/NNB
끝내	끝내/MAG
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.224.5.1
국회 법제사법위원회는 지방의료원의 설립이나 폐업 때 지방자치단체장 등이 보건복지부 장관과 미리 협의하도록 한 ‘지방의료원의 설립 및 운영에 관한 법’ 개정안을 6일 법안심사 소위원회로 넘겼으나, 유해화학물질관리법 개정안 논란이 길어지면서 논의 자체가 무산됐다.

국회	국회/NNG
법제사법위원회는	법제/NNG+사법/NNG+위원회/NNG+는/JX
지방의료원의	지방/NNG+의료원/NNG+의/JKG
설립이나	설립/NNG+이나/JC
폐업	폐업/NNG
때	때/NNG
지방자치단체장	지방/NNG+자치/NNG+단체장/NNG
등이	등/NNB+이/JKS
보건복지부	보건/NNG+복지부/NNG
장관과	장관/NNG+과/JKB
미리	미리/MAG
협의하도록	협의/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
‘지방의료원의	‘/SS+지방/NNG+의료원/NNG+의/JKG
설립	설립/NNG
및	및/MAG
운영에	운영/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법’	법/NNG+’/SS
개정안을	개정안/NNG+을/JKO
6일	6/SN+일/NNB
법안심사	법안/NNG+심사/NNG
소위원회로	소/XPN+위원회/NNG+로/JKB
넘겼으나,	넘기/VV+었/EP+으나/EC+,/SP
유해화학물질관리법	유해/NNG+화학/NNG+물질/NNG+관리법/NNG
개정안	개정안/NNG
논란이	논란/NNG+이/JKS
길어지면서	길어지/VV+면서/EC
논의	논의/NNG
자체가	자체/NNG+가/JKS
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.224.5.2
이 과정에서 새누리당 일부 의원이 자리를 비우면서 소위 통과를 위한 정족수에 미달했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
새누리당	새누리당/NNP
일부	일부/NNG
의원이	의원/NNG+이/JKS
자리를	자리/NNG+를/JKO
비우면서	비우/VV+면서/EC
소위	소위/MAG
통과를	통과/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
정족수에	정족수/NNG+에/JKB
미달했다.	미달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.224.5.3
이에 따라 7일 열린 법사위 전체회의에는 상정조차 되지 못했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
7일	7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
법사위	법사위/NNG
전체회의에는	전체/NNG+회의/NNG+에/JKB+는/JX
상정조차	상정/NNG+조차/JX
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.224.6.1
