# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.285
metadata : {}


# id : NWRW1800000044.285.1.1
한국축구에 ‘판타지스타’가 나타났다

한국축구에	한국/NNP+축구/NNG+에/JKB
‘판타지스타’가	‘/SS+판타지스타/NNG+’/SS+가/JKS
나타났다	나타나/VV+았/EP+다/EF


# id : NWRW1800000044.285.2.1
[한겨레] 이승우 ‘50m질주 골’ 세계가 주목

[한겨레]	[/SS+한겨레/NNP+]/SS
이승우	이승우/NNP
‘50m질주	‘/SS+50/SN+m/SW+질주/NNG
골’	골/NNG+’/SS
세계가	세계/NNG+가/JKS
주목	주목/NNG


# id : NWRW1800000044.285.3.1
“드리블·슛·패스·스피드 모두 갖춰”

“드리블·슛·패스·스피드	“/SS+드리블/NNG+·/SP+슛/NNG+·/SP+패스/NNG+·/SP+스피드/NNG
모두	모두/MAG
갖춰”	갖추/VV+어/EC+”/SS


# id : NWRW1800000044.285.4.1
세계 축구의 변방 아시아에서 열리는 대륙 대회, 그것도 청소년 대회가 세계적으로 뜨거운 관심을 불러모으고 있다.

세계	세계/NNG
축구의	축구/NNG+의/JKG
변방	변방/NNG
아시아에서	아시아/NNP+에서/JKB
열리는	열리/VV+는/ETM
대륙	대륙/NNG
대회,	대회/NNG+,/SP
그것도	그것/NP+도/JX
청소년	청소년/NNG
대회가	대회/NNG+가/JKS
세계적으로	세계/NNG+적/XSN+으로/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
불러모으고	부르/VV+어/EC+모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.285.4.2
이승우(16·바르셀로나 후베닐A·사진) 때문이다.

이승우(16·바르셀로나	이승우/NNP+(/SS+16/SN+·/SP+바르셀로나/NNP
후베닐A·사진)	후베닐/NNP+A/SL+·/SP+사진/NNG+)/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.285.5.1
이승우는 14일 타이(태국)에서 열리는 2014 아시아축구연맹(AFC) 16살 이하(U-16) 챔피언십 8강에서 일본을 상대로 두 골을 뽑아내며 2-0 승리를 이끌었다.

이승우는	이승우/NNP+는/JX
14일	14/SN+일/NNB
타이(태국)에서	타이/NNP+(/SS+태국/NNP+)/SS+에서/JKB
열리는	열리/VV+는/ETM
2014	2014/SN
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
16살	16/SN+살/NNB
이하(U-16)	이하/NNG+(/SS+U/SL+-/SO+16/SN+)/SS
챔피언십	챔피언십/NNG
8강에서	8/SN+강/NNB+에서/JKB
일본을	일본/NNP+을/JKO
상대로	상대/NNG+로/JKB
두	두/MMN
골을	골/NNG+을/JKO
뽑아내며	뽑아내/VV+며/EC
2-0	2/SN+-/SO+0/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.285.5.2
단순히 한국이 일본을 꺾은 일이 세계적인 관심사가 될 리 없다.

단순히	단순히/MAG
한국이	한국/NNP+이/JKS
일본을	일본/NNP+을/JKO
꺾은	꺾/VV+은/ETM
일이	일/NNG+이/JKS
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
관심사가	관심사/NNG+가/JKC
될	되/VV+ㄹ/ETM
리	리/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.285.5.3
이승우가 보여준 활약이라면 이야기가 달라진다.

이승우가	이승우/NNP+가/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
활약이라면	활약/NNG+이/VCP+라면/EC
이야기가	이야기/NNG+가/JKS
달라진다.	달라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.285.5.4
이승우는 일본전에서 디에고 마라도나를 연상시키는 50m 드리블 질주로 쐐기골을 뽑아낸 것을 비롯해, 하나같이 보는 이의 탄성을 자아내는 창의적인 플레이로 4골 기록했다.

이승우는	이승우/NNP+는/JX
일본전에서	일본전/NNG+에서/JKB
디에고	디에고/NNP
마라도나를	마라도나/NNP+를/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
50m	50/SN+m/SW
드리블	드리블/NNG
질주로	질주/NNG+로/JKB
쐐기골을	쐐기/NNG+골/NNG+을/JKO
뽑아낸	뽑/VV+아/EC+내/VX+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해,	비롯하/VV+아/EC+,/SP
하나같이	하나같이/MAG
보는	보/VV+는/ETM
이의	이/NNB+의/JKG
탄성을	탄성/NNG+을/JKO
자아내는	자아내/VV+는/ETM
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
플레이로	플레이/NNG+로/JKB
4골	4/SN+골/NNG
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.285.5.5
일본 축구팬들은 “이승우의 골을 보니 이 세대에서는 한국을 이기기 힘들 것 같다”고 탄식했다.

일본	일본/NNP
축구팬들은	축구/NNG+팬/NNG+들/XSN+은/JX
