# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.323
metadata : {}


# id : NWRW1800000038.323.1.1
[만물상] '프란치스코 수퍼스타'

[만물상]	[/SS+만물상/NNG+]/SS
'프란치스코	'/SS+프란치스코/NNP
수퍼스타'	수퍼스타/NNG+'/SS


# id : NWRW1800000038.323.2.1
폴란드 비엘리치카 소금광산 지하 100m에 소금 2만t을 파내 만든 '성녀 킹가의 성당'이 있다.

폴란드	폴란드/NNP
비엘리치카	비엘리치카/NNP
소금광산	소금/NNG+광산/NNG
지하	지하/NNG
100m에	100/SN+m/SW+에/JKB
소금	소금/NNG
2만t을	2/SN+만/NR+t/SW+을/JKO
파내	파내/VV+어/EC
만든	만들/VV+ㄴ/ETM
'성녀	'/SS+성녀/NNG
킹가의	킹가/NNP+의/JKG
성당'이	성당/NNG+'/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.323.2.2
광부들은 암염을 깎아 성모상 곁에 교황 요한 바오로 2세 상을 세웠다.

광부들은	광부/NNG+들/XSN+은/JX
암염을	암염/NNG+을/JKO
깎아	깎/VV+아/EC
성모상	성모상/NNG
곁에	곁/NNG+에/JKB
교황	교황/NNG
요한	요한/NNP
바오로	바오로/NNP
2세	2/SN+세/NNB
상을	상/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.323.2.3
그의 조각상은 로마 테르미니역 앞에도, 바티칸박물관 로비에도 서 있다.

그의	그/NP+의/JKG
조각상은	조각상/NNG+은/JX
로마	로마/NNP
테르미니역	테르미니역/NNP
앞에도,	앞/NNG+에/JKB+도/JX+,/SP
바티칸박물관	바티칸박물관/NNP
로비에도	로비/NNG+에/JKB+도/JX
서	서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.323.2.4
1979년 주간지 타임은 취임 1년 만에 세계인의 환호를 받는 그를 표지 인물로 내세우며 이렇게 제목을 달았다.

1979년	1979/SN+년/NNB
주간지	주간지/NNG
타임은	타임/NNP+은/JX
취임	취임/NNG
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
세계인의	세계인/NNG+의/JKG
환호를	환호/NNG+를/JKO
받는	받/VV+는/ETM
그를	그/NP+를/JKO
표지	표지/NNG
인물로	인물/NNG+로/JKB
내세우며	내세우/VV+며/EC
이렇게	이렇/VA+게/EC
제목을	제목/NNG+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.323.2.5
'요한 바오로 수퍼스타'.

'요한	'/SS+요한/NNP
바오로	바오로/NNP
수퍼스타'.	수퍼스타/NNG+'/SS+./SF


# id : NWRW1800000038.323.2.6
록 뮤지컬 '지저스 크라이스트 수퍼스타'를 패러디한 제목이었다.

록	록/NNG
뮤지컬	뮤지컬/NNG
'지저스	'/SS+지저스/NNG
크라이스트	크라이스트/NNG
수퍼스타'를	수퍼스타/NNG+'/SS+를/JKO
패러디한	패러디/NNG+하/XSV+ㄴ/ETM
제목이었다.	제목/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.323.3.1
▶요한 바오로 2세가 선종한 지 8년, 타임이 다시 교황을 '수퍼스타'라고 불렀다.

▶요한	▶/SW+요한/NNP
바오로	바오로/NNP
2세가	2/SN+세/NNB+가/JKS
선종한	선종/NNG+하/XSV+ㄴ/ETM
지	지/NNB
8년,	8/SN+년/NNB+,/SP
타임이	타임/NNP+이/JKS
다시	다시/MAG
교황을	교황/NNG+을/JKO
'수퍼스타'라고	'/SS+수퍼스타/NNG+'/SS+라고/JKQ
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.323.3.2
일흔일곱 살 프란치스코 교황을 '올해의 인물'로 뽑으면서 '70대 수퍼스타'라는 표현을 썼다.

일흔일곱	일흔일곱/NR
살	살/NNB
프란치스코	프란치스코/NNP
교황을	교황/NNG+을/JKO
'올해의	'/SS+올해/NNG+의/JKG
인물'로	인물/NNG+'/SS+로/JKB
