# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.5
metadata : {}


# id : NWRW1800000026.5.1.1
[리뷰]연극 '둥둥 낙랑둥';살아 그리기도 어렵고 죽어 잊기도 어려워라

[리뷰]연극	[/SS+리뷰/NNG+]/SS+연극/NNG
'둥둥	'/SS+둥둥/MAG
낙랑둥';살아	낙랑둥/NNP+'/SS+;/SW+살/VV+아/EC
그리기도	그리/VV+기/ETN+도/JX
어렵고	어렵/VA+고/EC
죽어	죽/VV+어/EC
잊기도	잊/VV+기/ETN+도/JX
어려워라	어렵/VA+어라/EF


# id : NWRW1800000026.5.2.1
'그리다'라는 동사에는 '사랑하는 마음으로 간절히 생각한다'는 뜻이 들어 있다.

'그리다'라는	'/SS+그리/VV+다/EF+'/SS+이/VCP+라는/ETM
동사에는	동사/NNG+에/JKB+는/JX
'사랑하는	'/SS+사랑/NNG+하/XSV+는/ETM
마음으로	마음/NNG+으로/JKB
간절히	간절히/MAG
생각한다'는	생각/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
뜻이	뜻/NNG+이/JKS
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.5.2.2
국립극단의 《둥둥 낙랑 둥》(최인훈 작·최치림 연출)은 그 그리움의 힘으로 불을 때고 밥을 지어야 하는 연극이다.

국립극단의	국립극단/NNP+의/JKG
《둥둥	《/SS+둥둥/MAG
낙랑	낙랑/NNP
둥》(최인훈	둥/MAG+》/SS+(/SS+최인훈/NNP
작·최치림	작/NNG+·/SP+최치림/NNP
연출)은	연출/NNG+)/SS+은/JX
그	그/MMD
그리움의	그리움/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
불을	불/NNG+을/JKO
때고	때/VV+고/EC
밥을	밥/NNG+을/JKO
지어야	짓/VV+어야/EC
하는	하/VX+는/ETM
연극이다.	연극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.5.2.3
자명고를 찢고 죽은 낙랑공주(계미경)의 환영이 호동왕자(이상직) 앞에 나타나 "그대는 나를 묻으셨소? 정녕 그러시오?"라고 물을 때부터 이 작품은 죽은 자와 살아남은 자를 붙들어 매겠다는 열망을 고백한다.

자명고를	자명고/NNG+를/JKO
찢고	찢/VV+고/EC
죽은	죽/VV+은/ETM
낙랑공주(계미경)의	낙랑/NNP+공주/NNG+(/SS+계미경/NNP+)/SS+의/JKG
환영이	환영/NNG+이/JKS
호동왕자(이상직)	호동/NNP+왕자/NNG+(/SS+이상직/NNP+)/SS
앞에	앞/NNG+에/JKB
나타나	나타나/VV+아/EC
"그대는	"/SS+그대/NP+는/JX
나를	나/NP+를/JKO
묻으셨소?	묻/VV+으시/EP+었/EP+소/EF+?/SF
정녕	정녕/MAG
그러시오?"라고	그러/VV+시/EP+오/EF+?/SF+"/SS+라고/JKQ
물을	묻/VV+을/ETM
때부터	때/NNG+부터/JX
이	이/MMD
작품은	작품/NNG+은/JX
자와	자/NNB+와/JC
살아남은	살아남/VV+은/ETM
자를	자/NNB+를/JKO
붙들어	붙들/VV+어/EC
매겠다는	매/VV+겠/EP+다는/ETM
열망을	열망/NNG+을/JKO
고백한다.	고백/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.5.2.4
죽어 잊기도 어렵고, 살아 그리기도 어렵다.

죽어	죽/VV+어/EC
잊기도	잊/VV+기/ETN+도/JX
어렵고,	어렵/VA+고/EC+,/SP
살아	살/VV+아/EC
그리기도	그리/VV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000026.5.3.1
무대는 한 판 굿으로 여닫힌다.

무대는	무대/NNG+는/JX
한	한/MMN
판	판/NNG
굿으로	굿/NNG+으로/JKB
여닫힌다.	여닫히/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.5.3.2
공주와 왕자의 영혼을 불러내 응어리를 풀어주는 형식이다.

공주와	공주/NNG+와/JC
왕자의	왕자/NNG+의/JKG
영혼을	영혼/NNG+을/JKO
불러내	불러내/VV+어/EC
응어리를	응어리/NNG+를/JKO
풀어주는	풀/VV+어/EC+주/VX+는/ETM
형식이다.	형식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.5.3.3
찢긴 건 자명고가 아니라 호동의 마음이다.

찢긴	찢기/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
자명고가	자명고/NNG+가/JKC
아니라	아니/VCN+라/EC
호동의	호동/NNP+의/JKG
마음이다.	마음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.5.3.4
최인훈의 희곡은 낙랑을 점령한 왕자가 우울증에 빠졌으니 '이기고도 졌다'는 점을 문학적으로 강조한다.

최인훈의	최인훈/NNP+의/JKG
희곡은	희곡/NNG+은/JX
낙랑을	낙랑/NNP+을/JKO
점령한	점령/NNG+하/XSV+ㄴ/ETM
왕자가	왕자/NNG+가/JKS
우울증에	우울증/NNG+에/JKB
빠졌으니	빠지/VV+었/EP+으니/EC
'이기고도	'/SS+이기/VV+고/EC+도/JX
졌다'는	지/VV+었/EP+다/EF+'/SS+는/ETM
점을	점/NNG+을/JKO
문학적으로	문학/NNG+적/XSN+으로/JKB
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.5.3.5
대사는 아름답고 겹겹의 구조는 힘이 있다.

대사는	대사/NNG+는/JX
아름답고	아름답/VA+고/EC
겹겹의	겹겹/NNG+의/JKG
구조는	구조/NNG+는/JX
힘이	힘/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.5.4.1
그러나 연극은 원작을 넘어서지 못했다.

그러나	그러나/MAJ
연극은	연극/NNG+은/JX
원작을	원작/NNG+을/JKO
넘어서지	넘어서/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.5.4.2
불안한 눈빛의 왕자 이상직, 낙랑공주와 왕비를 왕복한 계미경, 꼽추 이혜경 등이 인상적인 순간을 빚어냈지만 전체적으로 연기는 거칠고 헐거웠다.

불안한	불안/NNG+하/XSA+ㄴ/ETM
눈빛의	눈빛/NNG+의/JKG
왕자	왕자/NNG
이상직,	이상직/NNP+,/SP
낙랑공주와	낙랑/NNP+공주/NNG+와/JC
왕비를	왕비/NNG+를/JKO
왕복한	왕복/NNG+하/XSV+ㄴ/ETM
계미경,	계미경/NNP+,/SP
꼽추	꼽추/NNG
이혜경	이혜경/NNP
등이	등/NNB+이/JKS
인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
순간을	순간/NNG+을/JKO
빚어냈지만	빚어내/VV+었/EP+지만/EC
전체적으로	전체/NNG+적/XSN+으로/JKB
연기는	연기/NNG+는/JX
거칠고	거칠/VA+고/EC
헐거웠다.	헐겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.5.4.3
관객을 집중시키는 밀도를 만들어내지 못했고, 대사가 관객에게 들리지 않는 배우들도 여럿 있었다.

관객을	관객/NNG+을/JKO
집중시키는	집중/NNG+시키/XSV+는/ETM
밀도를	밀도/NNG+를/JKO
만들어내지	만들/VV+어/EC+내/VX+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
대사가	대사/NNG+가/JKS
관객에게	관객/NNG+에게/JKB
들리지	들리/VV+지/EC
않는	않/VX+는/ETM
배우들도	배우/NNG+들/XSN+도/JX
여럿	여럿/NNG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.5.4.4
왕의 나른한 졸음, 비가 쏟아지는 엔딩 등 몇몇 장면에서는 좋은 그림을 보여줬지만 현실과 환상이 뒤섞이는 혼돈을 시각화하는 데까지는 이르지 못했다.

왕의	왕/NNG+의/JKG
나른한	나른하/VA+ㄴ/ETM
졸음,	졸음/NNG+,/SP
비가	비/NNG+가/JKS
쏟아지는	쏟아지/VV+는/ETM
엔딩	엔딩/NNG
등	등/NNB
몇몇	몇몇/NR
장면에서는	장면/NNG+에서/JKB+는/JX
좋은	좋/VA+은/ETM
그림을	그림/NNG+을/JKO
보여줬지만	보이/VV+어/EC+주/VX+었/EP+지만/EC
현실과	현실/NNG+과/JC
환상이	환상/NNG+이/JKS
뒤섞이는	뒤섞이/VV+는/ETM
혼돈을	혼돈/NNG+을/JKO
시각화하는	시각/NNG+화/XSN+하/XSV+는/ETM
데까지는	데/NNB+까지/JX+는/JX
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.5.5.1
드라마를 따라가는 재미는 있었다.

드라마를	드라마/NNG+를/JKO
따라가는	따라가/VV+는/ETM
재미는	재미/NNG+는/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.5.5.2
죽은 낙랑공주의 쌍둥이 언니가 호동왕자의 의붓어미라는 설정 때문이다.

죽은	죽/VV+은/ETM
낙랑공주의	낙랑/NNP+공주/NNG+의/JKG
쌍둥이	쌍둥이/NNG
언니가	언니/NNG+가/JKS
호동왕자의	호동/NNP+왕자/NNG+의/JKG
의붓어미라는	의붓어미/NNG+이/VCP+라는/ETM
설정	설정/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.5.5.3
낙랑이 무너질 때 슬퍼한 그녀는 호동왕자에게 마음을 열고 동생을 흉내 내면서 낙랑공주를 환생시킨다.

낙랑이	낙랑/NNP+이/JKS
무너질	무너지/VV+ㄹ/ETM
때	때/NNG
슬퍼한	슬퍼하/VV+ㄴ/ETM
그녀는	그녀/NP+는/JX
호동왕자에게	호동/NNP+왕자/NNG+에게/JKB
마음을	마음/NNG+을/JKO
열고	열/VV+고/EC
동생을	동생/NNG+을/JKO
흉내	흉내/NNG
내면서	내/VV+면서/EC
낙랑공주를	낙랑/NNP+공주/NNG+를/JKO
환생시킨다.	환생/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.5.6.1
현실과 환상에 대한 한국적 해석을 가다듬고 그리움의 에너지를 높이는 게 《둥둥 낙랑 둥》의 남은 과제다.

현실과	현실/NNG+과/JC
환상에	환상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한국적	한국/NNP+적/XSN
해석을	해석/NNG+을/JKO
가다듬고	가다듬/VV+고/EC
그리움의	그리움/NNG+의/JKG
에너지를	에너지/NNG+를/JKO
높이는	높이/VV+는/ETM
게	거/NNB+이/JKS
《둥둥	《/SS+둥둥/MAG
낙랑	낙랑/NNP
둥》의	둥/MAG+》/SS+의/JKG
남은	남/VV+은/ETM
과제다.	과제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.5.6.2
이 연극은 국가브랜드 공연으로 오는 10월 서울에서 열리는 씨어터올림픽에 출품된다.

이	이/MMD
연극은	연극/NNG+은/JX
국가브랜드	국가/NNG+브랜드/NNG
공연으로	공연/NNG+으로/JKB
오는	오/VV+는/ETM
10월	10/SN+월/NNB
서울에서	서울/NNP+에서/JKB
열리는	열리/VV+는/ETM
씨어터올림픽에	씨어터/NNG+올림픽/NNG+에/JKB
출품된다.	출품/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.5.7.1
▶14일까지 국립극장 달오름극장.

▶14일까지	▶/SW+14/SN+일/NNB+까지/JX
국립극장	국립극장/NNP
달오름극장.	달오름극장/NNP+./SF


# id : NWRW1800000026.5.7.2
(02)2280-4114

(02)2280-4114	(/SS+02/SN+)/SS+2280/SN+-/SO+4114/SN


