# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.343
metadata : {}


# id : NWRW1800000024.343.1.1
전북도, 2010 세계음식관광축제 유치

전북도,	전북도/NNP+,/SP
2010	2010/SN
세계음식관광축제	세계/NNG+음식/NNG+관광/NNG+축제/NNG
유치	유치/NNG


# id : NWRW1800000024.343.2.1
전북도는 ‘2010 세계음식관광축제’를 내년 11월 전북에서 연다고 21일 밝혔다.

전북도는	전북도/NNP+는/JX
‘2010	‘/SS+2010/SN
세계음식관광축제’를	세계/NNG+음식/NNG+관광/NNG+축제/NNG+’/SS+를/JKO
내년	내년/NNG
11월	11/SN+월/NNB
전북에서	전북/NNP+에서/JKB
연다고	열/VV+ㄴ다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.343.3.1
세계음식관광축제는 ‘한국방문의 해 위원회’가 2010년부터 2012년까지 3년 동안 추진할 4대 특별 이벤트(세계음식관광축제, 한류축제, 세계문화축제, 인바운드 박람회) 중 하나로, 전북도를 비롯해 전남, 대전 등 3개 시도가 유치 경쟁을 벌여왔다.

세계음식관광축제는	세계/NNG+음식/NNG+관광/NNG+축제/NNG+는/JX
‘한국방문의	‘/SS+한국/NNP+방문/NNG+의/JKG
해	해/NNG
위원회’가	위원회/NNG+’/SS+가/JKS
2010년부터	2010/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
3년	3/SN+년/NNB
동안	동안/NNG
추진할	추진/NNG+하/XSV+ㄹ/ETM
4대	4/SN+대/NNG
특별	특별/NNG
이벤트(세계음식관광축제,	이벤트/NNG+(/SS+세계/NNG+음식/NNG+관광/NNG+축제/NNG+,/SP
한류축제,	한류/NNG+축제/NNG+,/SP
세계문화축제,	세계/NNG+문화/NNG+축제/NNG+,/SP
인바운드	인바운드/NNG
박람회)	박람회/NNG+)/SS
중	중/NNB
하나로,	하나/NR+로/JKB+,/SP
전북도를	전북도/NNP+를/JKO
비롯해	비롯하/VV+아/EC
전남,	전남/NNP+,/SP
대전	대전/NNP
등	등/NNB
3개	3/SN+개/NNB
시도가	시도/NNG+가/JKS
유치	유치/NNG
경쟁을	경쟁/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.343.3.2
세계음식관광축제는 일주일간 전주 한옥마을과 월드컵경기장 등에서 열릴 예정이다.

세계음식관광축제는	세계/NNG+음식/NNG+관광/NNG+축제/NNG+는/JX
일주일간	일주일/NNG+간/XSN
전주	전주/NNP
한옥마을과	한옥/NNG+마을/NNG+과/JC
월드컵경기장	월드컵/NNG+경기장/NNG
등에서	등/NNB+에서/JKB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.343.4.1
전북도는 한식의 세계화를 목표로 10억원을 들여 행사를 추진하며, 국제발효식품 엑스포, 전주비빔밥 축제, 부안 젓갈축제, 고창 수산물축제, 순창 장류축제 등과 연계해 시너지효과를 낼 방침이다.

전북도는	전북도/NNP+는/JX
한식의	한식/NNG+의/JKG
세계화를	세계/NNG+화/XSN+를/JKO
목표로	목표/NNG+로/JKB
10억원을	10/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
행사를	행사/NNG+를/JKO
추진하며,	추진/NNG+하/XSV+며/EC+,/SP
국제발효식품	국제/NNG+발효/NNG+식품/NNG
엑스포,	엑스포/NNG+,/SP
전주비빔밥	전주비빔밥/NNG
축제,	축제/NNG+,/SP
부안	부안/NNP
젓갈축제,	젓갈/NNG+축제/NNG+,/SP
고창	고창/NNP
수산물축제,	수산물/NNG+축제/NNG+,/SP
순창	순창/NNP
장류축제	장류/NNG+축제/NNG
등과	등/NNB+과/JKB
연계해	연계/NNG+하/XSV+아/EC
시너지효과를	시너지/NNG+효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
