# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.85
metadata : {}


# id : NWRW1800000053.85.1.1
[Bio 의약]유럽 4종, 美1종, 韓4종… 바이오시밀러 제품 판매허가 획득

[Bio	[/SS+Bio/SL
의약]유럽	의약/NNG+]/SS+유럽/NNP
4종,	4/SN+종/NNG+,/SP
美1종,	美/SH+1/SN+종/NNG+,/SP
韓4종…	韓/SH+4/SN+종/NNG+…/SE
바이오시밀러	바이오시밀러/NNG
제품	제품/NNG
판매허가	판매/NNG+허가/NNG
획득	획득/NNG


# id : NWRW1800000053.85.2.1
삼성바이오에피스 올해 미국-유럽서 잇단 판매 승인 자가면역질환 치료제뿐 아니라 항암항체치료제 분야서도 역량과시

삼성바이오에피스	삼성바이오에피스/NNP
올해	올해/NNG
미국-유럽서	미국/NNP+-/SO+유럽/NNP+서/JKB
잇단	잇달/VV+ㄴ/ETM
판매	판매/NNG
승인	승인/NNG
자가면역질환	자가/NNG+면역/NNG+질환/NNG
치료제뿐	치료제/NNG+뿐/JX
아니라	아니/VCN+라/EC
항암항체치료제	항암/NNG+항체/NNG+치료제/NNG
분야서도	분야/NNG+서/JKB+도/JX
역량과시	역량/NNG+과시/NNG


# id : NWRW1800000053.85.3.1
삼성바이오에피스는 올해 레미케이드 바이오시밀러 ‘렌플렉시스(SB2)’의 미국 판매 승인과 휴미라 바이오시밀러 ‘임랄디(SB5)’, 허셉틴 바이오시밀러 ‘온트루잔트(SB3)’의 유럽 판매 승인을 받았다.

삼성바이오에피스는	삼성바이오에피스/NNP+는/JX
올해	올해/NNG
레미케이드	레미케이드/NNP
바이오시밀러	바이오시밀러/NNG
‘렌플렉시스(SB2)’의	‘/SS+렌플렉시스/NNP+(/SS+SB/SL+2/SN+)/SS+’/SS+의/JKG
미국	미국/NNP
판매	판매/NNG
승인과	승인/NNG+과/JC
휴미라	휴미라/NNP
‘임랄디(SB5)’,	‘/SS+임랄디/NNP+(/SS+SB/SL+5/SN+)/SS+’/SS+,/SP
허셉틴	허셉틴/NNP
‘온트루잔트(SB3)’의	‘/SS+온트루잔트/NNP+(/SS+SB/SL+3/SN+)/SS+’/SS+의/JKG
유럽	유럽/NNP
승인을	승인/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.85.3.2
이로써 현재까지 유럽 4종, 미국 1종, 한국 4종의 바이오시밀러 제품 판매 허가를 획득했다.

이로써	이/NP+로써/JKB
현재까지	현재/NNG+까지/JX
유럽	유럽/NNP
4종,	4/SN+종/NNG+,/SP
미국	미국/NNP
1종,	1/SN+종/NNG+,/SP
한국	한국/NNP
4종의	4/SN+종/NNG+의/JKG
바이오시밀러	바이오시밀러/NNG
제품	제품/NNG
판매	판매/NNG
허가를	허가/NNG+를/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.85.4.1
