# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.263
metadata : {}


# id : NWRW1800000046.263.1.1
[데스크에서] 조 교육감이 놓친 法조항

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
조	조/NNP
교육감이	교육감/NNG+이/JKS
놓친	놓치/VV+ㄴ/ETM
法조항	法/SH+조항/NNG


# id : NWRW1800000046.263.2.1
지난해 선거에서 경쟁 후보였던 고승덕 변호사의 미국 영주권 보유 의혹을 제기해 1심에서 당선무효형(벌금 500만원)을 선고받은 조희연 서울시교육감이 지난달 29일 서울고법에 항소했다.

지난해	지난해/NNG
선거에서	선거/NNG+에서/JKB
경쟁	경쟁/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
고승덕	고승덕/NNP
변호사의	변호사/NNG+의/JKG
미국	미국/NNP
영주권	영주/NNG+권/XSN
보유	보유/NNG
의혹을	의혹/NNG+을/JKO
제기해	제기/NNG+하/XSV+아/EC
1심에서	1심/NNG+에서/JKB
당선무효형(벌금	당선/NNG+무효형/NNG+(/SS+벌금/NNG
500만원)을	500/SN+만/NR+원/NNB+)/SS+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
조희연	조희연/NNP
서울시교육감이	서울시/NNP+교육감/NNG+이/JKS
지난달	지난달/NNG
29일	29/SN+일/NNB
서울고법에	서울고법/NNP+에/JKB
항소했다.	항소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.263.2.2
조 교육감은 "2심 재판부가 정해지는 대로 공직선거법 제250조 2항 허위사실공표죄에 대한 위헌법률심판 제청 신청도 할 예정"이라고 밝혔다.

조	조/NNP
교육감은	교육감/NNG+은/JX
"2심	"/SS+2심/NNG
재판부가	재판부/NNG+가/JKS
정해지는	정하/VV+아/EC+지/VX+는/ETM
대로	대로/NNB
공직선거법	공직/NNG+선거법/NNG
제250조	제/XPN+250/SN+조/NNB
2항	2/SN+항/NNG
허위사실공표죄에	허위/NNG+사실/NNG+공표죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위헌법률심판	위헌/NNG+법률/NNG+심판/NNG
제청	제청/NNG
신청도	신청/NNG+도/JX
할	하/VV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.263.2.3
자신에게 적용한 법조항이 위헌인지 아닌지 가려보겠다는 것이다.

자신에게	자신/NNG+에게/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
법조항이	법/NNG+조항/NNG+이/JKS
위헌인지	위헌/NNG+이/VCP+ㄴ지/EC
아닌지	아니/VCN+ㄴ지/EC
가려보겠다는	가려보/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.263.2.4
조 교육감은 재판부가 위헌법률심판 제청 신청을 거부할 경우 헌법재판소에 헌법소원을 낼 방침이다.

조	조/NNP
교육감은	교육감/NNG+은/JX
재판부가	재판부/NNG+가/JKS
위헌법률심판	위헌/NNG+법률/NNG+심판/NNG
제청	제청/NNG
신청을	신청/NNG+을/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
헌법재판소에	헌법/NNG+재판소/NNG+에/JKB
헌법소원을	헌법/NNG+소원/NNG+을/JKO
낼	내/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.263.2.5
조 교육감은 "허위사실공표죄는 OECD 가입 국가에는 거의 없고, 선거운동 기간에 표현과 언론의 자유를 지나치게 규제하는 것이므로 바로잡을 필요가 있다"고 했다.

조	조/NNP
교육감은	교육감/NNG+은/JX
"허위사실공표죄는	"/SS+허위/NNG+사실/NNG+공표죄/NNG+는/JX
OECD	OECD/SL
가입	가입/NNG
국가에는	국가/NNG+에/JKB+는/JX
거의	거의/MAG
없고,	없/VA+고/EC+,/SP
선거운동	선거/NNG+운동/NNG
기간에	기간/NNG+에/JKB
표현과	표현/NNG+과/JC
언론의	언론/NNG+의/JKG
자유를	자유/NNG+를/JKO
지나치게	지나치/VA+게/EC
규제하는	규제/NNG+하/XSV+는/ETM
것이므로	것/NNB+이/VCP+므로/EC
바로잡을	바로잡/VV+을/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.263.2.6
지난달 23일 1심 선고가 내려지자 조 교육감 지지자들은 재판석을 향해 "너희들 두고봐. 반드시 죽인다!"고 소란을 피운 것도 비슷한 정서를 반영한 결과일 것이다.

지난달	지난달/NNG
23일	23/SN+일/NNB
1심	1심/NNG
선고가	선고/NNG+가/JKS
내려지자	내려지/VV+자/EC
조	조/NNP
교육감	교육감/NNG
지지자들은	지지자/NNG+들/XSN+은/JX
재판석을	재판석/NNG+을/JKO
향해	향하/VV+아/EC
"너희들	"/SS+너희/NP+들/XSN
