# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.57
metadata : {}


# id : NWRW1800000022.57.1.1
오늘, 빛을 보았습니다 김수환 추기경이 각막 기증… 2명 눈 떠;19세때 시력잃은 73세 환자 30년전 공장서 사고당한 사람

오늘,	오늘/MAG+,/SP
빛을	빛/NNG+을/JKO
보았습니다	보/VV+았/EP+습니다/EF
김수환	김수환/NNP
추기경이	추기경/NNG+이/JKS
각막	각막/NNG
기증…	기증/NNG+…/SE
2명	2/SN+명/NNB
눈	눈/NNG
떠;19세때	뜨/VV+어/EC+;/SP+19/SN+세/NNB+때/NNG
시력잃은	시력/NNG+잃/VV+은/ETM
73세	73/SN+세/NNB
환자	환자/NNG
30년전	30/SN+년/NNB+전/NNG
공장서	공장/NNG+서/JKB
사고당한	사고/NNG+당하/XSV+ㄴ/ETM
사람	사람/NNG


# id : NWRW1800000022.57.2.1
16일 오후 6시30분, 김수환(金壽煥·87) 추기경이 선종(善終)한 서울 서초구 반포동 서울성모병원(옛 강남성모병원) 병실에 이 병원 안과 전문의 4명이 찾아왔다.

16일	16/SN+일/NNB
오후	오후/NNG
6시30분,	6/SN+시/NNB+30/SN+분/NNB+,/SP
김수환(金壽煥·87)	김수환/NNP+(/SS+金壽煥/SH+·/SP+87/SN+)/SS
추기경이	추기경/NNG+이/JKS
선종(善終)한	선종/NNG+(/SS+善終/SH+)/SS+하/XSV+ㄴ/ETM
서울	서울/NNP
서초구	서초구/NNP
반포동	반포동/NNP
서울성모병원(옛	서울성모병원/NNP+(/SS+옛/MMA
강남성모병원)	강남성모병원/NNP+)/SS
병실에	병실/NNG+에/JKB
이	이/MMD
병원	병원/NNG
안과	안과/NNG
전문의	전문의/NNG
4명이	4/SN+명/NNB+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.57.2.2
지난 1990년 김 추기경이 약속한 각막 기증을 받기 위해서였다.

지난	지나/VV+ㄴ/ETM
1990년	1990/SN+년/NNB
김	김/NNP
추기경이	추기경/NNG+이/JKS
약속한	약속/NNG+하/XSV+ㄴ/ETM
각막	각막/NNG
기증을	기증/NNG+을/JKO
받기	받/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.57.3.1
이들은 김 추기경의 병세가 위중하다는 연락을 받고 이날 오후 3시부터 수술 준비를 마치고 대기하고 있었다.

이들은	이/NP+들/XSN+은/JX
김	김/NNP
추기경의	추기경/NNG+의/JKG
병세가	병세/NNG+가/JKS
위중하다는	위중하/VA+다는/ETM
연락을	연락/NNG+을/JKO
받고	받/VV+고/EC
이날	이날/NNG
오후	오후/NNG
3시부터	3/SN+시/NNB+부터/JX
수술	수술/NNG
준비를	준비/NNG+를/JKO
마치고	마치/VV+고/EC
대기하고	대기/NNG+하/XSV+고/EC
