# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.128
metadata : {}


# id : NWRW1800000048.128.1.1
트랜스젠더, 백악관 고위 공무원에 첫 임명

트랜스젠더,	트랜스젠더/NNG+,/SP
백악관	백악관/NNP
고위	고위/NNG
공무원에	공무원/NNG+에/JKB
첫	첫/MMN
임명	임명/NNG


# id : NWRW1800000048.128.2.1
온두라스 출신 입양자 걸스팬, 지원·채용국장에

온두라스	온두라스/NNP
출신	출신/NNG
입양자	입양자/NNG
걸스팬,	걸스팬/NNP+,/SP
지원·채용국장에	지원/NNG+·/SP+채용국장/NNG+에/JKB


# id : NWRW1800000048.128.3.1
12살 때 동성애자 인식…대학 때 여성으로 전환

12살	12/SN+살/NNB
때	때/NNG
동성애자	동성애자/NNG
인식…대학	인식/NNG+…/SE+대학/NNG
여성으로	여성/NNG+으로/JKB
전환	전환/NNG


# id : NWRW1800000048.128.4.1
성전환자 밝히고 주의회 첫 근무 기록도

성전환자	성전환자/NNG
밝히고	밝히/VV+고/EC
주의회	주/NNG+의회/NNG
첫	첫/MMN
근무	근무/NNG
기록도	기록/NNG+도/JX


# id : NWRW1800000048.128.5.1
시민단체에서 활동하며 성전환자 인권운동 전개

시민단체에서	시민/NNG+단체/NNG+에서/JKB
활동하며	활동/NNG+하/XSV+며/EC
성전환자	성전환자/NNG
인권운동	인권/NNG+운동/NNG
전개	전개/NNG


# id : NWRW1800000048.128.6.1
미국 백악관이 트랜스젠더(성전환자)를 고위급 공무원으로 채용했다.

미국	미국/NNP
백악관이	백악관/NNP+이/JKS
트랜스젠더(성전환자)를	트랜스젠더/NNG+(/SS+성전환자/NNG+)/SS+를/JKO
고위급	고위급/NNG
공무원으로	공무원/NNG+으로/JKB
채용했다.	채용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.128.6.2
미 행정부의 몇몇 부처에선 성전환자들이 근무하고 있지만, 백악관 직원으로 임명된 것은 이번이 처음이다.

미	미/NNP
행정부의	행정부/NNG+의/JKG
몇몇	몇몇/NR
부처에선	부처/NNG+에서/JKB+ㄴ/JX
성전환자들이	성전환자/NNG+들/XSN+이/JKS
근무하고	근무/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
백악관	백악관/NNP
직원으로	직원/NNG+으로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.128.6.3
미 국방부도 성전환자의 군 복무를 허용하는 쪽으로 정책 전환을 추진하고 있다.

미	미/NNP
국방부도	국방부/NNG+도/JX
성전환자의	성전환자/NNG+의/JKG
군	군/NNG
복무를	복무/NNG+를/JKO
허용하는	허용/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
정책	정책/NNG
전환을	전환/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.128.7.1
밸러리 재럿 백악관 선임보좌관은 18일 성명을 통해 ‘전미 성전환자 평등센터’에서 인종·경제정의 담당 정책 보좌관으로 근무하고 있는 ‘여성 성전환자’ 라피 프리드먼 걸스팬(28)을 백악관 인사처의 지원·채용 국장으로 임명했다고 발표했다.
