# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.61
metadata : {}


# id : NWRW1800000021.61.1.1
[클림트의 ‘황금빛 유혹’ 특별전]남자 누드

[클림트의	[/SS+클림트/NNP+의/JKG
‘황금빛	‘/SS+황금빛/NNG
유혹’	유혹/NNG+’/SS
특별전]남자	특별전/NNG+]/SS+남자/NNG
누드	누드/NNG


# id : NWRW1800000021.61.2.1
‘뒷모습이 어여쁜/사람이 참으로/아름다운 사람이다/자기의 눈으로는 결코/확인이 되지 않는 뒷모습/오로지 타인에게로만 열린/또 하나의 표정/뒷모습은/고칠 수 없다/거짓말을 할 줄 모른다.’(나태주의 ‘뒷모습’)

‘뒷모습이	‘/SS+뒷모습/NNG+이/JKS
어여쁜/사람이	어여쁘/VA+ㄴ/ETM+//SP+사람/NNG+이/JKS
참으로/아름다운	참으로/MAG+//SP+아름답/VA+ㄴ/ETM
사람이다/자기의	사람/NNG+이/VCP+다/EF+//SP+자기/NNG+의/JKG
눈으로는	눈/NNG+으로/JKB+는/JX
결코/확인이	결코/MAG+//SP+확인/NNG+이/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
뒷모습/오로지	뒷모습/NNG+//SP+오로지/MAG
타인에게로만	타인/NNG+에게/JKB+로/JKB+만/JX
열린/또	열리/VV+ㄴ/ETM+//SP+또/MAG
하나의	하나/NR+의/JKG
표정/뒷모습은/고칠	표정/NNG+//SP+뒷모습/NNG+은/JX+//SP+고치/VV+ㄹ/ETM
수	수/NNB
없다/거짓말을	없/VA+다/EF+//SP+거짓말/NNG+을/JKO
할	하/VV+ㄹ/ETM
줄	줄/NNB
모른다.’(나태주의	모르/VV+ㄴ다/EF+./SF+’/SS+(/SS+나태주/NNP+의/JKG
‘뒷모습’)	‘/SS+뒷모습/NNP+’/SS+)/SS


# id : NWRW1800000021.61.3.1
무방비 상태의 뒷모습을 드러낸 벌거벗은 남자.

무방비	무/XPN+방비/NNG
상태의	상태/NNG+의/JKG
뒷모습을	뒷모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
벌거벗은	벌거벗/VV+은/ETM
남자.	남자/NNG+./SF


# id : NWRW1800000021.61.3.2
클림트가 세 번째로 그렸던 남성 누드다.

클림트가	클림트/NNP+가/JKS
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
그렸던	그리/VV+었/EP+던/ETM
남성	남성/NNG
누드다.	누드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.61.3.3
실제 모델을 두고 작업한 그림으로 고전적 아카데미즘이 지배한 당시의 회화 흐름과 사실주의를 완벽히 숙지한 화가의 솜씨를 엿보게 한다.

실제	실제/NNG
모델을	모델/NNG+을/JKO
두고	두/VV+고/EC
작업한	작업/NNG+하/XSV+ㄴ/ETM
그림으로	그림/NNG+으로/JKB
고전적	고전/NNG+적/XSN
아카데미즘이	아카데미즘/NNG+이/JKS
지배한	지배/NNG+하/XSV+ㄴ/ETM
당시의	당시/NNG+의/JKG
회화	회화/NNG
흐름과	흐름/NNG+과/JC
사실주의를	사실주의/NNG+를/JKO
완벽히	완벽히/MAG
숙지한	숙지/NNG+하/XSV+ㄴ/ETM
화가의	화가/NNG+의/JKG
솜씨를	솜씨/NNG+를/JKO
엿보게	엿보/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.61.4.1
뒤돌아선 남자의 움직임과 손을 들어올린 모습을 꼼꼼하게 연구한 클림트.

뒤돌아선	뒤돌아서/VV+ㄴ/ETM
남자의	남자/NNG+의/JKG
움직임과	움직임/NNG+과/JC
손을	손/NNG+을/JKO
들어올린	들/VV+어/EC+올리/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
연구한	연구/NNG+하/XSV+ㄴ/ETM
클림트.	클림트/NNP+./SF


# id : NWRW1800000021.61.4.2
심혈을 기울여 모델의 등과 어깨 근육을 표현했다.

심혈을	심혈/NNG+을/JKO
기울여	기울이/VV+어/EC
모델의	모델/NNG+의/JKG
등과	등/NNG+과/JC
어깨	어깨/NNG
근육을	근육/NNG+을/JKO
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.61.4.3
어려운 형편 때문에 클림트는 장학금을 받아 실업학교인 응용미술학교에 진학했다.

어려운	어렵/VA+ㄴ/ETM
형편	형편/NNG
때문에	때문/NNB+에/JKB
클림트는	클림트/NNP+는/JX
장학금을	장학금/NNG+을/JKO
받아	받/VV+아/EC
실업학교인	실업/NNG+학교/NNG+이/VCP+ㄴ/ETM
응용미술학교에	응용/NNG+미술/NNG+학교/NNG+에/JKB
진학했다.	진학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.61.4.4
남자 누드는 이 학교 재학 중 벽화가로 활동했던 초기의 작품이다.

남자	남자/NNG
누드는	누드/NNG+는/JX
이	이/MMD
학교	학교/NNG
재학	재학/NNG
중	중/NNB
벽화가로	벽화가/NNG+로/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
초기의	초기/NNG+의/JKG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.61.5.1
그는 18세부터 벽화작업을 시작했고 4년 후 동생과 ‘예술가 회사’를 차렸다.

그는	그/NP+는/JX
18세부터	18/SN+세/NNB+부터/JX
벽화작업을	벽화/NNG+작업/NNG+을/JKO
시작했고	시작/NNG+하/XSV+았/EP+고/EC
4년	4/SN+년/NNB
후	후/NNG
동생과	동생/NNG+과/JC
‘예술가	‘/SS+예술가/NNG
회사’를	회사/NNG+’/SS+를/JKO
차렸다.	차리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.61.5.2
젊은 시절의 벽화작업은 그에게 건축물과 3차원적 환영 사이에서 균형 잡는 법을 가르쳐 주었다.

젊은	젊/VA+은/ETM
시절의	시절/NNG+의/JKG
벽화작업은	벽화/NNG+작업/NNG+은/JX
그에게	그/NP+에게/JKB
건축물과	건축물/NNG+과/JKB
3차원적	3/SN+차원/NNG+적/XSN
환영	환영/NNG
사이에서	사이/NNG+에서/JKB
균형	균형/NNG
잡는	잡/VV+는/ETM
법을	법/NNB+을/JKO
가르쳐	가르치/VV+어/EC
주었다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.61.5.3
또 여기서 싹튼 현실과 추상, 미술과 건축의 결합에 대한 관심이 훗날 그가 추구한 토털 아트의 뿌리를 이룬다.

또	또/MAG
여기서	여기/NP+서/JKB
싹튼	싹트/VV+ㄴ/ETM
현실과	현실/NNG+과/JC
추상,	추상/NNG+,/SP
미술과	미술/NNG+과/JC
건축의	건축/NNG+의/JKG
결합에	결합/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
훗날	훗날/NNG
그가	그/NP+가/JKS
추구한	추구/NNG+하/XSV+ㄴ/ETM
토털	토털/NNG
아트의	아트/NNG+의/JKG
뿌리를	뿌리/NNG+를/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.61.5.4
역경을 딛고 더 높이 도약한 화가, 그가 바로 클림트다.

역경을	역경/NNG+을/JKO
딛고	딛/VV+고/EC
더	더/MAG
높이	높이/MAG
도약한	도약/NNG+하/XSV+ㄴ/ETM
화가,	화가/NNG+,/SP
그가	그/NP+가/JKS
바로	바로/MAG
클림트다.	클림트/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000021.61.5.5
02-334-4254, www.klimtkorea.co.kr

02-334-4254,	02/SN+-/SO+334/SN+-/SO+4254/SN+,/SP
www.klimtkorea.co.kr	www/SL+./SP+klimtkorea/SL+./SP+co/SL+./SP+kr/SL


