# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.200
metadata : {}


# id : NWRW1800000044.200.1.1
안전점검 업체는 을, 선주는 갑 세월호 구명뗏목 점검 업체, 청해진 임원에 500만원 건네

안전점검	안전/NNG+점검/NNG
업체는	업체/NNG+는/JX
을,	을/NNG+,/SP
선주는	선주/NNG+는/JX
갑	갑/NNG
세월호	세월호/NNP
구명뗏목	구명/NNG+뗏목/NNG
점검	점검/NNG
업체,	업체/NNG+,/SP
청해진	청해진/NNP
임원에	임원/NNG+에/JKB
500만원	500/SN+만/NR+원/NNB
건네	건네/VV+어/EF


# id : NWRW1800000044.200.2.1
[한겨레] 작년 두차례 점검 담당 업체 대표

[한겨레]	[/SS+한겨레/NNP+]/SS
작년	작년/NNG
두차례	두/MMN+차례/NNG
점검	점검/NNG
담당	담당/NNG
업체	업체/NNG
대표	대표/NNG


# id : NWRW1800000044.200.3.1
돈 대출 요구에 차용증 없이 줘

돈	돈/NNG
대출	대출/NNG
요구에	요구/NNG+에/JKB
차용증	차용증/NNG
없이	없이/MAG
줘	주/VV+어/EF


# id : NWRW1800000044.200.4.1
“약한 처지…요청 거부 어렵다”

“약한	“/SS+약하/VA+ㄴ/ETM
처지…요청	처지/NNG+…/SE+요청/NNG
거부	거부/NNG
어렵다”	어렵/VA+다/EF+”/SS


# id : NWRW1800000044.200.5.1
세월호의 구명설비를 점검한 업체가 세월호 선사인 청해진해운의 안전관리담당 임원한테 500만원을 건넨 정황이 포착됐다.

세월호의	세월호/NNP+의/JKG
구명설비를	구명/NNG+설비/NNG+를/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
업체가	업체/NNG+가/JKS
세월호	세월호/NNP
선사인	선사/NNG+이/VCP+ㄴ/ETM
청해진해운의	청해진해운/NNP+의/JKG
안전관리담당	안전/NNG+관리/NNG+담당/NNG
임원한테	임원/NNG+한테/JKB
500만원을	500/SN+만/NR+원/NNB+을/JKO
건넨	건네/VV+ㄴ/ETM
정황이	정황/NNG+이/JKS
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.200.6.1
세월호 침몰 사고 원인을 수사하는 검경합동수사본부는 29일 청해진해운과 구명설비 점검 업체인 ㅎ사 등에서 압수한 업무 일지와 거래 계좌, 점검증서 등을 분석해 관리 부실과 점검 비리 여부를 조사중이라고 밝혔다.

세월호	세월호/NNP
침몰	침몰/NNG
사고	사고/NNG
원인을	원인/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
검경합동수사본부는	검경/NNG+합동/NNG+수사본부/NNG+는/JX
29일	29/SN+일/NNB
청해진해운과	청해진해운/NNP+과/JC
구명설비	구명/NNG+설비/NNG
점검	점검/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
ㅎ사	ㅎ/NNG+사/NNG
등에서	등/NNB+에서/JKB
압수한	압수/NNG+하/XSV+ㄴ/ETM
업무	업무/NNG
일지와	일지/NNG+와/JC
거래	거래/NNG
계좌,	계좌/NNG+,/SP
점검증서	점검/NNG+증서/NNG
등을	등/NNB+을/JKO
분석해	분석/NNG+하/XSV+아/EC
관리	관리/NNG
부실과	부실/NNG+과/JC
비리	비리/NNG
여부를	여부/NNG+를/JKO
조사중이라고	조사/NNG+중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.200.6.2
수사본부는 특히 선사와 점검 업체 사이에 비정상적인 금전 거래가 있었는지 살펴보고 있다.

수사본부는	수사본부/NNG+는/JX
특히	특히/MAG
선사와	선사/NNG+와/JC
점검	점검/NNG
업체	업체/NNG
사이에	사이/NNG+에/JKB
비정상적인	비/XPN+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
금전	금전/NNG
거래가	거래/NNG+가/JKS
있었는지	있/VA+었/EP+는지/EF
살펴보고	살펴보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.200.7.1
ㅎ사는 2012년 12월과 지난 2월10~19일 두차례 세월호의 구명뗏목을 점검했다.

ㅎ사는	ㅎ/NNG+사/NNG+는/JX
2012년	2012/SN+년/NNB
12월과	12/SN+월/NNB+과/JC
지난	지나/VV+ㄴ/ETM
2월10~19일	2/SN+월/NNB+10/SN+~/SO+19/SN+일/NNB
두차례	두/MMN+차례/NNG
세월호의	세월호/NNP+의/JKG
구명뗏목을	구명/NNG+뗏목/NNG+을/JKO
점검했다.	점검/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.200.7.2
세월호의 ‘쌍둥이 배’로 불리는 오하마나호도 2012년 4월과 지난해 5월 이 업체에서 두차례 점검을 했고, 다음달 세번째 점검을 받을 예정이었다.

세월호의	세월호/NNP+의/JKG
‘쌍둥이	‘/SS+쌍둥이/NNG
배’로	배/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
오하마나호도	오하마나호/NNP+도/JX
2012년	2012/SN+년/NNB
4월과	4/SN+월/NNB+과/JC
지난해	지난해/NNG
5월	5/SN+월/NNB
이	이/MMD
업체에서	업체/NNG+에서/JKB
두차례	두/MMN+차례/NNG
점검을	점검/NNG+을/JKO
했고,	하/VV+았/EP+고/EC+,/SP
다음달	다음/NNG+달/NNG
세번째	세/MMN+번/NNB+째/XSN
받을	받/VV+을/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.200.7.3
구명뗏목은 1년마다 제대로 펼쳐지는지 점검을 받아야 하고, 1개당 점검 비용은 40만원 정도다.

구명뗏목은	구명/NNG+뗏목/NNG+은/JX
1년마다	1/SN+년/NNB+마다/JX
제대로	제대로/MAG
펼쳐지는지	펼쳐지/VV+는지/EC
점검을	점검/NNG+을/JKO
받아야	받/VV+아야/EC
하고,	하/VX+고/EC+,/SP
1개당	1/SN+개/NNB+당/XSN
점검	점검/NNG
비용은	비용/NNG+은/JX
40만원	40/SN+만/NR+원/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.200.7.4
한차례 점검할 때마다 구명뗏목 46개가 실린 세월호는 1840만원, 39개를 보유한 오하마나호는 1560만원이 들어간다.

한차례	한/MMN+차례/NNG
점검할	점검/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
구명뗏목	구명/NNG+뗏목/NNG
46개가	46/SN+개/NNB+가/JKS
실린	실리/VV+ㄴ/ETM
세월호는	세월호/NNP+는/JX
