# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.53
metadata : {}


# id : NWRW1800000041.53.1.1
퓰리처賞 선택은… 국익보다 국민의 알권리

퓰리처賞	퓰리처/NNP+賞/SH
선택은…	선택/NNG+은/JX+…/SE
국익보다	국익/NNG+보다/JKB
국민의	국민/NNG+의/JKG
알권리	알/VV+ㄹ/ETM+권리/NNG


# id : NWRW1800000041.53.2.1
‘NSA 불법도청’ 실태 폭로… WP-가디언 공동 수상 ‘안보훼손’ 비판론 누그러뜨려

‘NSA	‘/SS+NSA/SL
불법도청’	불법/NNG+도청/NNG+’/SS
실태	실태/NNG
폭로…	폭로/NNG+…/SE
WP-가디언	WP/SL+-/SO+가디언/NNP
공동	공동/NNG
수상	수상/NNG
‘안보훼손’	‘/SS+안보/NNG+훼손/NNG+’/SS
비판론	비판/NNG+론/XSN
누그러뜨려	누그러뜨리/VV+어/EF


# id : NWRW1800000041.53.3.1
전 미국 국가안보국(NSA) 직원 에드워드 스노든이 넘겨준 기밀서류로 미국 정부의 불법 도·감청 실태를 폭로한 미국 워싱턴포스트(WP)와 영국 가디언이 언론 분야의 최고 권위상인 퓰리처상을 수상했다.

전	전/MMD
미국	미국/NNP
국가안보국(NSA)	국가/NNG+안보국/NNG+(/SS+NSA/SL+)/SS
직원	직원/NNG
에드워드	에드워드/NNP
스노든이	스노든/NNP+이/JKS
넘겨준	넘겨주/VV+ㄴ/ETM
기밀서류로	기밀/NNG+서류/NNG+로/JKB
정부의	정부/NNG+의/JKG
불법	불법/NNG
도·감청	도·감청/NNG
실태를	실태/NNG+를/JKO
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
워싱턴포스트(WP)와	워싱턴포스트/NNP+(/SS+WP/SL+)/SS+와/JC
영국	영국/NNP
가디언이	가디언/NNP+이/JKS
언론	언론/NNG
분야의	분야/NNG+의/JKG
최고	최고/NNG
권위상인	권위/NNG+상/NNG+이/VCP+ㄴ/ETM
퓰리처상을	퓰리처상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.3.2
이번 수상으로 ‘독자의 알 권리’와 ‘국익(國益)’ 중 무엇이 우선이냐는 논란도 수그러들 것으로 보인다.

이번	이번/NNG
수상으로	수상/NNG+으로/JKB
‘독자의	‘/SS+독자/NNG+의/JKG
알	알/VV+ㄹ/ETM
권리’와	권리/NNG+’/SS+와/JC
‘국익(國益)’	‘/SS+국익/NNG+(/SS+國益/SH+)/SS+’/SS
중	중/NNB
무엇이	무엇/NP+이/JKS
우선이냐는	우선/NNG+이/VCP+냐는/ETM
논란도	논란/NNG+도/JX
수그러들	수그러들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.53.4.1
미 컬럼비아대 언론대학원의 퓰리처상 선정위원회는 14일 저널리즘 14개 부문 및 문학·음악 7개 부문의 2014년 수상작을 발표하고 대상 격인 공공서비스 부문 수상작에 WP와 가디언의 폭로 기사를 선정했다.

미	미/NNP
컬럼비아대	컬럼비아대/NNP
언론대학원의	언론/NNG+대학원/NNG+의/JKG
퓰리처상	퓰리처상/NNG
선정위원회는	선정/NNG+위원회/NNG+는/JX
14일	14/SN+일/NNB
저널리즘	저널리즘/NNG
14개	14/SN+개/NNB
부문	부문/NNG
및	및/MAG
문학·음악	문학/NNG+·/SP+음악/NNG
7개	7/SN+개/NNB
부문의	부문/NNG+의/JKG
2014년	2014/SN+년/NNB
수상작을	수상작/NNG+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
대상	대상/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
공공서비스	공공/NNG+서비스/NNG
수상작에	수상작/NNG+에/JKB
WP와	WP/SL+와/JC
가디언의	가디언/NNP+의/JKG
폭로	폭로/NNG
기사를	기사/NNG+를/JKO
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.53.4.2
수상작을 쓴 기자는 WP의 바턴 겔먼(54)과 가디언의 글렌 그린월드(47) 등 총 3명.

수상작을	수상작/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
기자는	기자/NNG+는/JX
WP의	WP/SL+의/JKG
바턴	바턴/NNP
겔먼(54)과	겔먼/NNP+(/SS+54/SN+)/SS+과/JC
가디언의	가디언/NNP+의/JKG
글렌	글렌/NNP
그린월드(47)	그린월드/NNP+(/SS+47/SN+)/SS
등	등/NNB
총	총/MMA
3명.	3/SN+명/NNB+./SF


# id : NWRW1800000041.53.4.3
이들은 스노든의 문건을 토대로 미국 정부가 전자감시 프로그램 ‘프리즘’을 통해 수백만 명의 전화 통화 내역과 e메일 정보를 수집한 실태를 낱낱이 공개해 세계적인 반향을 일으켰다.

이들은	이/NP+들/XSN+은/JX
스노든의	스노든/NNP+의/JKG
문건을	문건/NNG+을/JKO
토대로	토대/NNG+로/JKB
미국	미국/NNP
정부가	정부/NNG+가/JKS
전자감시	전자/NNG+감시/NNG
프로그램	프로그램/NNG
‘프리즘’을	‘/SS+프리즘/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
수백만	수백만/NR
명의	명/NNB+의/JKG
전화	전화/NNG
통화	통화/NNG
내역과	내역/NNG+과/JC
e메일	e/SL+메일/NNG
정보를	정보/NNG+를/JKO
수집한	수집/NNG+하/XSV+ㄴ/ETM
실태를	실태/NNG+를/JKO
낱낱이	낱낱이/MAG
공개해	공개/NNG+하/XSV+아/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
반향을	반향/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.53.5.1
퓰리처상은 미 언론재벌 조지프 퓰리처의 유언에 따라 1917년 창설됐다.

퓰리처상은	퓰리처상/NNG+은/JX
