# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.76
metadata : {}


# id : NWRW1800000041.76.1.1
[2014 국가소비자중심브랜드대상]우수한 품질+스포츠 마케팅, 글로벌 톱 10 진입위한 원동력

[2014	[/SS+2014/SN
국가소비자중심브랜드대상]우수한	국가/NNG+소비자/NNG+중심/NNG+브랜드/NNG+대상/NNG+]/SS+우수/NNG+하/XSA+ㄴ/ETM
품질+스포츠	품질/NNG++/SW+스포츠/NNG
마케팅,	마케팅/NNG+,/SP
글로벌	글로벌/NNG
톱	톱/NNG
10	10/SN
진입위한	진입/NNG+위하/VV+ㄴ/ETM
원동력	원동력/NNG


# id : NWRW1800000041.76.2.1
1942년 설립된 넥센타이어는 1956년 전후 대한민국 최초로 자동차용 타이어를 생산했다.

1942년	1942/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
넥센타이어는	넥센타이어/NNP+는/JX
1956년	1956/SN+년/NNB
전후	전후/NNG
대한민국	대한민국/NNP
최초로	최초/NNG+로/JKB
자동차용	자동차/NNG+용/XSN
타이어를	타이어/NNG+를/JKO
생산했다.	생산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.76.2.2
또 대한민국 최초로 V자형 로테이션 타이어를 개발했으며 지난 70여 년간 축적되어 온 노하우와 기술력을 바탕으로 다양한 타이어를 생산해 판매하고 있다.

또	또/MAG
대한민국	대한민국/NNP
최초로	최초/NNG+로/JKB
V자형	V/SL+자형/NNG
로테이션	로테이션/NNG
타이어를	타이어/NNG+를/JKO
개발했으며	개발/NNG+하/XSV+았/EP+으며/EC
지난	지나/VV+ㄴ/ETM
70여	70/SN+여/XSN
년간	년/NNB+간/XSN
축적되어	축적/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
노하우와	노하우/NNG+와/JC
기술력을	기술력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
생산해	생산/NNG+하/XSV+아/EC
판매하고	판매/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.76.3.1
넥센타이어는 2000년 기업이미지 혁신을 위해 ‘넥센타이어’로 회사명을 변경했다.

넥센타이어는	넥센타이어/NNP+는/JX
2000년	2000/SN+년/NNB
기업이미지	기업/NNG+이미지/NNG
