# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.319
metadata : {}


# id : NWRW1800000053.319.1.1
‘일장기 말소’ 애국정신 현충원에 잠들다

‘일장기	‘/SS+일장기/NNG
말소’	말소/NNG+’/SS
애국정신	애국정신/NNG
현충원에	현충원/NNP+에/JKB
잠들다	잠들/VV+다/EF


# id : NWRW1800000053.319.2.1
1936년 말소 주역 신낙균 선생 당시 동아일보 사진과장 재직… 별세 62년만에 유해 옮겨 안장

1936년	1936/SN+년/NNB
말소	말소/NNG
주역	주역/NNG
신낙균	신낙균/NNP
선생	선생/NNG
당시	당시/NNG
동아일보	동아일보/NNP
사진과장	사진과장/NNG
재직…	재직/NNG+…/SE
별세	별세/NNG
62년만에	62/SN+년/NNB+만/NNB+에/JKB
유해	유해/NNG
옮겨	옮기/VV+어/EC
안장	안장/NNG


# id : NWRW1800000053.319.3.1
“사진은 단순히 기념이나 오락이 아니다.

“사진은	“/SS+사진/NNG+은/JX
단순히	단순히/MAG
기념이나	기념/NNG+이나/JC
오락이	오락/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.319.3.2
사진의 앵글에 따라 국가의 안위가 바뀔 수도 있다.”

사진의	사진/NNG+의/JKG
앵글에	앵글/NNG+에/JKB
따라	따르/VV+아/EC
국가의	국가/NNG+의/JKG
안위가	안위/NNG+가/JKS
바뀔	바뀌/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000053.319.4.1
신문영 운정재단 사무총장(69)이 기억하는 할아버지 신낙균 선생(1899∼1955)의 굳은 신념이자 의지다.

신문영	신문영/NNP
운정재단	운정재단/NNP
사무총장(69)이	사무총장/NNG+(/SS+69/SN+)/SS+이/JKS
기억하는	기억/NNG+하/XSV+는/ETM
할아버지	할아버지/NNG
신낙균	신낙균/NNP
선생(1899∼1955)의	선생/NNG+(/SS+1899/SN+∼/SO+1955/SN+)/SS+의/JKG
굳은	굳/VA+은/ETM
신념이자	신념/NNG+이/VCP+자/EC
의지다.	의지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.319.4.2
신 선생은 동아일보 사진과장이던 1936년 베를린 올림픽 마라톤에서 우승한 손기정 선생(1912∼2002)의 사진 속 일장기를 지우고 신문에 실은 주역 중 한 명이다.

신	신/NNP
선생은	선생/NNG+은/JX
동아일보	동아일보/NNP
사진과장이던	사진과장/NNG+이/VCP+던/ETM
1936년	1936/SN+년/NNB
베를린	베를린/NNP
올림픽	올림픽/NNG
마라톤에서	마라톤/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
손기정	손기정/NNP
선생(1912∼2002)의	선생/NNG+(/SS+1912/SN+∼/SO+2002/SN+)/SS+의/JKG
사진	사진/NNG
속	속/NNG
일장기를	일장기/NNG+를/JKO
지우고	지우/VV+고/EC
신문에	신문/NNG+에/JKB
실은	싣/VV+은/ETM
주역	주역/NNG
중	중/NNB
한	한/MMN
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.319.5.1
그해 8월 25일 동아일보는 2면에 일장기가 삭제된 손 선생의 사진과 함께 금메달 소식을 전했다.

그해	그해/NNG
8월	8/SN+월/NNB
25일	25/SN+일/NNB
동아일보는	동아일보/NNP+는/JX
2면에	2/SN+면/NNG+에/JKB
일장기가	일장기/NNG+가/JKS
삭제된	삭제/NNG+되/XSV+ㄴ/ETM
손	손/NNP
선생의	선생/NNG+의/JKG
사진과	사진/NNG+과/JKB
함께	함께/MAG
금메달	금메달/NNG
소식을	소식/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.319.5.2
이는 민족의 희망과 자존심을 회복시키고 자긍심을 높이는 계기였다.

이는	이/NP+는/JX
민족의	민족/NNG+의/JKG
희망과	희망/NNG+과/JC
자존심을	자존심/NNG+을/JKO
회복시키고	회복/NNG+시키/XSV+고/EC
자긍심을	자긍심/NNG+을/JKO
높이는	높이/VV+는/ETM
계기였다.	계기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.319.5.3
그러나 신 선생 등 7명은 일본 경찰에 체포돼 모진 고문을 당했다.

그러나	그러나/MAJ
신	신/NNP
선생	선생/NNG
등	등/NNB
7명은	7/SN+명/NNB+은/JX
일본	일본/NNP
경찰에	경찰/NNG+에/JKB
체포돼	체포/NNG+되/XSV+어/EC
모진	모질/VA+ㄴ/ETM
고문을	고문/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.319.5.4
선생은 40일 만에 풀려났지만 사진과 관련된 일체의 활동이 금지됐다.

선생은	선생/NNG+은/JX
40일	40/SN+일/NNB
만에	만/NNB+에/JKB
풀려났지만	풀려나/VV+았/EP+지만/EC
