# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.289
metadata : {}


# id : NWRW1800000056.289.1.1
‘국민청원’ 부른 프로배구 오심 …“사상 최고 징계”

‘국민청원’	‘/SS+국민/NNG+청원/NNG+’/SS
부른	부르/VV+ㄴ/ETM
프로배구	프로/NNG+배구/NNG
오심	오심/NNG
…“사상	…/SE+“/SS+사상/NNG
최고	최고/NNG
징계”	징계/NNG+”/SS


# id : NWRW1800000056.289.2.1
19일 KB손보-한국전력 경기

19일	19/SN+일/NNB
KB손보-한국전력	KB손보/NNP+-/SO+한국전력/NNP
경기	경기/NNG


# id : NWRW1800000056.289.3.1
배구팬 청와대에 국민청원 ‘분노’

배구팬	배구/NNG+팬/NNG
청와대에	청와대/NNP+에/JKB
국민청원	국민/NNG+청원/NNG
‘분노’	‘/SS+분노/NNG+’/SS


# id : NWRW1800000056.289.4.1
상벌위, 주심·부심 무기한 출장정지

상벌위,	상벌위/NNG+,/SP
주심·부심	주심/NNG+·/SP+부심/NNG
무기한	무/XPN+기한/NNG
출장정지	출장/NNG+정지/NNG


# id : NWRW1800000056.289.5.1
배구연맹 “재경기는 전혀 검토 안해”

배구연맹	배구/NNG+연맹/NNG
“재경기는	“/SS+재/XPN+경기/NNG+는/JX
전혀	전혀/MAG
검토	검토/NNG
안해”	안/MAG+하/VV+아/EC+”/SS


# id : NWRW1800000056.289.6.1
청와대 국민청원까지 부른 ‘프로배구 오심’ 관계자들이 사상 최고의 중징계를 받았다.

청와대	청와대/NNP
국민청원까지	국민/NNG+청원/NNG+까지/JX
부른	부르/VV+ㄴ/ETM
‘프로배구	‘/SS+프로/NNG+배구/NNG
오심’	오심/NNG+’/SS
관계자들이	관계자/NNG+들/XSN+이/JKS
사상	사상/NNG
최고의	최고/NNG+의/JKG
중징계를	중징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.289.7.1
한국프로배구연맹(KOVO)은 21일 연맹 대회의실에서 상벌위원회를 열어 지난 19일 수원실내체육관에서 열린 한국전력과 케이비(KB)손해보험 경기에서 발생한 심판 판정 오류를 심의한 결과 경기 주심·부심과 경기 운영위원 등에게 중징계를 내렸다.

한국프로배구연맹(KOVO)은	한국프로배구연맹/NNP+(/SS+KOVO/SL+)/SS+은/JX
21일	21/SN+일/NNB
연맹	연맹/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
상벌위원회를	상벌/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
수원실내체육관에서	수원실내체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한국전력과	한국전력/NNP+과/JKB
케이비(KB)손해보험	케이비/NNP+(/SS+KB/SL+)/SS+손해/NNG+보험/NNG
경기에서	경기/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
심판	심판/NNG
판정	판정/NNG
오류를	오류/NNG+를/JKO
심의한	심의/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
경기	경기/NNG
주심·부심과	주심/NNG+·/SP+부심/NNG+과/JC
운영위원	운영/NNG+위원/NNG
등에게	등/NNB+에게/JKB
중징계를	중징계/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.289.7.2
해당 경기 진병운 주심과 이광훈 부심은 무기한 출장 정지, 어창선 경기감독관과 유명현 심판감독관은 무기한 자격 정지를 결정했다.

해당	해당/NNG
경기	경기/NNG
진병운	진병운/NNP
주심과	주심/NNG+과/JC
이광훈	이광훈/NNP
부심은	부심/NNG+은/JX
무기한	무/XPN+기한/NNG
출장	출장/NNG
정지,	정지/NNG+,/SP
어창선	어창선/NNP
경기감독관과	경기/NNG+감독관/NNG+과/JC
유명현	유명현/NNP
심판감독관은	심판/NNG+감독관/NNG+은/JX
자격	자격/NNG
정지를	정지/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.289.7.3
신춘삼 경기운영위원장과 주동욱 심판위원장에게는 관리 책임을 물어 서면경고를 했다.

신춘삼	신춘삼/NNP
경기운영위원장과	경기/NNG+운영/NNG+위원장/NNG+과/JC
주동욱	주동욱/NNP
심판위원장에게는	심판/NNG+위원장/NNG+에게/JKB+는/JX
관리	관리/NNG
책임을	책임/NNG+을/JKO
물어	묻/VV+어/EC
서면경고를	서면/NNG+경고/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.289.7.4
