# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.235
metadata : {}


# id : NWRW1800000052.235.1.1
우병우, 가족회사 통해 재산축소 세금회피했나

우병우,	우병우/NNP+,/SP
가족회사	가족/NNG+회사/NNG
통해	통하/VV+아/EC
재산축소	재산/NNG+축소/NNG
세금회피했나	세금/NNG+회피/NNG+하/XSV+았/EP+나/EF


# id : NWRW1800000052.235.2.1
부동산 관련 비상장 기업 설립

부동산	부동산/NNG
관련	관련/NNG
비상장	비/XPN+상장/NNG
기업	기업/NNG
설립	설립/NNG


# id : NWRW1800000052.235.3.1
우 수석 부인 자녀가 100% 보유

우	우/NNP
수석	수석/NNG
부인	부인/NNG
자녀가	자녀/NNG+가/JKS
100%	100/SN+%/SW
보유	보유/NNG


# id : NWRW1800000052.235.4.1
공직자 재산 신고때 액면가인

공직자	공직자/NNG
재산	재산/NNG
신고때	신고/NNG+때/NNG
액면가인	액면/NNG+가/XSN+이/VCP+ㄴ/ETM


# id : NWRW1800000052.235.5.1
5천만원만 등록… 실제가치 81억

5천만원만	5/SN+천만/NR+원/NNB+만/JX
등록…	등록/NNG+…/SE
실제가치	실제/NNG+가치/NNG
81억	81/SN+억/NR


# id : NWRW1800000052.235.6.1
부유층 세금회피 목적 흔히 이용

부유층	부유/NNG+층/XSN
세금회피	세금/NNG+회피/NNG
목적	목적/NNG
흔히	흔히/MAG
이용	이용/NNG


# id : NWRW1800000052.235.7.1
넥슨과의 1300억원대 땅 거래 개입 의혹 및 의경 아들의 보직특혜 논란이 일고 있는 우병우 청와대 민정수석에 대해, 가족 회사를 통해 세금을 줄이고 재산을 축소 신고했다는 의혹이 추가로 제기됐다.

넥슨과의	넥슨/NNP+과/JKB+의/JKG
1300억원대	1300/SN+억/NR+원/NNB+대/XSN
땅	땅/NNG
거래	거래/NNG
개입	개입/NNG
의혹	의혹/NNG
및	및/MAG
의경	의경/NNG
아들의	아들/NNG+의/JKG
보직특혜	보직/NNG+특혜/NNG
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
우병우	우병우/NNP
청와대	청와대/NNP
민정수석에	민정/NNG+수석/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
가족	가족/NNG
회사를	회사/NNG+를/JKO
통해	통하/VV+아/EC
세금을	세금/NNG+을/JKO
줄이고	줄이/VV+고/EC
재산을	재산/NNG+을/JKO
축소	축소/NNG
신고했다는	신고/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
추가로	추가/NNG+로/JKB
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.235.7.2
개인 재산을 법인 명의로 돌리는 것은 세금을 줄이기 위해 부동산 보유 부유층이 흔히 쓰는 방법이다.

개인	개인/NNG
재산을	재산/NNG+을/JKO
법인	법인/NNG
명의로	명의/NNG+로/JKB
돌리는	돌리/VV+는/ETM
것은	것/NNB+은/JX
세금을	세금/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
부동산	부동산/NNG
보유	보유/NNG
부유층이	부유/NNG+층/XSN+이/JKS
흔히	흔히/MAG
쓰는	쓰/VV+는/ETM
