# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.55
metadata : {}


# id : NWRW1800000029.55.1.1
“10년을 달렸다… 남미 고로제철소 꿈 이뤘다”

“10년을	“/SS+10/SN+년/NNB+을/JKO
달렸다…	달리/VV+었/EP+다/EF+…/SE
남미	남미/NNP
고로제철소	고로/NNG+제철소/NNG
꿈	꿈/NNG
이뤘다”	이루/VV+었/EP+다/EF+”/SS


# id : NWRW1800000029.55.2.1
■장세주 동국제강 회장,브라질 고로제철소 현황 보고식 참석

■장세주	■/SW+장세주/NNP
동국제강	동국제강/NNP
회장,브라질	회장/NNG+,/SP+브라질/NNP
고로제철소	고로/NNG+제철소/NNG
현황	현황/NNG
보고식	보고식/NNG
참석	참석/NNG


# id : NWRW1800000029.55.3.1
“10년이 걸렸다.

“10년이	“/SS+10/SN+년/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.3.2
집념이라는 말 외에 달리 설명할 길이 없다.

집념이라는	집념/NNG+이/VCP+라는/ETM
말	말/NNG
외에	외/NNB+에/JKB
달리	달리/MAG
설명할	설명/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.55.3.3
철강업은 나의 운명이며 철강을 향한 열정 때문에 브라질까지 달려왔다.”

철강업은	철강업/NNG+은/JX
나의	나/NP+의/JKG
운명이며	운명/NNG+이/VCP+며/EC
철강을	철강/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
열정	열정/NNG
때문에	때문/NNB+에/JKB
브라질까지	브라질/NNP+까지/JX
달려왔다.”	달려오/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000029.55.4.1
11일(현지 시간) 브라질 세아라 주 페셍 산업단지에 선 장세주 동국제강 회장(58)은 감격스러운 목소리로 이같이 말했다.

11일(현지	11/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
브라질	브라질/NNP
세아라	세아라/NNP
주	주/NNG
페셍	페셍/NNP
산업단지에	산업/NNG+단지/NNG+에/JKB
선	서/VV+ㄴ/ETM
장세주	장세주/NNP
동국제강	동국제강/NNP
회장(58)은	회장/NNG+(/SS+58/SN+)/SS+은/JX
감격스러운	감격/NNG+스럽/XSA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.4.2
이날 페셍 산업단지에서는 장 회장 외에 브라질의 첫 여성 대통령인 지우마 호세프 대통령, 무릴루 페헤이라 발레 회장 등이 참석한 가운데 동국제강과 포스코, 발레가 합작해 설립한 CSP의 고로 제철소 현황 보고식이 열렀다.

이날	이날/NNG
페셍	페셍/NNP
산업단지에서는	산업/NNG+단지/NNG+에서/JKB+는/JX
장	장/NNP
회장	회장/NNG
외에	외/NNB+에/JKB
브라질의	브라질/NNP+의/JKG
첫	첫/MMN
여성	여성/NNG
대통령인	대통령/NNG+이/VCP+ㄴ/ETM
지우마	지우마/NNP
호세프	호세프/NNP
대통령,	대통령/NNG+,/SP
무릴루	무릴루/NNP
페헤이라	페헤이라/NNP
발레	발레/NNP
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
동국제강과	동국제강/NNP+과/JC
포스코,	포스코/NNP+,/SP
발레가	발레/NNP+가/JKS
합작해	합작/NNG+하/XSV+아/EC
설립한	설립/NNG+하/XSV+ㄴ/ETM
CSP의	CSP/SL+의/JKG
고로	고로/NNG
제철소	제철소/NNG
현황	현황/NNG
보고식이	보고식/NNG+이/JKS
열렀다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.4.3
이날 보고회를 계기로 2001년 취임 이후 장 회장이 모든 것을 쏟아부은 동국제강의 브라질 고로 제철소 건설 프로젝트가 급물살을 타게 됐다.

이날	이날/NNG
보고회를	보고회/NNG+를/JKO
계기로	계기/NNG+로/JKB
2001년	2001/SN+년/NNB
취임	취임/NNG
이후	이후/NNG
장	장/NNP
회장이	회장/NNG+이/JKS
모든	모든/MMN
것을	것/NNB+을/JKO
쏟아부은	쏟아붓/VV+은/ETM
동국제강의	동국제강/NNP+의/JKG
브라질	브라질/NNP
고로	고로/NNG
제철소	제철소/NNG
건설	건설/NNG
프로젝트가	프로젝트/NNG+가/JKS
급물살을	급물살/NNG+을/JKO
타게	타/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.4.4
2009년 착공된 고로 제철소는 2015년 완공된다.

2009년	2009/SN+년/NNB
착공된	착공/NNG+되/XSV+ㄴ/ETM
고로	고로/NNG
제철소는	제철소/NNG+는/JX
2015년	2015/SN+년/NNB
완공된다.	완공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.55.5.1
○ ‘아버지의 꿈’ 이뤘다

○	○/SW
‘아버지의	‘/SS+아버지/NNG+의/JKG
꿈’	꿈/NNG+’/SS
이뤘다	이루/VV+었/EP+다/EF


# id : NWRW1800000029.55.6.1
동국제강의 창업주인 고 장경호 회장의 뒤를 이어 1983년 회장에 취임한 고 장상태 회장은 남미 지역에 고로 제철소를 건설하는 것을 평생의 숙원 사업으로 여겨왔다.

동국제강의	동국제강/NNP+의/JKG
창업주인	창업주/NNG+이/VCP+ㄴ/ETM
고	고/MMA
장경호	장경호/NNP
회장의	회장/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
1983년	1983/SN+년/NNB
회장에	회장/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
장상태	장상태/NNP
회장은	회장/NNG+은/JX
남미	남미/NNP
지역에	지역/NNG+에/JKB
고로	고로/NNG
제철소를	제철소/NNG+를/JKO
건설하는	건설/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
평생의	평생/NNG+의/JKG
숙원	숙원/NNG
사업으로	사업/NNG+으로/JKB
여겨왔다.	여기/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.55.6.2
동국제강은 “고로를 통해 생산된 철은 철광석에서 바로 뽑아낼 수 있어 최고급 철원으로 사용된다”며 “고급 후판용 쇳물을 자급하지 못하고 해외에서 수입해 왔기 때문에 고로 제철소 건립이 필요했다”고 설명했다.

동국제강은	동국제강/NNP+은/JX
“고로를	“/SS+고로/NNG+를/JKO
통해	통하/VV+아/EC
생산된	생산/NNG+되/XSV+ㄴ/ETM
철은	철/NNG+은/JX
철광석에서	철광석/NNG+에서/JKB
바로	바로/MAG
뽑아낼	뽑아내/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
최고급	최/XPN+고급/NNG
철원으로	철원/NNG+으로/JKB
사용된다”며	사용/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“고급	“/SS+고급/NNG
후판용	후판/NNG+용/XSN
쇳물을	쇳물/NNG+을/JKO
자급하지	자급/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
해외에서	해외/NNG+에서/JKB
수입해	수입/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
고로	고로/NNG
제철소	제철소/NNG
건립이	건립/NNG+이/JKS
필요했다”고	필요/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.6.3
실제로 동국제강은 제철소 건설에 대한 구체적인 계획까지 수립했지만 1997년 외환위기로 인해 국내외 사업환경이 악화되면서 어쩔 수 없이 사업을 접어야만 했다.

실제로	실제로/MAG
동국제강은	동국제강/NNP+은/JX
제철소	제철소/NNG
건설에	건설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
계획까지	계획/NNG+까지/JX
수립했지만	수립/NNG+하/XSV+았/EP+지만/EC
1997년	1997/SN+년/NNB
외환위기로	외환/NNG+위기/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
국내외	국내외/NNG
사업환경이	사업/NNG+환경/NNG+이/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
사업을	사업/NNG+을/JKO
접어야만	접/VV+어야/EC+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.1
아버지의 타계 이후 2001년 9월 회장에 취임한 장세주 회장은 취임 직후부터 고로 제철소 건설에 온 힘을 쏟았다.

아버지의	아버지/NNG+의/JKG
타계	타계/NNG
이후	이후/NNG
2001년	2001/SN+년/NNB
9월	9/SN+월/NNB
회장에	회장/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
장세주	장세주/NNP
회장은	회장/NNG+은/JX
취임	취임/NNG
직후부터	직후/NNG+부터/JX
고로	고로/NNG
제철소	제철소/NNG
건설에	건설/NNG+에/JKB
온	온/MMN
힘을	힘/NNG+을/JKO
쏟았다.	쏟/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.2
그는 남미 지역 가운데 브라질을 고로 제철소 건설을 위한 최적의 장소로 선정하고 그해 11월부터 투자를 본격적으로 검토했다.

그는	그/NP+는/JX
남미	남미/NNP
지역	지역/NNG
가운데	가운데/NNG
브라질을	브라질/NNP+을/JKO
고로	고로/NNG
제철소	제철소/NNG
건설을	건설/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
최적의	최적/NNG+의/JKG
장소로	장소/NNG+로/JKB
선정하고	선정/NNG+하/XSV+고/EC
그해	그해/NNG
11월부터	11/SN+월/NNB+부터/JX
투자를	투자/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
검토했다.	검토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.3
장 회장은 태스크포스팀(TFT)을 꾸려 직접 제철소 건설을 진두지휘했지만 장애물은 많았다.

장	장/NNP
회장은	회장/NNG+은/JX
태스크포스팀(TFT)을	태스크포스/NNG+팀/NNG+(/SS+TFT/SL+)/SS+을/JKO
꾸려	꾸리/VV+어/EC
직접	직접/MAG
제철소	제철소/NNG
건설을	건설/NNG+을/JKO
진두지휘했지만	진두지휘/NNG+하/XSV+았/EP+지만/EC
장애물은	장애물/NNG+은/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.4
2007년에는 에너지 가격이 폭등하면서 각국의 자원전략화 경향이 강해졌고, 2008∼2009년 금융위기로 또 한번 어려움을 겪었다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
에너지	에너지/NNG
가격이	가격/NNG+이/JKS
폭등하면서	폭등/NNG+하/XSV+면서/EC
각국의	각국/NNG+의/JKG
자원전략화	자원/NNG+전략/NNG+화/XSN
경향이	경향/NNG+이/JKS
강해졌고,	강하/VA+아/EC+지/VX+었/EP+고/EC+,/SP
2008∼2009년	2008/SN+∼/SO+2009/SN+년/NNB
금융위기로	금융/NNG+위기/NNG+로/JKB
또	또/MAG
한번	한/MMN+번/NNB
어려움을	어려움/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.55.7.5
장 회장은 그때마다 “어려움은 있지만 반드시 해낼 수 있다”며 직원들을 독려했다.

장	장/NNP
회장은	회장/NNG+은/JX
그때마다	그때/NNG+마다/JX
“어려움은	“/SS+어려움/NNG+은/JX
있지만	있/VA+지만/EC
반드시	반드시/MAG
해낼	해내/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
직원들을	직원/NNG+들/XSN+을/JKO
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.6
2007년 당시 루이스 이나시우 룰라 다 시우바 브라질 대통령에게는 “저희의 꿈에 동참해 주신다면 꿈은 현실로 변할 것”이라고 호소했다.

2007년	2007/SN+년/NNB
당시	당시/NNG
루이스	루이스/NNP
이나시우	이나시우/NNP
룰라	룰라/NNP
다	다/NNP
시우바	시우바/NNP
브라질	브라질/NNP
대통령에게는	대통령/NNG+에게/JKB+는/JX
“저희의	“/SS+저희/NP+의/JKG
꿈에	꿈/NNG+에/JKB
동참해	동참/NNG+하/XSV+아/EC
주신다면	주/VX+시/EP+ㄴ다면/EC
꿈은	꿈/NNG+은/JX
현실로	현실/NNG+로/JKB
변할	변하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.55.7.7
