# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.398
metadata : {}


# id : NWRW1800000045.398.1.1
[中 위안화, 3대 기축통화로]달러 의존 줄여 외환리스크 축소 기대

[中	[/SS+中/SH
위안화,	위안화/NNG+,/SP
3대	3/SN+대/NNG
기축통화로]달러	기축/NNG+통화/NNG+로/JKB+]/SS+달러/NNG
의존	의존/NNG
줄여	줄이/VV+어/EC
외환리스크	외환/NNG+리스크/NNG
축소	축소/NNG
기대	기대/NNG


# id : NWRW1800000045.398.2.1
해외자본 중국行… 국내서도 이탈 우려… 한국경제에 미치는 영향

해외자본	해외/NNG+자본/NNG
중국行…	중국/NNP+行/SH+…/SE
국내서도	국내/NNG+서/JKB+도/JX
이탈	이탈/NNG
우려…	우려/NNG+…/SE
한국경제에	한국/NNP+경제/NNG+에/JKB
미치는	미치/VV+는/ETM
영향	영향/NNG


# id : NWRW1800000045.398.3.1
위안화가 명실상부한 국제통화로 부상하면서 한국 경제와 금융시장에 대한 중국의 영향력은 앞으로 더욱 확대될 것으로 전망된다.

위안화가	위안화/NNG+가/JKS
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
국제통화로	국제/NNG+통화/NNG+로/JKB
부상하면서	부상/NNG+하/XSV+면서/EC
한국	한국/NNP
경제와	경제/NNG+와/JC
금융시장에	금융/NNG+시장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
영향력은	영향력/NNG+은/JX
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
확대될	확대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.398.3.2
전문가들의 의견을 종합해 보면 이런 변화는 한국에 긍정적 효과와 부정적 효과를 동시에 가져올 것으로 보인다.

전문가들의	전문가/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
종합해	종합/NNG+하/XSV+아/EC
보면	보/VX+면/EC
이런	이런/MMD
변화는	변화/NNG+는/JX
한국에	한국/NNP+에/JKB
긍정적	긍정/NNG+적/XSN
효과와	효과/NNG+와/JC
부정적	부정/NNG+적/XSN
효과를	효과/NNG+를/JKO
동시에	동시/NNG+에/JKB
가져올	가져오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.398.4.1
일단 중국은 한국의 최대 교역 상대국이자 자유무역협정(FTA), 통화스와프 협정 등으로도 긴밀하게 연결돼 있기 때문에 위안화의 국제적 위상이 높아지면 그만큼 한국 경제의 안정성을 높이는 데 도움이 될 것으로 분석된다.

일단	일단/MAG
중국은	중국/NNP+은/JX
한국의	한국/NNP+의/JKG
최대	최대/NNG
교역	교역/NNG
상대국이자	상대국/NNG+이/VCP+자/EC
자유무역협정(FTA),	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+,/SP
통화스와프	통화/NNG+스와프/NNG
협정	협정/NNG
등으로도	등/NNB+으로/JKB+도/JX
긴밀하게	긴밀하/VA+게/EC
연결돼	연결/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
위안화의	위안화/NNG+의/JKG
국제적	국제/NNG+적/XSN
위상이	위상/NNG+이/JKS
높아지면	높아지/VV+면/EC
그만큼	그만큼/MAG
한국	한국/NNP
경제의	경제/NNG+의/JKG
안정성을	안정/NNG+성/XSN+을/JKO
높이는	높이/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.398.5.1
이준협 현대경제연구원 경제동향실장은 “우리가 금융 부문에서 달러화에 지나치게 의존하고 있었기 때문에 위안화가 그 역할을 일부 대신한다면 위험 분산 차원에서 바람직한 일”이라며 “외환보유액의 건전성도 좋아지고, 금융 안정성에도 도움이 될 수 있다”고 말했다.

이준협	이준협/NNP
현대경제연구원	현대경제연구원/NNP
경제동향실장은	경제/NNG+동향실장/NNG+은/JX
“우리가	“/SS+우리/NP+가/JKS
금융	금융/NNG
부문에서	부문/NNG+에서/JKB
달러화에	달러화/NNG+에/JKB
지나치게	지나치/VA+게/EC
의존하고	의존/NNG+하/XSV+고/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
위안화가	위안화/NNG+가/JKS
그	그/MMD
역할을	역할/NNG+을/JKO
일부	일부/NNG
대신한다면	대신/NNG+하/XSV+ㄴ다면/EC
위험	위험/NNG
분산	분산/NNG
차원에서	차원/NNG+에서/JKB
바람직한	바람직하/VA+ㄴ/ETM
