# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.29
metadata : {}


# id : NWRW1800000036.29.1.1
“사회적 기업, 새 자본주의 시스템의 핵심”

“사회적	“/SS+사회/NNG+적/XSN
기업,	기업/NNG+,/SP
새	새/MMA
자본주의	자본주의/NNG
시스템의	시스템/NNG+의/JKG
핵심”	핵심/NNG+”/SS


# id : NWRW1800000036.29.2.1
[한겨레] ‘아시아 사회적 기업 리더 포럼’ 참여 알렉스 니콜스 옥스퍼드대 교수

[한겨레]	[/SS+한겨레/NNP+]/SS
‘아시아	‘/SS+아시아/NNP
사회적	사회/NNG+적/XSN
기업	기업/NNG
리더	리더/NNG
포럼’	포럼/NNG+’/SS
참여	참여/NNG
알렉스	알렉스/NNP
니콜스	니콜스/NNP
옥스퍼드대	옥스퍼드대/NNP
교수	교수/NNG


# id : NWRW1800000036.29.3.1
금융적 가치 한계 다다라 사회적 인간적 가치 좇는 시스템 짜야

금융적	금융/NNG+적/XSN
가치	가치/NNG
한계	한계/NNG
다다라	다다르/VV+아/EC
사회적	사회/NNG+적/XSN
인간적	인간/NNG+적/XSN
좇는	좇/VV+는/ETM
시스템	시스템/NNG
짜야	짜/VV+아야/EC


# id : NWRW1800000036.29.4.1
세상변혁 기업가 정신 필요…‘사업가 기질’ 아시아인 미래 주인공

세상변혁	세상/NNG+변혁/NNG
기업가	기업가/NNG
정신	정신/NNG
필요…‘사업가	필요/NNG+…/SE+‘/SS+사업가/NNG
기질’	기질/NNG+’/SS
아시아인	아시아인/NNG
미래	미래/NNG
주인공	주인공/NNG


# id : NWRW1800000036.29.5.1
“자본주의 경제 시스템은 무너졌다.

“자본주의	“/SS+자본주의/NNG
경제	경제/NNG
시스템은	시스템/NNG+은/JX
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.29.5.2
이제 질문은 ‘그다음은 무엇이냐’다.

이제	이제/MAG
질문은	질문/NNG+은/JX
‘그다음은	‘/SS+그다음/NNG+은/JX
무엇이냐’다.	무엇/NP+이/VCP+냐/EF+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.29.5.3
핵심 열쇳말은 사회적 기업과 아시아다.”

핵심	핵심/NNG
열쇳말은	열쇳말/NNG+은/JX
사회적	사회/NNG+적/XSN
기업과	기업/NNG+과/JC
아시아다.”	아시아/NNP+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000036.29.6.1
국내 최대 사회적 기업 국제 콘퍼런스인 ‘아시아 사회적기업 리더 공동포럼(SELF)’의 기조 강연을 맡아 한국을 찾은 앨릭스 니컬스(사진) 영국 옥스퍼드대학 교수는 3일 <한겨레>와 만나 “2008년 금융위기와 뒤이은 유럽 부채위기로 세계 경제는 더이상 과거로 돌아갈 수 없게 되었다”며 “대공황보다 심각한, 자본주의 사상 최악의 위기”라고 말했다.

국내	국내/NNG
최대	최대/NNG
사회적	사회/NNG+적/XSN
기업	기업/NNG
국제	국제/NNG
콘퍼런스인	콘퍼런스/NNG+이/VCP+ㄴ/ETM
‘아시아	‘/SS+아시아/NNP
사회적기업	사회/NNG+적/XSN+기업/NNG
리더	리더/NNG
공동포럼(SELF)’의	공동/NNG+포럼/NNG+(/SS+SELF/SL+)/SS+’/SS+의/JKG
기조	기조/NNG
강연을	강연/NNG+을/JKO
맡아	맡/VV+아/EC
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
앨릭스	앨릭스/NNP
니컬스(사진)	니컬스/NNP+(/SS+사진/NNG+)/SS
영국	영국/NNP
옥스퍼드대학	옥스퍼드대학/NNP
교수는	교수/NNG+는/JX
3일	3/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
만나	만나/VV+아/EC
“2008년	“/SS+2008/SN+년/NNB
금융위기와	금융/NNG+위기/NNG+와/JC
뒤이은	뒤잇/VV+은/ETM
유럽	유럽/NNP
부채위기로	부채/NNG+위기/NNG+로/JKB
세계	세계/NNG
경제는	경제/NNG+는/JX
더이상	더/MAG+이상/NNG
과거로	과거/NNG+로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
되었다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“대공황보다	“/SS+대/XPN+공황/NNG+보다/JKB
심각한,	심각하/VA+ㄴ/ETM+,/SP
자본주의	자본주의/NNG
사상	사상/NNG
최악의	최악/NNG+의/JKG
위기”라고	위기/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.29.6.2
1929년 대공황은 미국·유럽 등 서구에 타격을 주는 것으로 국한됐지만, 이번 위기는 전세계 모든 나라에 예외 없이 여파를 끼친다는 것이다.

1929년	1929/SN+년/NNB
