# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.378
metadata : {}


# id : NWRW1800000054.378.1.1
청계천 판잣집 소년가장이 쏘아올린 '인간승리 드라마'

청계천	청계천/NNP
판잣집	판잣집/NNG
소년가장이	소년/NNG+가장/NNG+이/JKS
쏘아올린	쏘/VV+아/EC+올리/VV+ㄴ/ETM
'인간승리	'/SS+인간/NNG+승리/NNG
드라마'	드라마/NNG+'/SS


# id : NWRW1800000054.378.2.1
김동연 경제부총리 후보자, 은행 취업 후 야간대학 진학… 경제기획원서 공직 첫발… '盧정부 비전 2030' 설계 주도…

김동연	김동연/NNP
경제부총리	경제/NNG+부총리/NNG
후보자,	후보자/NNG+,/SP
은행	은행/NNG
취업	취업/NNG
후	후/NNG
야간대학	야간/NNG+대학/NNG
진학…	진학/NNG+…/SE
경제기획원서	경제/NNG+기획원/NNG+서/JKB
공직	공직/NNG
첫발…	첫발/NNG+…/SE
'盧정부	'/SS+盧/SH+정부/NNG
비전	비전/NNG
2030'	2030/SN+'/SS
설계	설계/NNG
주도…	주도/NNG+…/SE


# id : NWRW1800000054.378.3.1
문재인 정부에서 첫 경제부총리를 맡게 될 김동연(60) 후보자는 상고(商高)와 야간 대학을 나와 부총리까지 오른 입지전적인 인물이다.

문재인	문재인/NNP
정부에서	정부/NNG+에서/JKB
첫	첫/MMN
경제부총리를	경제/NNG+부총리/NNG+를/JKO
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
김동연(60)	김동연/NNP+(/SS+60/SN+)/SS
후보자는	후보자/NNG+는/JX
상고(商高)와	상고/NNG+(/SS+商高/SH+)/SS+와/JC
야간	야간/NNG
대학을	대학/NNG+을/JKO
나와	나오/VV+아/EC
부총리까지	부총리/NNG+까지/JX
오른	오르/VV+ㄴ/ETM
입지전적인	입지전/NNG+적/XSN+이/VCP+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.378.3.2
명문대 출신이 즐비한 경제 부처에서 치밀한 업무 처리 능력을 인정받아 김영삼 정부부터 문재인 정부까지 역대 모든 정부에서 중용돼왔다.

명문대	명문대/NNG
출신이	출신/NNG+이/JKS
즐비한	즐비하/VA+ㄴ/ETM
경제	경제/NNG
부처에서	부처/NNG+에서/JKB
치밀한	치밀하/VA+ㄴ/ETM
업무	업무/NNG
처리	처리/NNG
능력을	능력/NNG+을/JKO
