# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.332
metadata : {}


# id : NWRW1800000045.332.1.1
[단독]일광그룹, 교회 통해 軍장비 중개료 세탁 정황

[단독]일광그룹,	[/SS+단독/NNG+]/SS+일광그룹/NNP+,/SP
교회	교회/NNG
통해	통하/VV+아/EC
軍장비	軍/SH+장비/NNG
중개료	중개료/NNG
세탁	세탁/NNG
정황	정황/NNG


# id : NWRW1800000045.332.2.1
[이완구發 사정 드라이브] 체포된 계열사 솔브레인 임원은… 이규태가 장로인 교회 목사 동생 합수단, 李회장 사기혐의 구속

[이완구發	[/SS+이완구/NNP+發/SH
사정	사정/NNG
드라이브]	드라이브/NNG+]/SS
체포된	체포/NNG+되/XSV+ㄴ/ETM
계열사	계열사/NNG
솔브레인	솔브레인/NNP
임원은…	임원/NNG+은/JX+…/SE
이규태가	이규태/NNP+가/JKS
장로인	장로/NNG+이/VCP+ㄴ/ETM
교회	교회/NNG
목사	목사/NNG
동생	동생/NNG
합수단,	합수단/NNG+,/SP
李회장	李/SH+회장/NNG
사기혐의	사기/NNG+혐의/NNG
구속	구속/NNG


# id : NWRW1800000045.332.3.1
공군 전자전 훈련장비(EWTS) 도입 사업 중개 과정에서 국방비 500여억 원을 가로챈 혐의를 받고 있는 이규태 일광그룹 회장(65)이 자신이 다니는 교회를 돈세탁 창구로 활용한 정황을 검찰이 포착한 것으로 13일 확인됐다.

공군	공군/NNG
전자전	전자전/NNG
훈련장비(EWTS)	훈련/NNG+장비/NNG+(/SS+EWTS/SL+)/SS
도입	도입/NNG
사업	사업/NNG
중개	중개/NNG
과정에서	과정/NNG+에서/JKB
국방비	국방비/NNG
500여억	500/SN+여/XSN+억/NR
원을	원/NNB+을/JKO
가로챈	가로채/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이규태	이규태/NNP
일광그룹	일광그룹/NNP
회장(65)이	회장/NNG+(/SS+65/SN+)/SS+이/JKS
자신이	자신/NNG+이/JKS
다니는	다니/VV+는/ETM
교회를	교회/NNG+를/JKO
돈세탁	돈세탁/NNG
창구로	창구/NNG+로/JKB
활용한	활용/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
