# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.407
metadata : {}


# id : NWRW1800000030.407.1.1
[수도권I] [경기도 이 사람] 승차권 수집만 40년… 박순구씨 "차표는 나를 훨훨 날게 하는 날개"

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
[경기도	[/SS+경기도/NNP
이	이/MMD
사람]	사람/NNG+]/SS
승차권	승차/NNG+권/XSN
수집만	수집/NNG+만/JX
40년…	40/SN+년/NNB+…/SE
박순구씨	박순구/NNP+씨/NNB
"차표는	"/SS+차표/NNG+는/JX
나를	나/NP+를/JKO
훨훨	훨훨/MAG
날게	날/VV+게/EC
하는	하/VX+는/ETM
날개"	날개/NNG+"/SS


# id : NWRW1800000030.407.2.1
경기도 화성에서 건물 경비원으로 일하는 박순구(49)씨는 초등학교 2학년 겨울방학 때인 1971년 의정부의 집 근처 버스정류장에서 우연히 버스 승차권을 주웠다.

경기도	경기도/NNP
화성에서	화성/NNP+에서/JKB
건물	건물/NNG
경비원으로	경비원/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
박순구(49)씨는	박순구/NNP+(/SS+49/SN+)/SS+씨/NNB+는/JX
초등학교	초등학교/NNG
2학년	2/SN+학년/NNG
겨울방학	겨울/NNG+방학/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
1971년	1971/SN+년/NNB
의정부의	의정부/NNP+의/JKG
집	집/NNG
근처	근처/NNG
버스정류장에서	버스/NNG+정류장/NNG+에서/JKB
우연히	우연히/MAG
버스	버스/NNG
승차권을	승차/NNG+권/XSN+을/JKO
주웠다.	줍/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.407.2.2
그 승차권으로 무작정 버스에 올랐다.

그	그/MMD
승차권으로	승차/NNG+권/XSN+으로/JKB
무작정	무작정/MAG
버스에	버스/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.407.2.3
버스에서 내다 본 풍경은 신기했다.

버스에서	버스/NNG+에서/JKB
내다	내/VV+어다/EC
본	보/VV+ㄴ/ETM
풍경은	풍경/NNG+은/JX
신기했다.	신기하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.407.2.4
즐거웠다.

즐거웠다.	즐겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.407.2.5
버스표는 그에게 바깥 세상으로 가는 다리가 되어줬다.

버스표는	버스표/NNG+는/JX
그에게	그/NP+에게/JKB
바깥	바깥/NNG
세상으로	세상/NNG+으로/JKB
가는	가/VV+는/ETM
다리가	다리/NNG+가/JKC
되어줬다.	되/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.407.2.6
"가난한 현실이 너무 싫었던 어린 제게 그때 그 버스표는 꿈이고 희망이었습니다.

"가난한	"/SS+가난/NNG+하/XSA+ㄴ/ETM
현실이	현실/NNG+이/JKS
너무	너무/MAG
싫었던	싫/VA+었/EP+던/ETM
어린	어리/VA+ㄴ/ETM
제게	저/NP+에게/JKB
그때	그때/NNG
그	그/MMD
버스표는	버스표/NNG+는/JX
꿈이고	꿈/NNG+이/VCP+고/EC
희망이었습니다.	희망/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000030.407.2.7
그때부터 버스표를 항상 주머니에 넣고 다니면서 '힘들면 언제든 도망갈 거야'라는 꿈을 꿨습니다."

그때부터	그때/NNG+부터/JX
버스표를	버스표/NNG+를/JKO
항상	항상/MAG
주머니에	주머니/NNG+에/JKB
넣고	넣/VV+고/EC
다니면서	다니/VV+면서/EC
'힘들면	'/SS+힘들/VA+면/EC
언제든	언제/NP+든/JX
도망갈	도망가/VV+ㄹ/ETM
거야'라는	거/NNB+이/VCP+야/EF+'/SS+이/VCP+라는/ETM
꿈을	꿈/NNG+을/JKO
꿨습니다."	꾸/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000030.407.3.1
박씨는 이때부터 버스, 기차, 비행기 등 교통수단 승차권을 닥치는 대로 모으기 시작했다.

박씨는	박/NNP+씨/NNB+는/JX
이때부터	이때/NNG+부터/JX
버스,	버스/NNG+,/SP
기차,	기차/NNG+,/SP
비행기	비행기/NNG
등	등/NNB
교통수단	교통수단/NNG
