# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.114
metadata : {}


# id : NWRW1800000024.114.1.1
북 언론들 “김위원장, 발사과정 관찰”

북	북/NNP
언론들	언론/NNG+들/XSN
“김위원장,	“/SS+김/NNP+위원장/NNG+,/SP
발사과정	발사/NNG+과정/NNG
관찰”	관찰/NNG+”/SS


# id : NWRW1800000024.114.2.1
북한이 ‘인공위성’ 발사 당일 김정일 국방위원장의 행적을 이례적으로 공개했다.

북한이	북한/NNP+이/JKS
‘인공위성’	‘/SS+인공위성/NNG+’/SS
발사	발사/NNG
당일	당일/NNG
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
행적을	행적/NNG+을/JKO
이례적으로	이례/NNG+적/XSN+으로/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.2.2
김 위원장을 직접 내세울 정도로 이번 위성 발사에 대한 북한 당국의 관심과 의미 부여가 각별하다는 뜻으로 읽힌다.

김	김/NNP
위원장을	위원장/NNG+을/JKO
직접	직접/MAG
내세울	내세우/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
이번	이번/NNG
위성	위성/NNG
발사에	발사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
북한	북한/NNP
당국의	당국/NNG+의/JKG
관심과	관심/NNG+과/JC
의미	의미/NNG
부여가	부여/NNG+가/JKS
각별하다는	각별/NNG+하/XSA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.114.3.1
북한 언론 매체들은 6일, 김 위원장이 5일 위성관제 종합지휘소를 찾아 ‘광명성 2호’의 발사 전 과정을 관찰했다고 일제히 보도했다.

북한	북한/NNP
언론	언론/NNG
매체들은	매체/NNG+들/XSN+은/JX
6일,	6/SN+일/NNB+,/SP
김	김/NNP
위원장이	위원장/NNG+이/JKS
5일	5/SN+일/NNB
위성관제	위성/NNG+관제/NNG
종합지휘소를	종합/NNG+지휘소/NNG+를/JKO
찾아	찾/VV+아/EC
‘광명성	‘/SS+광명성/NNP
2호’의	2/SN+호/NNB+’/SS+의/JKG
발사	발사/NNG
전	전/MMN
과정을	과정/NNG+을/JKO
관찰했다고	관찰/NNG+하/XSV+았/EP+다고/EC
일제히	일제히/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.3.2
<조선중앙방송>은 “광명성 2호가 자기 궤도에 순조롭게 정확히 진입한 순간, 폭풍 같은 만세와 환호성이 터져 올랐다”며 “과학자, 기술자들은 경애하는 장군님께 최대의 영예와 가장 뜨거운 감사를 드렸다”고 성공 순간을 묘사했다.

<조선중앙방송>은	</SS+조선중앙방송/NNP+>/SS+은/JX
“광명성	“/SS+광명성/NNP
2호가	2/SN+호/NNB+가/JKS
자기	자기/NNG
궤도에	궤도/NNG+에/JKB
순조롭게	순조/NNG+롭/XSA+게/EC
정확히	정확히/MAG
진입한	진입/NNG+하/XSV+ㄴ/ETM
순간,	순간/NNG+,/SP
폭풍	폭풍/NNG
같은	같/VA+은/ETM
만세와	만세/NNG+와/JC
환호성이	환호성/NNG+이/JKS
터져	터지/VV+어/EC
올랐다”며	오르/VV+았/EP+다/EF+”/SS+며/EC
“과학자,	“/SS+과학자/NNG+,/SP
기술자들은	기술자/NNG+들/XSN+은/JX
경애하는	경애/NNG+하/XSV+는/ETM
장군님께	장군/NNG+님/XSN+께/JKB
최대의	최대/NNG+의/JKG
영예와	영예/NNG+와/JC
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
감사를	감사/NNG+를/JKO
드렸다”고	드리/VV+었/EP+다/EF+”/SS+고/JKQ
성공	성공/NNG
순간을	순간/NNG+을/JKO
묘사했다.	묘사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.4.1
이 방송은 “(김 위원장이) 우리의 과학자, 기술자들이 자기의 지혜와 기술로 인공지구위성을 성과적으로 발사한 데 대하여 대만족을 표시하시면서 그들의 위훈을 높이 평가하시고 감사를 주시었다”고 보도했다.

이	이/MMD
방송은	방송/NNG+은/JX
“(김	“/SS+(/SS+김/NNP
위원장이)	위원장/NNG+이/JKS+)/SS
우리의	우리/NP+의/JKG
과학자,	과학자/NNG+,/SP
기술자들이	기술자/NNG+들/XSN+이/JKS
자기의	자기/NNG+의/JKG
지혜와	지혜/NNG+와/JC
기술로	기술/NNG+로/JKB
인공지구위성을	인공/NNG+지구/NNG+위성/NNG+을/JKO
성과적으로	성과/NNG+적/XSN+으로/JKB
발사한	발사/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대하여	대하/VV+아/EC
대만족을	대/XPN+만족/NNG+을/JKO
표시하시면서	표시/NNG+하/XSV+시/EP+면서/EC
그들의	그/NP+들/XSN+의/JKG
위훈을	위훈/NNG+을/JKO
높이	높이/MAG
평가하시고	평가/NNG+하/XSV+시/EP+고/EC
감사를	감사/NNG+를/JKO
주시었다”고	주/VV+시/EP+었/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.114.4.2
이어 김 위원장은 “단 한 번의 발사로 인공지구위성을 궤도에 정확히 진입시킨 것은 우리의 주체적인 과학기술의 자랑찬 위력의 과시”라며 과학자, 기술자들의 애국적 헌신성을 거듭 치하하고 이들과 기념사진을 찍었다고도 전했다.

이어	이어/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
“단	“/SS+단/MMA
한	한/MMN
번의	번/NNB+의/JKG
발사로	발사/NNG+로/JKB
인공지구위성을	인공/NNG+지구/NNG+위성/NNG+을/JKO
궤도에	궤도/NNG+에/JKB
정확히	정확히/MAG
진입시킨	진입/NNG+시키/XSV+ㄴ/ETM
것은	것/NNB+은/JX
우리의	우리/NP+의/JKG
