# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.271
metadata : {}


# id : NWRW1800000048.271.1.1
노인·출산가정도 공무원이 직접 찾아간다

노인·출산가정도	노인/NNG+·/SP+출산/NNG+가정/NNG+도/JX
공무원이	공무원/NNG+이/JKS
직접	직접/MAG
찾아간다	찾아가/VV+ㄴ다/EF


# id : NWRW1800000048.271.2.1
서울시 ‘찾아가는 동주민센터’

서울시	서울시/NNP
‘찾아가는	‘/SS+찾아가/VV+는/ETM
동주민센터’	동/NNG+주민/NNG+센터/NNG+’/SS


# id : NWRW1800000048.271.3.1
사회복지사·간호사 방문 등 확대

사회복지사·간호사	사회/NNG+복지사/NNG+·/SP+간호사/NNG
방문	방문/NNG
등	등/NNB
확대	확대/NNG


# id : NWRW1800000048.271.4.1
서울의 동주민센터 공무원들이 마을로 뛰어들어 복지서비스를 펼친다.

서울의	서울/NNP+의/JKG
동주민센터	동/NNG+주민/NNG+센터/NNG
공무원들이	공무원/NNG+들/XSN+이/JKS
마을로	마을/NNG+로/JKB
뛰어들어	뛰어들/VV+어/EC
복지서비스를	복지/NNG+서비스/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.271.5.1
서울시는 복지 사각지대를 없애기 위해 이달부터 13개 자치구 80개 동을 시작으로 ‘찾아가는 동주민센터’를 운영한다고 22일 밝혔다.

서울시는	서울시/NNP+는/JX
복지	복지/NNG
사각지대를	사각지대/NNG+를/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+아/EC
이달부터	이달/NNG+부터/JX
13개	13/SN+개/NNB
자치구	자치구/NNG
80개	80/SN+개/NNB
동을	동/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
‘찾아가는	‘/SS+찾아가/VV+는/ETM
동주민센터’를	동/NNG+주민/NNG+센터/NNG+’/SS+를/JKO
운영한다고	운영/NNG+하/XSV+ㄴ다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.271.6.1
박원순 서울시장은 이날 브리핑을 열어 “기다리던 복지에서 찾아가는 복지로 패러다임을 바꾸겠다.

박원순	박원순/NNP
서울시장은	서울시장/NNG+은/JX
이날	이날/NNG
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
“기다리던	“/SS+기다리/VV+던/ETM
복지에서	복지/NNG+에서/JKB
찾아가는	찾아가/VV+는/ETM
복지로	복지/NNG+로/JKB
패러다임을	패러다임/NNG+을/JKO
바꾸겠다.	바꾸/VV+겠/EP+다/EF+./SF


# id : NWRW1800000048.271.6.2
이를 위해 단순 민원과 행정처리 장소로서의 동주민센터를 혁신해 시민들의 복지와 건강을 살피고 공동체를 지원하는 곳으로 바꾸겠다”고 말했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
단순	단순/NNG
민원과	민원/NNG+과/JC
행정처리	행정/NNG+처리/NNG
장소로서의	장소/NNG+로서/JKB+의/JKG
동주민센터를	동/NNG+주민/NNG+센터/NNG+를/JKO
혁신해	혁신/NNG+하/XSV+아/EC
시민들의	시민/NNG+들/XSN+의/JKG
복지와	복지/NNG+와/JC
건강을	건강/NNG+을/JKO
살피고	살피/VV+고/EC
공동체를	공동체/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
곳으로	곳/NNG+으로/JKB
바꾸겠다”고	바꾸/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.271.7.1
찾아가는 복지 서비스 대상에는 기존 대상이었던 빈곤·위기가정 외에 65살 이상 노인과 출산 가정도 새로 포함됐다.

찾아가는	찾아가/VV+는/ETM
