# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.142
metadata : {}


# id : NWRW1800000052.142.1.1
부패 사회일수록 ‘거대한 신’ 군림한다

부패	부패/NNG
사회일수록	사회/NNG+이/VCP+ㄹ수록/EC
‘거대한	‘/SS+거대/NNG+하/XSA+ㄴ/ETM
신’	신/NNG+’/SS
군림한다	군림/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000052.142.2.1
잠깐 독서

잠깐	잠깐/MAG
독서	독서/NNG


# id : NWRW1800000052.142.3.1
거대한 신, 우리는 무엇을 믿는가

거대한	거대/NNG+하/XSA+ㄴ/ETM
신,	신/NNG+,/SP
우리는	우리/NP+는/JX
무엇을	무엇/NP+을/JKO
믿는가	믿/VV+는가/EF


# id : NWRW1800000052.142.4.1
아라 노렌자얀 지음, 홍지수 옮김, 오강남 해제/김영사·1만8000원

아라	아라/NNP
노렌자얀	노렌자얀/NNP
지음,	짓/VV+음/ETN+,/SP
홍지수	홍지수/NNP
옮김,	옮기/VV+ㅁ/ETN+,/SP
오강남	오강남/NNP
해제/김영사·1만8000원	해제/NNG+//SP+김영사/NNP+·/SP+1/SN+만/NR+8000/SN+원/NNB


# id : NWRW1800000052.142.5.1
먼 옛날부터 사람들은 높은 곳에서 지상을 내려다보는 ‘신의 눈’을 의식했다.

먼	멀/VA+ㄴ/ETM
옛날부터	옛날/NNG+부터/JX
사람들은	사람/NNG+들/XSN+은/JX
높은	높/VA+은/ETM
곳에서	곳/NNG+에서/JKB
지상을	지상/NNG+을/JKO
내려다보는	내려다보/VV+는/ETM
‘신의	‘/SS+신/NNG+의/JKG
눈’을	눈/NNG+’/SS+을/JKO
의식했다.	의식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.142.5.2
인간은 초자연적 감시자를 믿었기에 행동을 조심하고 서로 협력하게 되었던 것이다.

인간은	인간/NNG+은/JX
초자연적	초/XPN+자연/NNG+적/XSN
감시자를	감시자/NNG+를/JKO
믿었기에	믿/VV+었/EP+기에/EC
행동을	행동/NNG+을/JKO
조심하고	조심/NNG+하/XSV+고/EC
서로	서로/MAG
협력하게	협력/NNG+하/XSV+게/EC
되었던	되/VV+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.142.5.3
레바논 출신의 캐나다 심리학자 아라 노렌자얀은 <거대한 신, 우리는 무엇을 믿는가>에서 이렇게 신앙의 기원부터 종교가 사회를 만들고 어떤 식으로 변화시켜왔는지를 추적한다.

레바논	레바논/NNP
출신의	출신/NNG+의/JKG
캐나다	캐나다/NNP
심리학자	심리학자/NNG
아라	아라/NNP
노렌자얀은	노렌자얀/NNP+은/JX
<거대한	</SS+거대/NNG+하/XSA+ㄴ/ETM
신,	신/NNG+,/SP
우리는	우리/NP+는/JX
무엇을	무엇/NP+을/JKO
믿는가>에서	믿/VV+는가/EF+>/SS+에서/JKB
이렇게	이렇/VA+게/EC
신앙의	신앙/NNG+의/JKG
기원부터	기원/NNG+부터/JX
종교가	종교/NNG+가/JKS
사회를	사회/NNG+를/JKO
만들고	만들/VV+고/EC
어떤	어떤/MMD
식으로	식/NNB+으로/JKB
변화시켜왔는지를	변화/NNG+시키/XSV+어/EC+오/VX+았/EP+는지/EF+를/JKO
추적한다.	추적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.142.6.1
책의 뼈대를 이루는 이슈는 8가지.

책의	책/NNG+의/JKG
뼈대를	뼈대/NNG+를/JKO
이루는	이루/VV+는/ETM
이슈는	이슈/NNG+는/JX
8가지.	8/SN+가지/NNB+./SF


# id : NWRW1800000052.142.6.2
(인간은) 보는 눈이 있으면 언행을 삼간다, 지옥은 천국보다 훨씬(!) 설득력이 강하다, 거대한 집단에는 거대한 신이 필요하다 등이다.

(인간은)	(/SS+인간/NNG+은/JX+)/SS
보는	보/VV+는/ETM
눈이	눈/NNG+이/JKS
있으면	있/VA+으면/EC
언행을	언행/NNG+을/JKO
삼간다,	삼가/VV+ㄴ다/EF+,/SP
지옥은	지옥/NNG+은/JX
천국보다	천국/NNG+보다/JKB
훨씬(!)	훨씬/MAG+(/SS+!/SF+)/SS
설득력이	설득력/NNG+이/JKS
강하다,	강하/VA+다/EF+,/SP
거대한	거대/NNG+하/XSA+ㄴ/ETM
집단에는	집단/NNG+에/JKB+는/JX
신이	신/NNG+이/JKS
필요하다	필요/NNG+하/XSA+다/EF
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.142.6.3
지은이는 진화론·인지과학·사회과학 등 통섭적 연구 결과를 종합해 신이 불필요한 세속 사회와 종교의 관계를 설명했다.

지은이는	지은이/NNG+는/JX
진화론·인지과학·사회과학	진화/NNG+론/XSN+·/SP+인지/NNG+과학/NNG+·/SP+사회/NNG+과학/NNG
