# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.15
metadata : {}


# id : NWRW1800000056.15.1.1
부동산대책 이후 서울 아파트 첫 분양 나온다

부동산대책	부동산/NNG+대책/NNG
이후	이후/NNG
서울	서울/NNP
아파트	아파트/NNG
첫	첫/MMN
분양	분양/NNG
나온다	나오/VV+ㄴ다/EF


# id : NWRW1800000056.15.2.1
[한겨레] 고덕동 ‘센트럴푸르지오’, 수색동 ‘롯데캐슬 퍼스트’

[한겨레]	[/SS+한겨레/NNP+]/SS
고덕동	고덕동/NNP
‘센트럴푸르지오’,	‘/SS+센트럴푸르지오/NNP+’/SS+,/SP
수색동	수색동/NNP
‘롯데캐슬	‘/SS+롯데캐슬/NNP
퍼스트’	퍼스트/NNP+’/SS


# id : NWRW1800000056.15.3.1
대형브랜드 2개 단지 23일 본보기집 문열어

대형브랜드	대형/NNG+브랜드/NNG
2개	2/SN+개/NNB
단지	단지/NNG
23일	23/SN+일/NNB
본보기집	본보기집/NNG
문열어	문/NNG+열/VV+어/EF


# id : NWRW1800000056.15.4.1
전매제한 강화는 적용, 대출규제는 미적용

전매제한	전매/NNG+제한/NNG
강화는	강화/NNG+는/JX
적용,	적용/NNG+,/SP
대출규제는	대출/NNG+규제/NNG+는/JX
미적용	미/XPN+적용/NNG


# id : NWRW1800000056.15.5.1
금융당국 7월3일 이전 대출 선수요 관리 나서

금융당국	금융/NNG+당국/NNG
7월3일	7/SN+월/NNB+3/SN+일/NNB
이전	이전/NNG
대출	대출/NNG
선수요	선수요/NNG
관리	관리/NNG
나서	나서/VV+어/EF


# id : NWRW1800000056.15.6.1
서울 등 청약조정지역에서 분양권 전매제한과 담보인정비율(LTV)·총부채상한비율(DTI) 등 대출 규제를 강화한 정부의 ‘6·19 부동산 대책’ 이후 서울에서 처음 분양되는 신규 아파트 단지 두 곳에 눈길이 쏠리고 있다.

서울	서울/NNP
등	등/NNB
청약조정지역에서	청약/NNG+조정/NNG+지역/NNG+에서/JKB
분양권	분양/NNG+권/XSN
전매제한과	전매/NNG+제한/NNG+과/JC
담보인정비율(LTV)·총부채상한비율(DTI)	담보/NNG+인정/NNG+비율/NNG+(/SS+LTV/SL+)/SS+·/SP+총부채/NNG+상한/NNG+비율/NNG+(/SS+DTI/SL+)/SS
대출	대출/NNG
규제를	규제/NNG+를/JKO
