# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.283
metadata : {}


# id : NWRW1800000038.283.1.1
[태평로] 공짜 티켓과 프로 스포츠

[태평로]	[/SS+태평로/NNP+]/SS
공짜	공짜/NNG
티켓과	티켓/NNG+과/JC
프로	프로/NNG
스포츠	스포츠/NNG


# id : NWRW1800000038.283.2.1
1960~1970년대 서울운동장과 효창운동장, 장충체육관은 서울 시민들의 사랑을 받는 명소(名所) 중의 명소였다.

1960~1970년대	1960/SN+~/SO+1970/SN+년대/NNB
서울운동장과	서울운동장/NNP+과/JC
효창운동장,	효창운동장/NNP+,/SP
장충체육관은	장충체육관/NNP+은/JX
서울	서울/NNP
시민들의	시민/NNG+들/XSN+의/JKG
사랑을	사랑/NNG+을/JKO
받는	받/VV+는/ETM
명소(名所)	명소/NNG+(/SS+名所/SH+)/SS
중의	중/NNB+의/JKG
명소였다.	명소/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.283.2.2
당시 신문 기사를 보면 1969년 한 해 동안 세 경기장을 찾은 유료 관중이 200만명이나 됐다.

당시	당시/NNG
신문	신문/NNG
기사를	기사/NNG+를/JKO
보면	보/VV+면/EC
1969년	1969/SN+년/NNB
한	한/MMN
해	해/NNB
동안	동안/NNG
세	세/MMN
경기장을	경기장/NNG+을/JKO
찾은	찾/VV+은/ETM
유료	유료/NNG
관중이	관중/NNG+이/JKS
200만명이나	200/SN+만/NR+명/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.283.2.3
재밌는 것은 공짜로 들어온 입장객이 20% 정도인 40만명에 달했다는 점이다.

재밌는	재밌/VA+는/ETM
것은	것/NNB+은/JX
공짜로	공짜/NNG+로/JKB
들어온	들어오/VV+ㄴ/ETM
입장객이	입장객/NNG+이/JKS
20%	20/SN+%/SW
정도인	정도/NNG+이/VCP+ㄴ/ETM
40만명에	40/SN+만/NR+명/NNB+에/JKB
달했다는	달하/VV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.283.2.4
장충체육관 벽면 물통을 타고 지붕 위로 올라가서 유리를 깨고 연고전(延高戰)을 관전하는 소동이 벌어지는가 하면, 운동장 밖에서 로프를 걸어 타고 오르는 '스파이더맨'도 있었다.

장충체육관	장충체육관/NNP
벽면	벽면/NNG
물통을	물통/NNG+을/JKO
타고	타/VV+고/EC
지붕	지붕/NNG
위로	위/NNG+로/JKB
올라가서	올라가/VV+아서/EC
유리를	유리/NNG+를/JKO
깨고	깨/VV+고/EC
연고전(延高戰)을	연고전/NNG+(/SS+延高戰/SH+)/SS+을/JKO
관전하는	관전/NNG+하/XSV+는/ETM
소동이	소동/NNG+이/JKS
벌어지는가	벌어지/VV+는가/EF
하면,	하/VV+면/EC+,/SP
운동장	운동장/NNG
밖에서	밖/NNG+에서/JKB
로프를	로프/NNG+를/JKO
걸어	걸/VV+어/EC
오르는	오르/VV+는/ETM
'스파이더맨'도	'/SS+스파이더맨/NNP+'/SS+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.283.3.1
"구경은 공짜 구경이 최고"라는 분위기는 시간이 흘러도 별로 바뀌지 않았다.

"구경은	"/SS+구경/NNG+은/JX
공짜	공짜/NNG
구경이	구경/NNG+이/JKS
최고"라는	최고/NNG+"/SS+이/VCP+라는/ETM
분위기는	분위기/NNG+는/JX
시간이	시간/NNG+이/JKS
흘러도	흐르/VV+어도/EC
별로	별로/MAG
바뀌지	바뀌/VV+지/EC
