# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.70
metadata : {}


# id : NWRW1800000048.70.1.1
‘폴크스바겐 조작 정보’ 독일서 통보받을 수 있건만…정부, 한달 넘게 검토조차 안했다

‘폴크스바겐	‘/SS+폴크스바겐/NNP
조작	조작/NNG
정보’	정보/NNG+’/SS
독일서	독일/NNP+서/JKB
통보받을	통보/NNG+받/XSV+을/ETM
수	수/NNB
있건만…정부,	있/VA+건만/EC+…/SE+정부/NNG+,/SP
한달	한/MMN+달/NNB
넘게	넘/VV+게/EC
검토조차	검토/NNG+조차/JX
안했다	안/MAG+하/VV+았/EP+다/EF


# id : NWRW1800000048.70.2.1
한-EU FTA 따라 가능한데도

한-EU	한/NNP+-/SO+EU/SL
FTA	FTA/SL
따라	따르/VV+아/EC
가능한데도	가능/NNG+하/XSA+ㄴ데/EC+도/JX


# id : NWRW1800000048.70.3.1
산자부 “소관 아냐” 환경부 “잘 몰라”

산자부	산자부/NNG
“소관	“/SS+소관/NNG
아냐”	아니/VCN+야/EF+”/SS
환경부	환경부/NNG
“잘	“/SS+잘/MAG
몰라”	모르/VV+아/EF+”/SS


# id : NWRW1800000048.70.4.1
한국-유럽연합(EU) 자유무역협정(FTA) 조항을 통해 협정 체결국인 독일로부터 폴크스바겐의 배기가스 저감장치 조작 사건에 대한 사실관계를 통보받을 수 있다는 주장이 나왔다.

한국-유럽연합(EU)	한국/NNP+-/SO+유럽연합/NNP+(/SS+EU/SL+)/SS
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
조항을	조항/NNG+을/JKO
통해	통하/VV+아/EC
협정	협정/NNG
체결국인	체결국/NNG+이/VCP+ㄴ/ETM
독일로부터	독일/NNP+로부터/JKB
폴크스바겐의	폴크스바겐/NNP+의/JKG
배기가스	배기가스/NNG
저감장치	저감/NNG+장치/NNG
조작	조작/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사실관계를	사실/NNG+관계/NNG+를/JKO
통보받을	통보/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.4.2
그러나 정부는 사건 발생 한달이 넘도록 이런 조항을 활용할 수 있을지 검토조차 하지 않은 것으로 드러났다.

그러나	그러나/MAJ
정부는	정부/NNG+는/JX
사건	사건/NNG
발생	발생/NNG
한달이	한/MMN+달/NNB+이/JKS
넘도록	넘/VV+도록/EC
이런	이런/MMD
조항을	조항/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
검토조차	검토/NNG+조차/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.4.3
앞서 폴크스바겐그룹은 한국 시장에서 판매한 폴크스바겐·아우디 경유차 12만1038대에도 인증 시험을 받을 때만 배출가스량을 줄이는 ‘눈속임’ 소프트웨어를 사용했다고 시인한 바 있다.

앞서	앞서/MAG
폴크스바겐그룹은	폴크스바겐그룹/NNP+은/JX
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
판매한	판매/NNG+하/XSV+ㄴ/ETM
폴크스바겐·아우디	폴크스바겐/NNP+·/SP+아우디/NNP
경유차	경유/NNG+차/NNG
12만1038대에도	12/SN+만/NR+1038/SN+대/NNB+에/JKB+도/JX
인증	인증/NNG
시험을	시험/NNG+을/JKO
받을	받/VV+을/ETM
때만	때/NNG+만/JX
배출가스량을	배출/NNG+가스량/NNG+을/JKO
줄이는	줄이/VV+는/ETM
‘눈속임’	‘/SS+눈속임/NNG+’/SS
소프트웨어를	소프트웨어/NNG+를/JKO
사용했다고	사용/NNG+하/XSV+았/EP+다고/EC
시인한	시인/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.70.5.1
민주사회를 위한 변호사 모임(민변) 국제통상위원회 소속 송기호 변호사는 26일“한-EU FTA 부속서 2-다 제8조, 부속서 13(무역과 지속가능한 발전에 관한 협력) 1.라 조항을 활용해 독일로부터 자동차 안전·환경과 관련해 발생한 문제인 폴크스바겐 배출가스량 조작 사건에 대한 정보를 통보받을 수 있다”고 설명했다.

민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사	변호사/NNG
모임(민변)	모임/NNG+(/SS+민변/NNP+)/SS
국제통상위원회	국제통상위원회/NNP
소속	소속/NNG
송기호	송기호/NNP
변호사는	변호사/NNG+는/JX
26일“한-EU	26/SN+일/NNB+“/SS+한/NNP+-/SO+EU/SL
FTA	FTA/SL
부속서	부속서/NNG
2-다	2/SN+-/SO+다/NNG
제8조,	제/XPN+8/SN+조/NNB+,/SP
13(무역과	13/SN+(/SS+무역/NNG+과/JC
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
발전에	발전/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
협력)	협력/NNG+)/SS
1.라	1/SN+./SP+라/NNG
조항을	조항/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
독일로부터	독일/NNP+로부터/JKB
자동차	자동차/NNG
안전·환경과	안전/NNG+·/SP+환경/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
문제인	문제/NNG+이/VCP+ㄴ/ETM
폴크스바겐	폴크스바겐/NNP
배출가스량	배출/NNG+가스량/NNG
조작	조작/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
통보받을	통보/NNG+받/XSV+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.6.1
한국의 경유차 배출가스 규제 요건(대기환경보전법 제46조 및 시행규칙 제62조)은 유럽 기준과 같다.

한국의	한국/NNP+의/JKG
경유차	경유/NNG+차/NNG
배출가스	배출/NNG+가스/NNG
규제	규제/NNG
요건(대기환경보전법	요건/NNG+(/SS+대기/NNG+환경/NNG+보전법/NNG
제46조	제/XPN+46/SN+조/NNB
및	및/MAG
시행규칙	시행/NNG+규칙/NNG
제62조)은	제/XPN+62/SN+조/NNB+)/SS+은/JX
유럽	유럽/NNP
기준과	기준/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.70.6.2
한-EU FTA의 기술규정 상호 인정에 따라, 유엔 유럽경제위원회(UN ECE) 규정을 준수해 인증을 받은 경우 국내에서도 관련 규제를 충족하는 것으로 여기기 때문이다.

한-EU	한/NNP+-/SO+EU/SL
FTA의	FTA/SL+의/JKG
기술규정	기술규정/NNG
상호	상호/NNG
인정에	인정/NNG+에/JKB
따라,	따르/VV+아/EC+,/SP
유엔	유엔/NNP
유럽경제위원회(UN	유럽경제위원회/NNP+(/SS+UN/SL
ECE)	ECE/SL+)/SS
규정을	규정/NNG+을/JKO
준수해	준수/NNG+하/XSV+아/EC
인증을	인증/NNG+을/JKO
받은	받/VV+은/ETM
경우	경우/NNG
국내에서도	국내/NNG+에서/JKB+도/JX
관련	관련/NNG
규제를	규제/NNG+를/JKO
충족하는	충족/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
여기기	여기/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.70.6.3
부속서 2-다 제8조를 보면, 협정 당사자가 이런 인증 요건을 어긴 사항을 발견한 경우 다른 쪽에 알린다고 돼 있다.

부속서	부속서/NNG
2-다	2/SN+-/SO+다/NNG
제8조를	제/XPN+8/SN+조/NNB+를/JKO
보면,	보/VV+면/EC+,/SP
협정	협정/NNG
당사자가	당사자/NNG+가/JKS
이런	이런/MMD
인증	인증/NNG
요건을	요건/NNG+을/JKO
어긴	어기/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
경우	경우/NNG
다른	다른/MMD
쪽에	쪽/NNB+에/JKB
알린다고	알리/VV+ㄴ다고/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.70.6.4
부속서 13 1.라 조항은 국제적으로 합의된 지침의 효과적 이행과 후속조치, 공정하고 윤리적인 무역, 녹색공공조달을 포함한 기업의 사회적 책임에 대해 정보 교환과 협력 등을 규정해 놓고 있다.

부속서	부속서/NNG
13	13/SN
1.라	1/SN+./SP+라/NNG
조항은	조항/NNG+은/JX
국제적으로	국제/NNG+적/XSN+으로/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
지침의	지침/NNG+의/JKG
효과적	효과/NNG+적/XSN
이행과	이행/NNG+과/JC
후속조치,	후속/NNG+조치/NNG+,/SP
공정하고	공정/NNG+하/XSA+고/EC
윤리적인	윤리/NNG+적/XSN+이/VCP+ㄴ/ETM
무역,	무역/NNG+,/SP
녹색공공조달을	녹색/NNG+공공/NNG+조달/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
기업의	기업/NNG+의/JKG
사회적	사회/NNG+적/XSN
책임에	책임/NNG+에/JKB
대해	대하/VV+아/EC
정보	정보/NNG
교환과	교환/NNG+과/JC
협력	협력/NNG
등을	등/NNB+을/JKO
규정해	규정/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.70.7.1
통상 주무부처인 산업자원통상부 구조통상과 담당자는 <한겨레>와 통화에서 “(폴크스바겐 사건에 대한 통보와 관련해) 우리 부에서 진행되고 있는 사안은 없다”며“에프티에이 총괄은 우리가 맡지만, 폴크스바겐 사건은 환경부가 조사하고 에프티에이 규정도 검토했으므로 그쪽에 확인해보라”고 말했다.

통상	통상/NNG
주무부처인	주무/NNG+부처/NNG+이/VCP+ㄴ/ETM
산업자원통상부	산업/NNG+자원/NNG+통상부/NNG
구조통상과	구조/NNG+통상과/NNG
담당자는	담당자/NNG+는/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“(폴크스바겐	“/SS+(/SS+폴크스바겐/NNP
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통보와	통보/NNG+와/JKB
관련해)	관련/NNG+하/XSV+아/EC+)/SS
우리	우리/NP
부에서	부/NNG+에서/JKB
진행되고	진행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
사안은	사안/NNG+은/JX
없다”며“에프티에이	없/VA+다/EF+”/SS+며/EC+“/SS+에프티에이/NNG
총괄은	총괄/NNG+은/JX
우리가	우리/NP+가/JKS
맡지만,	맡/VV+지만/EC+,/SP
폴크스바겐	폴크스바겐/NNP
사건은	사건/NNG+은/JX
환경부가	환경부/NNG+가/JKS
조사하고	조사/NNG+하/XSV+고/EC
에프티에이	에프티에이/NNG
규정도	규정/NNG+도/JX
검토했으므로	검토/NNG+하/XSV+았/EP+으므로/EC
그쪽에	그쪽/NP+에/JKB
확인해보라”고	확인/NNG+하/XSV+아/EC+보/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.7.2
환경부는 송기호 변호사가 지적한 한-EU FTA 조항 활용이 가능한지 검토조차 해본 적이 없다는 입장이다.

환경부는	환경부/NNG+는/JX
송기호	송기호/NNP
변호사가	변호사/NNG+가/JKS
지적한	지적/NNG+하/XSV+ㄴ/ETM
한-EU	한/NNP+-/SO+EU/SL
FTA	FTA/SL
조항	조항/NNG
활용이	활용/NNG+이/JKS
가능한지	가능/NNG+하/XSA+ㄴ지/EF
검토조차	검토/NNG+조차/JX
해본	하/VV+아/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.70.7.3
환경부 홍동곤 교통환경과장은 “(해당 조항 활용 가능성에 대해) 고민을 안해봤다”며 “독일 정부도 폴크스바겐이 무엇을 어떻게 했는지 아직 정확하게 모르고 있다”고 말했다.

환경부	환경부/NNG
홍동곤	홍동곤/NNP
교통환경과장은	교통/NNG+환경과장/NNG+은/JX
“(해당	“/SS+(/SS+해당/NNG
조항	조항/NNG
활용	활용/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해)	대하/VV+아/EC+)/SS
고민을	고민/NNG+을/JKO
안해봤다”며	안/MAG+하/VV+아/EC+보/VX+았/EP+다/EF+”/SS+며/EC
“독일	“/SS+독일/NNP
정부도	정부/NNG+도/JX
폴크스바겐이	폴크스바겐/NNP+이/JKS
무엇을	무엇/NP+을/JKO
어떻게	어떻/VA+게/EC
했는지	하/VV+았/EP+는지/EF
아직	아직/MAG
정확하게	정확/NNG+하/XSA+게/EC
모르고	모르/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.8.1
지난 9월19일 미국 환경보호청(EPA)이 폴크스바겐 경유차 배출가스량 조작 사건을 발표하자, 독일 연방교통부 산하 자동차청(KBA)은 자국 시장에서 판매되는 폴크스바겐 경유차에 대한 재조사에 나섰으며 이러한 조사와 별도로 독립적인 조사위원회가 구성돼 활동을 시작했다.

지난	지나/VV+ㄴ/ETM
9월19일	9/SN+월/NNB+19/SN+일/NNB
미국	미국/NNP
환경보호청(EPA)이	환경/NNG+보호청/NNG+(/SS+EPA/SL+)/SS+이/JKS
폴크스바겐	폴크스바겐/NNP
경유차	경유/NNG+차/NNG
배출가스량	배출/NNG+가스량/NNG
조작	조작/NNG
사건을	사건/NNG+을/JKO
발표하자,	발표/NNG+하/XSV+자/EC+,/SP
독일	독일/NNP
연방교통부	연방/NNG+교통부/NNG
산하	산하/NNG
자동차청(KBA)은	자동차청/NNG+(/SS+KBA/SL+)/SS+은/JX
자국	자국/NNG
시장에서	시장/NNG+에서/JKB
판매되는	판매/NNG+되/XSV+는/ETM
경유차에	경유/NNG+차/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재조사에	재/XPN+조사/NNG+에/JKB
나섰으며	나서/VV+었/EP+으며/EC
이러한	이러하/VA+ㄴ/ETM
조사와	조사/NNG+와/JKB
별도로	별도/NNG+로/JKB
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
조사위원회가	조사/NNG+위원회/NNG+가/JKS
구성돼	구성/NNG+되/XSV+어/EC
활동을	활동/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.8.2
정의당 김제남 의원이 확인한 외교 문서에 따르면, 주 독일 대한민국 대사관은 지난 9월 독일 연방교통부와 폴크스바겐을 접촉해 사실 관계를 문의했으나 정보를 받지 못했다.

정의당	정의당/NNP
김제남	김제남/NNP
의원이	의원/NNG+이/JKS
확인한	확인/NNG+하/XSV+ㄴ/ETM
외교	외교/NNG
문서에	문서/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
주	주/NA
독일	독일/NNP
대한민국	대한민국/NNP
대사관은	대사관/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
연방교통부와	연방/NNG+교통부/NNG+와/JC
폴크스바겐을	폴크스바겐/NNP+을/JKO
접촉해	접촉/NNG+하/XSV+아/EC
사실	사실/NNG
관계를	관계/NNG+를/JKO
문의했으나	문의/NNG+하/XSV+았/EP+으나/EC
정보를	정보/NNG+를/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.70.8.3
특히 연방교통부는 조사 결과와 관련 정보를 한국 정부에 공유해줄 수 있느냐는 요청에 ‘현 단계에서는 사실관계 확정이 최우선 과제’라는 답변만 내놓았다.

특히	특히/MAG
연방교통부는	연방/NNG+교통부/NNG+는/JX
조사	조사/NNG
결과와	결과/NNG+와/JKB
관련	관련/NNG
정보를	정보/NNG+를/JKO
한국	한국/NNP
정부에	정부/NNG+에/JKB
공유해줄	공유/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있느냐는	있/VA+느냐는/ETM
요청에	요청/NNG+에/JKB
‘현	‘/SS+현/MMD
단계에서는	단계/NNG+에서/JKB+는/JX
사실관계	사실/NNG+관계/NNG
확정이	확정/NNG+이/JKS
최우선	최/XPN+우선/NNG
과제’라는	과제/NNG+’/SS+이/VCP+라는/ETM
답변만	답변/NNG+만/JX
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.70.9.1
송기호 변호사는 정부가 폴크스바겐 사건 파악을 위해 활용할 수 있는 한-EU FTA 조항을 검토하지 않은 데 대해 “(정부가) 국내 소비자와 환경을 보호할 최소한의 권한조차 행사하지 않는 것”이라고 비판했다.

송기호	송기호/NNP
변호사는	변호사/NNG+는/JX
정부가	정부/NNG+가/JKS
폴크스바겐	폴크스바겐/NNP
사건	사건/NNG
파악을	파악/NNG+을/JKO
위해	위하/VV+아/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
한-EU	한/NNP+-/SO+EU/SL
FTA	FTA/SL
조항을	조항/NNG+을/JKO
검토하지	검토/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
데	데/NNB
대해	대하/VV+아/EC
“(정부가)	“/SS+(/SS+정부/NNG+가/JKS+)/SS
국내	국내/NNG
소비자와	소비자/NNG+와/JC
환경을	환경/NNG+을/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
최소한의	최소한/NNG+의/JKG
권한조차	권한/NNG+조차/JX
행사하지	행사/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


