# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.19
metadata : {}


# id : NWRW1800000053.19.1.1
[상생경영]넥슨, 청소년 코딩대회 ‘NYPC’로 프로그래밍 관심 높여

[상생경영]넥슨,	[/SS+상생/NNG+경영/NNG+]/SS+넥슨/NNP+,/SP
청소년	청소년/NNG
코딩대회	코딩/NNG+대회/NNG
‘NYPC’로	‘/SS+NYPC/SL+’/SS+로/JKB
프로그래밍	프로그래밍/NNG
관심	관심/NNG
높여	높이/VV+어/EF


# id : NWRW1800000053.19.2.1
넥슨은 미래 주역인 청소년을 대상으로 프로그래밍에 대한 관심을 높이기 위해 매년 청소년 코딩대회인 ‘NYPC’를 개최하고 있다.

넥슨은	넥슨/NNP+은/JX
미래	미래/NNG
주역인	주역/NNG+이/VCP+ㄴ/ETM
청소년을	청소년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
프로그래밍에	프로그래밍/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
매년	매년/MAG
청소년	청소년/NNG
코딩대회인	코딩/NNG+대회/NNG+이/VCP+ㄴ/ETM
‘NYPC’를	‘/SS+NYPC/SL+’/SS+를/JKO
개최하고	개최/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.19.2.2
NYPC는 단순히 코딩 기술만 가르치는 것이 아니라 이를 ‘경험’해 보는 측면에 초점을 맞췄다.

NYPC는	NYPC/SL+는/JX
단순히	단순히/MAG
코딩	코딩/NNG
기술만	기술/NNG+만/JX
가르치는	가르치/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
이를	이/NP+를/JKO
‘경험’해	‘/SS+경험/NNG+’/SS+하/XSV+아/EC
보는	보/VX+는/ETM
측면에	측면/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.19.3.1
넥슨이 서비스하는 게임을 활용해 비교적 쉬운 문제를 자체적으로 출제해서 청소년들이 여러 수단을 동원해 고민하게 유도하고, 정해진 정답이 없는 만큼 가장 빠른 길을 논리적으로 찾아낼 수 있게 한다는 점에서 의미가 깊다.

넥슨이	넥슨/NNP+이/JKS
서비스하는	서비스/NNG+하/XSV+는/ETM
게임을	게임/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
비교적	비교/NNG+적/XSN
쉬운	쉽/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
자체적으로	자체/NNG+적/XSN+으로/JKB
출제해서	출제/NNG+하/XSV+아서/EC
청소년들이	청소년/NNG+들/XSN+이/JKS
여러	여러/MMN
수단을	수단/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
고민하게	고민/NNG+하/XSV+게/EC
유도하고,	유도/NNG+하/XSV+고/EC+,/SP
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
정답이	정답/NNG+이/JKS
없는	없/VA+는/ETM
만큼	만큼/NNB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
길을	길/NNG+을/JKO
논리적으로	논리/NNG+적/XSN+으로/JKB
찾아낼	찾아내/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000053.19.4.1
