# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.334
metadata : {}


# id : NWRW1800000045.334.1.1
지역주민 등 조문객 첫날에만 2000여명… “오해 살라” 정치인은 드물어

지역주민	지역/NNG+주민/NNG
등	등/NNB
조문객	조문객/NNG
첫날에만	첫날/NNG+에/JKB+만/JX
2000여명…	2000/SN+여/XSN+명/NNB+…/SE
“오해	“/SS+오해/NNG
살라”	살/VV+라/EF+”/SS
정치인은	정치인/NNG+은/JX
드물어	드물/VA+어/EC


# id : NWRW1800000045.334.2.1
성완종 고향 서산에 빈소

성완종	성완종/NNP
고향	고향/NNG
서산에	서산/NNP+에/JKB
빈소	빈소/NNG


# id : NWRW1800000045.334.3.1
10일 오후 충남 서산시 서산의료원 장례식장에 차려진 성완종 경남기업 회장의 빈소에는 지역 주민과 그가 세운 장학재단 관계자들의 조문 행렬이 끊이지 않았다.

10일	10/SN+일/NNB
오후	오후/NNG
충남	충남/NNP
서산시	서산시/NNP
서산의료원	서산의료원/NNP
장례식장에	장례식장/NNG+에/JKB
차려진	차리/VV+어/EC+지/VX+ㄴ/ETM
성완종	성완종/NNP
경남기업	경남기업/NNP
회장의	회장/NNG+의/JKG
빈소에는	빈소/NNG+에/JKB+는/JX
지역	지역/NNG
주민과	주민/NNG+과/JC
그가	그/NP+가/JKS
세운	세우/VV+ㄴ/ETM
장학재단	장학/NNG+재단/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
조문	조문/NNG
행렬이	행렬/NNG+이/JKS
끊이지	끊이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.334.3.2
하지만 그가 사정수사의 대상에 올랐던 탓인지 굴지의 건설회사 총수와 국회의원을 지낸 ‘마당발’이라고 보기 어려울 정도로 정관계 인사의 모습은 찾아보기 어려웠다.

하지만	하지만/MAJ
그가	그/NP+가/JKS
사정수사의	사정/NNG+수사/NNG+의/JKG
대상에	대상/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
탓인지	탓/NNG+이/VCP+ㄴ지/EC
굴지의	굴지/NNG+의/JKG
건설회사	건설/NNG+회사/NNG
총수와	총수/NNG+와/JC
국회의원을	국회/NNG+의원/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
‘마당발’이라고	‘/SS+마당발/NNG+’/SS+이라고/JKQ
보기	보/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
정관계	정관계/NNG
인사의	인사/NNG+의/JKG
모습은	모습/NNG+은/JX
찾아보기	찾아보/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.334.3.3
조문객 중에는 “정권의 표적 사정”이라고 목소리를 높이는 이들도 적지 않았다.

조문객	조문객/NNG
중에는	중/NNB+에/JKB+는/JX
“정권의	“/SS+정권/NNG+의/JKG
표적	표적/NNG
사정”이라고	사정/NNG+”/SS+이라고/JKQ
목소리를	목소리/NNG+를/JKO
높이는	높이/VV+는/ETM
이들도	이/NNB+들/XSN+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.334.3.4
장례식은 성 회장이 생전에 애정을 쏟았던 서산장학재단의 재단장으로 치러지고 있다.

장례식은	장례식/NNG+은/JX
성	성/NNP
회장이	회장/NNG+이/JKS
생전에	생전/NNG+에/JKB
애정을	애정/NNG+을/JKO
쏟았던	쏟/VV+았/EP+던/ETM
서산장학재단의	서산/NNP+장학/NNG+재단/NNG+의/JKG
재단장으로	재단장/NNG+으로/JKB
치러지고	치르/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.334.3.5
이날 하루 동안 조문객은 2000여 명에 이르렀다.

이날	이날/NNG
하루	하루/NNG
동안	동안/NNG
조문객은	조문객/NNG+은/JX
2000여	2000/SN+여/XSN
명에	명/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.334.4.1
새누리당에서는 유승민 원대대표와 박대출 대변인, 홍문표 이명수 정병국 의원이 조문했다.

새누리당에서는	새누리당/NNP+에서/JKB+는/JX
유승민	유승민/NNP
원대대표와	원대/NNG+대표/NNG+와/JKB
박대출	박대출/NNP
대변인,	대변인/NNG+,/SP
홍문표	홍문표/NNP
이명수	이명수/NNP
정병국	정병국/NNP
의원이	의원/NNG+이/JKS
조문했다.	조문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.334.4.2
충청권에서는 권선택 대전시장과 이완섭 서산시장, 한상기 태안군수 등이 빈소를 찾았다.

충청권에서는	충청/NNP+권/XSN+에서/JKB+는/JX
권선택	권선택/NNP
대전시장과	대전시장/NNG+과/JC
이완섭	이완섭/NNP
서산시장,	서산시장/NNG+,/SP
한상기	한상기/NNP
태안군수	태안군수/NNG
등이	등/NNB+이/JKS
빈소를	빈소/NNG+를/JKO
