# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.12
metadata : {}


# id : NWRW1800000040.12.1.1
혼돈의 이탈리아…미국발 악재…국제 금융시장 ‘출렁’

혼돈의	혼돈/NNG+의/JKG
이탈리아…미국발	이탈리아/NNP+…/SE+미국/NNP+발/XSN
악재…국제	악재/NNG+…/SE+국제/NNG
금융시장	금융/NNG+시장/NNG
‘출렁’	‘/SS+출렁/MAG+’/SS


# id : NWRW1800000040.12.2.1
민주당, 상원서 과반에 못미쳐

민주당,	민주당/NNP+,/SP
상원서	상원/NNG+서/JKB
과반에	과반/NNG+에/JKB
못미쳐	못/MAG+미치/VV+어/EF


# id : NWRW1800000040.12.3.1
연정도 만만찮아…재선거 목소리

연정도	연정/NNG+도/JX
만만찮아…재선거	만만찮/VA+아/EC+…/SE+재/XPN+선거/NNG
목소리	목소리/NNG


# id : NWRW1800000040.12.4.1
긴축재정 약속 이행 ‘가시밭길’

긴축재정	긴축/NNG+재정/NNG
약속	약속/NNG
이행	이행/NNG
‘가시밭길’	‘/SS+가시밭길/NNG+’/SS


# id : NWRW1800000040.12.5.1
미국 증시가 25일(현지시각) 뚜렷한 승자를 내지 못한 이탈리아 총선 결과와 발효를 나흘 앞둔 미국 시퀘스터(예산 자동 삭감 조처) 여파로 3개월 만에 최대폭 하락했다.

미국	미국/NNP
증시가	증시/NNG+가/JKS
25일(현지시각)	25/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
뚜렷한	뚜렷하/VA+ㄴ/ETM
승자를	승자/NNG+를/JKO
내지	내/VV+지/EC
못한	못하/VX+ㄴ/ETM
이탈리아	이탈리아/NNP
총선	총선/NNG
결과와	결과/NNG+와/JC
발효를	발효/NNG+를/JKO
나흘	나흘/NNG
앞둔	앞두/VV+ㄴ/ETM
시퀘스터(예산	시퀘스터/NNG+(/SS+예산/NNG
자동	자동/NNG
삭감	삭감/NNG
조처)	조처/NNG+)/SS
여파로	여파/NNG+로/JKB
3개월	3/SN+개월/NNB
만에	만/NNB+에/JKB
최대폭	최대/NNG+폭/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.5.2
다우존스지수는 1만3784.17로 마감해 지난주말보다 216.40(1.5%) 하락했는데, 이는 지난해 11월7일 이후 가장 큰 낙폭이다.

다우존스지수는	다우존스/NNP+지수/NNG+는/JX
1만3784.17로	1/SN+만/NR+3784/SN+./SP+17/SN+로/JKB
마감해	마감/NNG+하/XSV+아/EC
지난주말보다	지나/VV+ㄴ/ETM+주말/NNG+보다/JKB
216.40(1.5%)	216/SN+./SP+40/SN+(/SS+1/SN+./SP+5/SN+%/SW+)/SS
하락했는데,	하락/NNG+하/XSV+았/EP+는데/EC+,/SP
이는	이/NP+는/JX
지난해	지난해/NNG
11월7일	11/SN+월/NNB+7/SN+일/NNB
이후	이후/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
낙폭이다.	낙폭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.12.5.3
26일 일본(-2.26%)·대만(-0.84%) 한국(-0.47%) 등 아시아 주요 증시도 하락 마감했다.

26일	26/SN+일/NNB
일본(-2.26%)·대만(-0.84%)	일본/NNP+(/SS+-/SO+2/SN+./SP+26/SN+%/SW+)/SS+·/SP+대만/NNP+(/SS+-/SO+0/SN+./SP+84/SN+%/SW+)/SS
한국(-0.47%)	한국/NNP+(/SS+-/SO+0/SN+./SP+47/SN+%/SW+)/SS
등	등/NNB
아시아	아시아/NNP
주요	주요/NNG
증시도	증시/NNG+도/JX
하락	하락/NNG
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.5.4
반면 안전자산으로 여겨지는 금 가격은 0.9% 오른 1586달러(온스당)로 마감해 이달 들어 가장 많이 올랐다.

반면	반면/NNG
안전자산으로	안전/NNG+자산/NNG+으로/JKB
여겨지는	여기/VV+어/EC+지/VX+는/ETM
금	금/NNG
가격은	가격/NNG+은/JX
0.9%	0/SN+./SP+9/SN+%/SW
오른	오르/VV+ㄴ/ETM
1586달러(온스당)로	1586/SN+달러/NNB+(/SS+온스/NNB+당/XSN+)/SS+로/JKB
마감해	마감/NNG+하/XSV+아/EC
이달	이달/NNG
들어	들/VV+어/EC
가장	가장/MAG
많이	많이/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.12.5.5
올 들어 안정세를 보였던 국제 금융시장은 이탈리아 경제의 불확실성 증대로 유로존 위기의 망령이 다시 살아나고 있는데다, 미국 경제도 시퀘스터가 발효되면 위축이 불가피해 당분간 불안한 양상을 보일 전망이다.

올	올/NNG
들어	들/VV+어/EC
안정세를	안정세/NNG+를/JKO
보였던	보이/VV+었/EP+던/ETM
국제	국제/NNG
금융시장은	금융/NNG+시장/NNG+은/JX
이탈리아	이탈리아/NNP
경제의	경제/NNG+의/JKG
불확실성	불확실/NNG+성/XSN
증대로	증대/NNG+로/JKB
유로존	유로존/NNG
위기의	위기/NNG+의/JKG
망령이	망령/NNG+이/JKS
다시	다시/MAG
살아나고	살아나/VV+고/EC
있는데다,	있/VX+는/ETM+데/NNB+다/JX+,/SP
미국	미국/NNP
경제도	경제/NNG+도/JX
시퀘스터가	시퀘스터/NNG+가/JKS
발효되면	발효/NNG+되/XSV+면/EC
위축이	위축/NNG+이/JKS
불가피해	불가피하/VA+아/EC
당분간	당분간/MAG
불안한	불안/NNG+하/XSA+ㄴ/ETM
양상을	양상/NNG+을/JKO
보일	보이/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


