# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.199
metadata : {}


# id : NWRW1800000026.199.1.1
[그것은 이렇습니다] 남아공월드컵 선수들의 경기당 뛴 거리는 어떻게 측정하나?

[그것은	[/SS+그것/NP+은/JX
이렇습니다]	이렇/VA+습니다/EF+]/SS
남아공월드컵	남아공/NNP+월드컵/NNG
선수들의	선수/NNG+들/XSN+의/JKG
경기당	경기/NNG+당/XSN
뛴	뛰/VV+ㄴ/ETM
거리는	거리/NNG+는/JX
어떻게	어떻/VA+게/EC
측정하나?	측정/NNG+하/XSV+나/EF+?/SF


# id : NWRW1800000026.199.2.1
Q: 남아공월드컵 선수들의 경기당 뛴 거리는 어떻게 측정하나?

Q:	Q/SL+:/SP
남아공월드컵	남아공/NNP+월드컵/NNG
선수들의	선수/NNG+들/XSN+의/JKG
경기당	경기/NNG+당/XSN
뛴	뛰/VV+ㄴ/ETM
거리는	거리/NNG+는/JX
어떻게	어떻/VA+게/EC
측정하나?	측정/NNG+하/XSV+나/EF+?/SF


# id : NWRW1800000026.199.3.1
남아공월드컵 관련 기사를 보면 박지성·이청용 등 한국 축구 대표팀 선수들이 이번 월드컵에서 경기당 얼마나 뛰었는지 등 그동안 볼 수 없었던 세세한 경기 분석 결과들이 눈에 띄었습니다.

남아공월드컵	남아공/NNP+월드컵/NNG
관련	관련/NNG
기사를	기사/NNG+를/JKO
보면	보/VV+면/EC
박지성·이청용	박지성/NNP+·/SP+이청용/NNP
등	등/NNB
한국	한국/NNP
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
선수들이	선수/NNG+들/XSN+이/JKS
이번	이번/NNG
월드컵에서	월드컵/NNG+에서/JKB
경기당	경기/NNG+당/XSN
얼마나	얼마나/MAG
뛰었는지	뛰/VV+었/EP+는지/EC
그동안	그동안/NNG
볼	보/VV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
세세한	세세하/VA+ㄴ/ETM
경기	경기/NNG
분석	분석/NNG
결과들이	결과/NNG+들/XSN+이/JKS
눈에	눈/NNG+에/JKB
띄었습니다.	띄/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000026.199.3.2
90분간 쉴 새 없이 그라운드를 오가는 선수들의 경기 중 이동 거리는 어떻게 측정하고, 또 그러한 기록들이 어떤 의미가 있는지 궁금합니다.

90분간	90/SN+분/NNB+간/XSN
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
그라운드를	그라운드/NNG+를/JKO
오가는	오가/VV+는/ETM
선수들의	선수/NNG+들/XSN+의/JKG
경기	경기/NNG
중	중/NNB
이동	이동/NNG
거리는	거리/NNG+는/JX
어떻게	어떻/VA+게/EC
측정하고,	측정/NNG+하/XSV+고/EC+,/SP
또	또/MAG
그러한	그러하/VA+ㄴ/ETM
기록들이	기록/NNG+들/XSN+이/JKS
어떤	어떤/MMD
의미가	의미/NNG+가/JKS
있는지	있/VA+는지/EF
궁금합니다.	궁금하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000026.199.3.3
서울 강남구 독자 조형찬씨

서울	서울/NNP
강남구	강남구/NNP
독자	독자/NNG
조형찬씨	조형찬/NNP+씨/NNB


# id : NWRW1800000026.199.4.1
A: 경기장에 설치된 16개의 카메라가 개별 선수들의 움직임을 컴퓨터로 추적해 여러 가지 경기결과를 과학적으로 분석

A:	A/SL+:/SP
경기장에	경기장/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
16개의	16/SN+개/NNB+의/JKG
카메라가	카메라/NNG+가/JKS
개별	개별/NNG
선수들의	선수/NNG+들/XSN+의/JKG
움직임을	움직임/NNG+을/JKO
컴퓨터로	컴퓨터/NNG+로/JKB
추적해	추적/NNG+하/XSV+아/EC
여러	여러/MMN
가지	가지/NNB
경기결과를	경기/NNG+결과/NNG+를/JKO
과학적으로	과학/NNG+적/XSN+으로/JKB
분석	분석/NNG


# id : NWRW1800000026.199.5.1
한국은 지난 12일 남아공월드컵 B조 1차전 그리스와의 경기(2대0 승리)<사진>(한국-그리스전의 FIFA 경기분석 그래픽) 뿐 아니라, 아르헨티나와의 2차전(1대4 패배)에서도 활동력만큼은 상대팀보다 좋았습니다.

한국은	한국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
남아공월드컵	남아공/NNP+월드컵/NNG
B조	B/SL+조/NNG
1차전	1/SN+차전/NNB
그리스와의	그리스/NNP+와/JKB+의/JKG
경기(2대0	경기/NNG+(/SS+2/SN+대/NNB+0/SN
승리)<사진>(한국-그리스전의	승리/NNG+)/SS+</SS+사진/NNG+>/SS+(/SS+한국/NNP+-/SO+그리스전/NNG+의/JKG
FIFA	FIFA/SL
경기분석	경기/NNG+분석/NNG
그래픽)	그래픽/NNG+)/SS
뿐	뿐/JX
아니라,	아니/VCN+라/EC+,/SP
아르헨티나와의	아르헨티나/NNP+와/JKB+의/JKG
2차전(1대4	2/SN+차전/NNB+(/SS+1/SN+대/NNB+4/SN
패배)에서도	패배/NNG+)/SS+에서/JKB+도/JX
활동력만큼은	활동력/NNG+만큼/JKB+은/JX
상대팀보다	상대/NNG+팀/NNG+보다/JKB
좋았습니다.	좋/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000026.199.5.2
FIFA(국제축구연맹) 홈페이지(www.fifa.com)에 나온 양팀 선수들의 이동 거리를 비교해 보면 알 수 있습니다.

FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
홈페이지(www.fifa.com)에	홈페이지/NNG+(/SS+www/SL+./SP+fifa/SL+./SP+com/SL+)/SS+에/JKB
나온	나오/VV+ㄴ/ETM
양팀	양/MMN+팀/NNG
선수들의	선수/NNG+들/XSN+의/JKG
이동	이동/NNG
거리를	거리/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
보면	보/VX+면/EC
알	알/VV+ㄹ/ETM
