# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.318
metadata : {}


# id : NWRW1800000026.318.1.1
北, 워싱턴 향해 화해 손짓?;강석주 등 對美 외교라인 모두 승진

北,	北/SH+,/SP
워싱턴	워싱턴/NNP
향해	향하/VV+아/EC
화해	화해/NNG
손짓?;강석주	손짓/NNG+?/SF+;/SP+강석주/NNP
등	등/NNB
對美	對美/SH
외교라인	외교/NNG+라인/NNG
모두	모두/MAG
승진	승진/NNG


# id : NWRW1800000026.318.2.1
[美에 "관계개선 적극 나서겠다" 메시지]

[美에	[/SS+美/SH+에/JKB
"관계개선	"/SS+관계/NNG+개선/NNG
적극	적극/NNG
나서겠다"	나서/VV+겠/EP+다/EF+"/SS
메시지]	메시지/NNG+]/SS


# id : NWRW1800000026.318.3.1
북한에서 핵(核) 협상과 대미(對美) 외교를 총괄하던 강석주(71) 외무성 제1부상이 내각 부총리로 승진했다고 조선중앙통신이 23일 보도했다.

북한에서	북한/NNP+에서/JKB
핵(核)	핵/NNG+(/SS+核/SH+)/SS
협상과	협상/NNG+과/JC
대미(對美)	대미/NNG+(/SS+對美/SH+)/SS
외교를	외교/NNG+를/JKO
총괄하던	총괄/NNG+하/XSV+던/ETM
강석주(71)	강석주/NNP+(/SS+71/SN+)/SS
외무성	외무성/NNG
제1부상이	제/XPN+1/SN+부상/NNG+이/JKS
내각	내각/NNG
부총리로	부총리/NNG+로/JKB
승진했다고	승진/NNG+하/XSV+았/EP+다고/EC
조선중앙통신이	조선중앙통신/NNP+이/JKS
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.3.2
또 북핵 6자회담 북측 수석대표인 김계관(67) 외무성 부상(차관급)은 외무성 제1부상(수석 차관)에, 6자회담 북측 차석대표인 리용호(56) 외무성 참사는 외무성 부상에 각각 임명됐다고 통신은 전했다.

또	또/MAG
북핵	북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
북측	북측/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
김계관(67)	김계관/NNP+(/SS+67/SN+)/SS
외무성	외무성/NNG
부상(차관급)은	부상/NNG+(/SS+차관급/NNG+)/SS+은/JX
제1부상(수석	제/XPN+1/SN+부상/NNG+(/SS+수석/NNG
차관)에,	차관/NNG+)/SS+에/JKB+,/SP
차석대표인	차석/NNG+대표/NNG+이/VCP+ㄴ/ETM
리용호(56)	리용호/NNP+(/SS+56/SN+)/SS
참사는	참사/NNG+는/JX
부상에	부상/NNG+에/JKB
각각	각각/MAG
임명됐다고	임명/NNG+되/XSV+었/EP+다고/EC
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.3.3
북한 외무성의 대미 외교라인이 모두 승진한 것이다.

북한	북한/NNP
외무성의	외무성/NNG+의/JKG
대미	대미/NNG
외교라인이	외교/NNG+라인/NNG+이/JKS
모두	모두/MAG
승진한	승진/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.318.4.1
◆"대미 외교와 6자회담 등에 적극 나설 듯"

◆"대미	◆/SW+"/SS+대미/NNG
외교와	외교/NNG+와/JC
6자회담	6/SN+자/NNB+회담/NNG
등에	등/NNB+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
듯"	듯/NNB+"/SS


# id : NWRW1800000026.318.5.1
동국대 김용현 교수는 "최근 중국에 기대던 북한이 앞으로는 핵 문제를 고리로 대미 외교와 6자회담 등에 적극 나설 것이란 메시지를 던진 것"이라고 말했다.

동국대	동국대/NNP
김용현	김용현/NNP
교수는	교수/NNG+는/JX
"최근	"/SS+최근/NNG
중국에	중국/NNP+에/JKB
기대던	기대/VV+던/ETM
북한이	북한/NNP+이/JKS
앞으로는	앞/NNG+으로/JKB+는/JX
핵	핵/NNG
문제를	문제/NNG+를/JKO
고리로	고리/NNG+로/JKB
대미	대미/NNG
외교와	외교/NNG+와/JC
6자회담	6/SN+자/NNB+회담/NNG
등에	등/NNB+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
메시지를	메시지/NNG+를/JKO
던진	던지/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.5.2
김정일 국방위원장은 올해 5월과 8월 두 차례 방중(訪中)하며 적극적인 대중 외교를 펼쳤다.

김정일	김정일/NNP
국방위원장은	국방/NNG+위원장/NNG+은/JX
올해	올해/NNG
5월과	5/SN+월/NNB+과/JC
8월	8/SN+월/NNB
두	두/MMN
차례	차례/NNG
방중(訪中)하며	방중/NNG+(/SS+訪中/SH+)/SS+하/XSV+며/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
대중	대중/NNG
외교를	외교/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.318.5.3
그 결과 후계 세습을 인정받는 등 정치적 성과는 있었지만 대규모 경제 지원을 얻어내는 데는 별 소득이 없었다.

그	그/MMD
결과	결과/NNG
후계	후계/NNG
세습을	세습/NNG+을/JKO
인정받는	인정/NNG+받/XSV+는/ETM
등	등/NNB
정치적	정치/NNG+적/XSN
성과는	성과/NNG+는/JX
있었지만	있/VA+었/EP+지만/EC
대규모	대/XPN+규모/NNG
경제	경제/NNG
지원을	지원/NNG+을/JKO
얻어내는	얻/VV+어/EC+내/VX+는/ETM
데는	데/NNB+는/JX
별	별/MMA
소득이	소득/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.318.5.4
오히려 "개혁·개방을 하라"는 압박을 받았다.

오히려	오히려/MAG
"개혁·개방을	"/SS+개혁/NNG+·/SP+개방/NNG+을/JKO
하라"는	하/VV+라/EF+"/SS+는/ETM
압박을	압박/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.318.5.5
예전처럼 대규모 외부 지원을 받으려면 미·북, 남·북 관계 개선이 필요한 상황이다.

예전처럼	예전/NNG+처럼/JKB
대규모	대/XPN+규모/NNG
외부	외부/NNG
지원을	지원/NNG+을/JKO
받으려면	받/VV+으려면/EC
미·북,	미/NNP+·/SP+북/NNP+,/SP
남·북	남·북/NNP
관계	관계/NNG
