# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.453
metadata : {}


# id : NWRW1800000024.453.1.1
포천 군시험장 폭발사고 /국과연<국방과학연구소> 직원 등 6명 사상

포천	포천/NNP
군시험장	군/NNG+시험장/NNG
폭발사고	폭발/NNG+사고/NNG
/국과연<국방과학연구소>	//SP+국과연/NNP+</SS+국방/NNG+과학/NNG+연구소/NNG+>/SS
직원	직원/NNG
등	등/NNB
6명	6/SN+명/NNB
사상	사상/NNG


# id : NWRW1800000024.453.2.1
3일 오전 11시32분께 경기 포천시 창수면 국방과학연구소(ADD) 총포탄약시험장(일명 다락대시험장)에서 155㎜ 포탄 성능 시험 중 폭발 사고가 일어나 국방과학연구소 직원 1명이 숨지고 5명이 중경상을 입었다.

3일	3/SN+일/NNB
오전	오전/NNG
11시32분께	11/SN+시/NNB+32/SN+분/NNB+께/XSN
경기	경기/NNP
포천시	포천시/NNP
창수면	창수면/NNP
국방과학연구소(ADD)	국방/NNG+과학/NNG+연구소/NNG+(/SS+ADD/SL+)/SS
총포탄약시험장(일명	총포/NNG+탄약/NNG+시험장/NNG+(/SS+일명/NNG
다락대시험장)에서	다락대/NNP+시험장/NNG+)/SS+에서/JKB
155㎜	155/SN+㎜/SW
포탄	포탄/NNG
성능	성능/NNG
시험	시험/NNG
중	중/NNB
폭발	폭발/NNG
사고가	사고/NNG+가/JKS
일어나	일어나/VV+아/EC
국방과학연구소	국방/NNG+과학/NNG+연구소/NNG
직원	직원/NNG
1명이	1/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
5명이	5/SN+명/NNB+이/JKS
중경상을	중경상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.453.2.2
이 사고로 국방과학연구소 직원 정기창(40)씨가 숨졌고, 중상자 2명도 국방과학연구소 직원으로 양쪽 팔이 잘리고 전신에 파편이 박힌 것으로 알려졌다.

이	이/MMD
사고로	사고/NNG+로/JKB
국방과학연구소	국방/NNG+과학/NNG+연구소/NNG
직원	직원/NNG
정기창(40)씨가	정기창/NNP+(/SS+40/SN+)/SS+씨/NNB+가/JKS
숨졌고,	숨지/VV+었/EP+고/EC+,/SP
중상자	중상자/NNG
2명도	2/SN+명/NNB+도/JX
직원으로	직원/NNG+으로/JKB
양쪽	양쪽/NNG
팔이	팔/NNG+이/JKS
잘리고	잘리/VV+고/EC
전신에	전신/NNG+에/JKB
파편이	파편/NNG+이/JKS
박힌	박히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.453.2.3
사고의 정확한 원인은 아직 밝혀지지 않았다.

사고의	사고/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
원인은	원인/NNG+은/JX
아직	아직/MAG
밝혀지지	밝혀지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.453.3.1
김영산 방위사업청 대변인은 이날 “견인 곡사포로 155㎜ 포탄 5발을 사격하고 6발째 포탄을 장전해 발사를 준비하다 포신 안에서 폭발했다”며 “이 포탄은 신관이 충격을 받아 탄두가 폭발하므로 곡사포 안에 신관을 넣고 제대로 작동하는지 확인하는 도중 사고가 발생했다”고 밝혔다.

김영산	김영산/NNP
방위사업청	방위/NNG+사업청/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
“견인	“/SS+견인/NNG
곡사포로	곡사포/NNG+로/JKB
155㎜	155/SN+㎜/SW
포탄	포탄/NNG
5발을	5/SN+발/NNB+을/JKO
사격하고	사격/NNG+하/XSV+고/EC
6발째	6/SN+발/NNB+째/XSN
포탄을	포탄/NNG+을/JKO
장전해	장전/NNG+하/XSV+아/EC
발사를	발사/NNG+를/JKO
준비하다	준비/NNG+하/XSV+다/EC
포신	포신/NNG
안에서	안/NNG+에서/JKB
폭발했다”며	폭발/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
포탄은	포탄/NNG+은/JX
신관이	신관/NNG+이/JKS
충격을	충격/NNG+을/JKO
받아	받/VV+아/EC
탄두가	탄두/NNG+가/JKS
폭발하므로	폭발/NNG+하/XSV+므로/EC
곡사포	곡사포/NNG
안에	안/NNG+에/JKB
신관을	신관/NNG+을/JKO
넣고	넣/VV+고/EC
제대로	제대로/MAG
작동하는지	작동/NNG+하/XSV+는지/EC
확인하는	확인/NNG+하/XSV+는/ETM
도중	도중/NNG
사고가	사고/NNG+가/JKS
발생했다”고	발생/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.453.3.2
김 대변인은 “탄약이나 포탄을 양산할 때 일정 물량을 표본으로 뽑아 성능 검사를 한다”며 “이날은 납품 예정인 1만6000발 중 16발을 발사해 성능 검사를 하려 했다”고 말했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
“탄약이나	“/SS+탄약/NNG+이나/JC
포탄을	포탄/NNG+을/JKO
양산할	양산/NNG+하/XSV+ㄹ/ETM
때	때/NNG
일정	일정/NNG
물량을	물량/NNG+을/JKO
표본으로	표본/NNG+으로/JKB
뽑아	뽑/VV+아/EC
성능	성능/NNG
검사를	검사/NNG+를/JKO
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“이날은	“/SS+이날/NNG+은/JX
납품	납품/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
1만6000발	1/SN+만/NR+6000/SN+발/NNB
중	중/NNB
16발을	16/SN+발/NNB+을/JKO
발사해	발사/NNG+하/XSV+아/EC
하려	하/VV+려/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.453.4.1
김 대변인은 “신관 폭발로 추정되나 정확한 사고 원인은 군과 업체가 합동조사반을 편성해 조사중”이라고 말했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
“신관	“/SS+신관/NNG
폭발로	폭발/NNG+로/JKB
추정되나	추정/NNG+되/XSV+나/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
원인은	원인/NNG+은/JX
군과	군/NNG+과/JC
업체가	업체/NNG+가/JKS
합동조사반을	합동/NNG+조사반/NNG+을/JKO
편성해	편성/NNG+하/XSV+아/EC
조사중”이라고	조사/NNG+중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.453.4.2
군 당국은 사고 직후 일반인의 현장 출입을 통제하고 자세한 사고 경위와 원인을 조사중이다.

군	군/NNG
당국은	당국/NNG+은/JX
사고	사고/NNG
직후	직후/NNG
일반인의	일반인/NNG+의/JKG
현장	현장/NNG
출입을	출입/NNG+을/JKO
통제하고	통제/NNG+하/XSV+고/EC
자세한	자세하/VA+ㄴ/ETM
경위와	경위/NNG+와/JC
원인을	원인/NNG+을/JKO
조사중이다.	조사/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.453.5.1
포탄은 탄두와 신관으로 구성되며, 신관은 포탄에 충전된 화약을 점화시키는 장치다.

포탄은	포탄/NNG+은/JX
탄두와	탄두/NNG+와/JC
신관으로	신관/NNG+으로/JKB
구성되며,	구성/NNG+되/XSV+며/EC+,/SP
신관은	신관/NNG+은/JX
포탄에	포탄/NNG+에/JKB
충전된	충전/NNG+되/XSV+ㄴ/ETM
화약을	화약/NNG+을/JKO
점화시키는	점화/NNG+시키/XSV+는/ETM
