# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.387
metadata : {}


# id : NWRW1800000054.387.1.1
"사드 놓고 美와 北·中 사이서 등거리 외교하면 안돼"

"사드	"/SS+사드/NNG
놓고	놓/VV+고/EC
美와	美/SH+와/JC
北·中	北/SH+·/SP+中/SH
사이서	사이/NNG+서/JKB
등거리	등거리/NNG
외교하면	외교/NNG+하/XSV+면/EC
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000054.387.2.1
북한연구소 학술회의

북한연구소	북한연구소/NNP
학술회의	학술회의/NNG


# id : NWRW1800000054.387.3.1
외교·안보 전문가들은 23일 한국 정부가 사드(고고도 미사일 방어 체계) 배치 등 북한 문제를 놓고 미국과 북한·중국 사이에서 등거리 외교를 하듯 하면 안 된다는 의견들을 내놓았다.

외교·안보	외교/NNG+·/SP+안보/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
23일	23/SN+일/NNB
한국	한국/NNP
정부가	정부/NNG+가/JKS
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체계)	체계/NNG+)/SS
배치	배치/NNG
등	등/NNB
북한	북한/NNP
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
미국과	미국/NNP+과/JC
북한·중국	북한/NNP+·/SP+중국/NNP
사이에서	사이/NNG+에서/JKB
등거리	등거리/NNG
외교를	외교/NNG+를/JKO
하듯	하/VV+듯/EC
하면	하/VV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
의견들을	의견/NNG+들/XSN+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.4.1
북한연구소(소장 송봉선)는 이날 서울 중구 프레스센터에서 '새 정부 대북 정책과 김정은 체제 전망'을 주제로 학술회의를 열었다.

북한연구소(소장	북한연구소/NNP+(/SS+소장/NNG
송봉선)는	송봉선/NNP+)/SS+는/JX
이날	이날/NNG
서울	서울/NNP
중구	중구/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
'새	'/SS+새/MMA
정부	정부/NNG
대북	대북/NNG
정책과	정책/NNG+과/JC
김정은	김정은/NNP
체제	체제/NNG
전망'을	전망/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
학술회의를	학술회의/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.387.4.2
자리에서 남광규 매봉통일연구소 소장은 "한·미 관계가 동맹으로 연결된 만큼 문재인 정부가 사드 배치를 놓고 외교적으로 부정적 태도를 갖거나 미·중 간 등거리 입장을 취하는 것은 미국으로부터 동맹에 대한 의혹과 불신을 받을 수 있다"고 했다.

자리에서	자리/NNG+에서/JKB
남광규	남광규/NNP
매봉통일연구소	매봉통일연구소/NNP
소장은	소장/NNG+은/JX
"한·미	"/SS+한·미/NNP
관계가	관계/NNG+가/JKS
동맹으로	동맹/NNG+으로/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
문재인	문재인/NNP
정부가	정부/NNG+가/JKS
사드	사드/NNG
배치를	배치/NNG+를/JKO
놓고	놓/VV+고/EC
외교적으로	외교/NNG+적/XSN+으로/JKB
부정적	부정/NNG+적/XSN
태도를	태도/NNG+를/JKO
갖거나	갖/VV+거나/EC
미·중	미/NNP+·/SP+중/NNP
간	간/NNB
등거리	등거리/NNG
입장을	입장/NNG+을/JKO
취하는	취하/VV+는/ETM
것은	것/NNB+은/JX
미국으로부터	미국/NNP+으로부터/JKB
동맹에	동맹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의혹과	의혹/NNG+과/JC
불신을	불신/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.4.3
문성묵 한국국가전략연구원 통일전략센터장은 "김정은이 핵을 사용하면 죽음을 각오해야 한다는 것을 분명히 알 수 있도록 방위 체계를 갖춰야 하는데 그 첫 번째 조치가 바로 사드"라고 했다.

문성묵	문성묵/NNP
한국국가전략연구원	한국국가전략연구원/NNP
통일전략센터장은	통일/NNG+전략/NNG+센터장/NNG+은/JX
"김정은이	"/SS+김정은/NNP+이/JKS
핵을	핵/NNG+을/JKO
사용하면	사용/NNG+하/XSV+면/EC
죽음을	죽음/NNG+을/JKO
각오해야	각오/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것을	것/NNB+을/JKO
분명히	분명히/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
방위	방위/NNG
체계를	체계/NNG+를/JKO
갖춰야	갖추/VV+어야/EC
하는데	하/VX+는데/EC
그	그/MMD
첫	첫/MMN
번째	번/NNB+째/XSN
조치가	조치/NNG+가/JKS
바로	바로/MAG
사드"라고	사드/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.4.4
남성욱 고려대 행정대학장은 "핵을 보유한 김정은 체제는 김일성·김정일 시대와 다른 양상으로 한국과 국제사회에 대한 위협을 가하고 있다"며 "튼튼한 한·미 공조로 안보를 지켜야 한다"고 했다.

남성욱	남성욱/NNP
고려대	고려대/NNP
행정대학장은	행정대/NNG+학장/NNG+은/JX
"핵을	"/SS+핵/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
김정은	김정은/NNP
체제는	체제/NNG+는/JX
김일성·김정일	김일성/NNP+·/SP+김정일/NNP
시대와	시대/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
양상으로	양상/NNG+으로/JKB
한국과	한국/NNP+과/JC
국제사회에	국제/NNG+사회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위협을	위협/NNG+을/JKO
가하고	가하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"튼튼한	"/SS+튼튼하/VA+ㄴ/ETM
한·미	한·미/NNP
공조로	공조/NNG+로/JKB
안보를	안보/NNG+를/JKO
지켜야	지키/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.5.1
전문가들은 북한과의 대화는 필요하지만 현 단계에선 국제적인 압박 수위를 최대로 끌어올리는 것이 중요하다고 했다.

전문가들은	전문가/NNG+들/XSN+은/JX
북한과의	북한/NNP+과/JKB+의/JKG
대화는	대화/NNG+는/JX
필요하지만	필요/NNG+하/XSA+지만/EC
현	현/MMD
단계에선	단계/NNG+에서/JKB+ㄴ/JX
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
압박	압박/NNG
수위를	수위/NNG+를/JKO
최대로	최대/NNG+로/JKB
끌어올리는	끌어올리/VV+는/ETM
것이	것/NNB+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.5.2
이수석 한양대 특별연구위원은 "남북 대화와 교류는 북한의 비핵화 진전에 따라 진행해야 한다"고 했다.

이수석	이수석/NNP
한양대	한양대/NNP
특별연구위원은	특별/NNG+연구/NNG+위원/NNG+은/JX
"남북	"/SS+남북/NNP
대화와	대화/NNG+와/JC
교류는	교류/NNG+는/JX
북한의	북한/NNP+의/JKG
비핵화	비핵/NNG+화/XSN
진전에	진전/NNG+에/JKB
따라	따르/VV+아/EC
진행해야	진행/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.387.5.3
양욱 한국국방포럼 연구위원은 "핵위협 제거를 위해 김정은-김낙겸(북한 전략군사령관) 등 북한의 핵 리더십에 대한 참수 작전을 진행해야 한다"고도 했다.

양욱	양욱/NNP
한국국방포럼	한국국방포럼/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"핵위협	"/SS+핵/NNG+위협/NNG
제거를	제거/NNG+를/JKO
위해	위하/VV+아/EC
김정은-김낙겸(북한	김정은/NNP+-/SO+김낙겸/NNP+(/SS+북한/NNP
전략군사령관)	전략/NNG+군사령관/NNG+)/SS
등	등/NNB
북한의	북한/NNP+의/JKG
핵	핵/NNG
리더십에	리더십/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
참수	참수/NNG
작전을	작전/NNG+을/JKO
진행해야	진행/NNG+하/XSV+아야/EC
한다"고도	하/VX+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


