# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.19
metadata : {}


# id : NWRW1800000030.19.1.1
獨, 유럽서 혼자만 잘나간다

獨,	獨/SH+,/SP
유럽서	유럽/NNP+서/JKB
혼자만	혼자/NNG+만/JX
잘나간다	잘나가/VV+ㄴ다/EF


# id : NWRW1800000030.19.2.1
•中·인도서 자동차 주문 폭주1990년 통독 이후 최대 호황… 일자리 1년새 40만개 생겨

•中·인도서	•/SW+中/SH+·/SP+인도/NNP+서/JKB
자동차	자동차/NNG
주문	주문/NNG
폭주1990년	폭주/NNG+1990/SN+년/NNB
통독	통독/NNG
이후	이후/NNG
최대	최대/NNG
호황…	호황/NNG+…/SE
일자리	일자리/NNG
1년새	1/SN+년/NNB+새/NNG
40만개	40/SN+만/NR+개/NNB
생겨	생기/VV+어/EF


# id : NWRW1800000030.19.3.1
유럽의 남북 간 경제 격차가 갈수록 심화되고 있다.

유럽의	유럽/NNP+의/JKG
남북	남북/NNG
간	간/NNB
경제	경제/NNG
격차가	격차/NNG+가/JKS
갈수록	갈수록/MAG
심화되고	심화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.3.2
유럽 최대 경제대국 독일은 1990년 통일 이후 최대 호황을 구가하는 반면 그리스, 포르투갈, 스페인 등 남유럽 국가들은 끝 모를 불황에 시달리고 있다.

유럽	유럽/NNP
최대	최대/NNG
경제대국	경제/NNG+대국/NNG
독일은	독일/NNP+은/JX
1990년	1990/SN+년/NNB
통일	통일/NNG
이후	이후/NNG
호황을	호황/NNG+을/JKO
구가하는	구가/NNG+하/XSV+는/ETM
반면	반면/NNG
그리스,	그리스/NNP+,/SP
포르투갈,	포르투갈/NNP+,/SP
스페인	스페인/NNP
등	등/NNB
남유럽	남유럽/NNP
국가들은	국가/NNG+들/XSN+은/JX
끝	끝/NNG
모를	모르/VV+ㄹ/ETM
불황에	불황/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.4.1
BMW, 다임러(벤츠), 폴크스바겐 등 독일 자동차기업들은 올 들어 중국, 인도, 브라질 등에서 주문이 폭주하고 있다.

BMW,	BMW/SL+,/SP
다임러(벤츠),	다임러/NNP+(/SS+벤츠/NNP+)/SS+,/SP
폴크스바겐	폴크스바겐/NNP
등	등/NNB
독일	독일/NNP
자동차기업들은	자동차/NNG+기업/NNG+들/XSN+은/JX
올	올/NNG
들어	들/VV+어/EC
중국,	중국/NNP+,/SP
인도,	인도/NNP+,/SP
브라질	브라질/NNP
등에서	등/NNB+에서/JKB
주문이	주문/NNG+이/JKS
폭주하고	폭주/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.4.2
BMW의 올 1분기(1~3월) 매출은 전년대비 29%나 늘었고 순이익은 274% 급증했다.

BMW의	BMW/SL+의/JKG
올	올/NNG
1분기(1~3월)	1/SN+분기/NNG+(/SS+1/SN+~/SO+3/SN+월/NNB+)/SS
매출은	매출/NNG+은/JX
전년대비	전년/NNG+대비/NNG
29%나	29/SN+%/SW+나/JX
늘었고	늘/VV+었/EP+고/EC
순이익은	순이익/NNG+은/JX
274%	274/SN+%/SW
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.19.4.3
중국의 주문이 전년대비 70% 늘어나는 등 아시아 시장 매출이 전년대비 53% 늘어난 덕분이다.

중국의	중국/NNP+의/JKG
주문이	주문/NNG+이/JKS
전년대비	전년/NNG+대비/NNG
70%	70/SN+%/SW
늘어나는	늘어나/VV+는/ETM
등	등/NNB
아시아	아시아/NNP
시장	시장/NNG
매출이	매출/NNG+이/JKS
53%	53/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.19.4.4
BMW는 생산라인을 늘리고 2000명의 근로자를 추가 고용할 계획이다.

BMW는	BMW/SL+는/JX
생산라인을	생산/NNG+라인/NNG+을/JKO
늘리고	늘리/VV+고/EC
2000명의	2000/SN+명/NNB+의/JKG
근로자를	근로자/NNG+를/JKO
추가	추가/NNG
고용할	고용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.19.5.1
독일 최대 자동차회사 폴크스바겐도 1분기 매출(375억유로·약 60조원)이 전년대비 30% 이상 늘었다.

독일	독일/NNP
최대	최대/NNG
자동차회사	자동차/NNG+회사/NNG
폴크스바겐도	폴크스바겐/NNP+도/JX
1분기	1/SN+분기/NNG
매출(375억유로·약	매출/NNG+(/SS+375/SN+억/NR+유로/NNB+·/SP+약/MMA
60조원)이	60/SN+조/NR+원/NNB+)/SS+이/JKS
전년대비	전년/NNG+대비/NNG
30%	30/SN+%/SW
이상	이상/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.19.5.2
아우디, 다임러 등도 1분기 영업이익이 두자릿수 증가를 기록하며 초호황을 누리고 있다.

아우디,	아우디/NNP+,/SP
다임러	다임러/NNP
등도	등/NNB+도/JX
1분기	1/SN+분기/NNG
영업이익이	영업/NNG+이익/NNG+이/JKS
두자릿수	두/MMN+자릿수/NNG
증가를	증가/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
초호황을	초/XPN+호황/NNG+을/JKO
누리고	누리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.6.1
자동차만 잘나가는 게 아니다.

자동차만	자동차/NNG+만/JX
잘나가는	잘나가/VV+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.19.6.2
독일 최대 화학기업 BASF는 1분기 매출이 전년동기 대비 40% 늘었고, 세계 최대 엔지니어링 기업 지멘스는 1분기 수익이 전년대비 2배로 불었다.

독일	독일/NNP
최대	최대/NNG
화학기업	화학/NNG+기업/NNG
BASF는	BASF/SL+는/JX
1분기	1/SN+분기/NNG
매출이	매출/NNG+이/JKS
전년동기	전년/NNG+동기/NNG
대비	대비/NNG
40%	40/SN+%/SW
늘었고,	늘/VV+었/EP+고/EC+,/SP
세계	세계/NNG
엔지니어링	엔지니어링/NNG
기업	기업/NNG
지멘스는	지멘스/NNP+는/JX
수익이	수익/NNG+이/JKS
전년대비	전년/NNG+대비/NNG
2배로	2/SN+배/NNG+로/JKB
불었다.	불/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.19.7.1
수출실적도 3월 한 달 동안 983억유로(157조원)를 기록, 역대 최고치를 갈아치웠다.

수출실적도	수출/NNG+실적/NNG+도/JX
3월	3/SN+월/NNB
한	한/MMN
달	달/NNB
동안	동안/NNG
983억유로(157조원)를	983/SN+억/NR+유로/NNB+(/SS+157/SN+조/NR+원/NNB+)/SS+를/JKO
기록,	기록/NNG+,/SP
역대	역대/NNG
최고치를	최고/NNG+치/XSN+를/JKO
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.19.7.2
제조업 활황 속에 최근 1년 새 일자리 40만개가 새로 생겼다.

제조업	제조업/NNG
활황	활황/NNG
속에	속/NNG+에/JKB
최근	최근/MAG
1년	1/SN+년/NNB
새	새/NNG
일자리	일자리/NNG
40만개가	40/SN+만/NR+개/NNB+가/JKS
새로	새로/MAG
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.19.7.3
2007년 이후 올 3월 말까지 새로 생긴 일자리는 100만개가 넘는다.

2007년	2007/SN+년/NNB
이후	이후/NNG
올	올/NNG
3월	3/SN+월/NNB
말까지	말/NNB+까지/JX
새로	새로/MAG
생긴	생기/VV+ㄴ/ETM
일자리는	일자리/NNG+는/JX
100만개가	100/SN+만/NR+개/NNB+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000030.19.8.1
반면 남유럽 국가들은 불황의 늪에서 헤어나지 못하고 있다.

반면	반면/NNG
남유럽	남유럽/NNP
국가들은	국가/NNG+들/XSN+은/JX
불황의	불황/NNG+의/JKG
늪에서	늪/NNG+에서/JKB
헤어나지	헤어나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.8.2
IMF 구제금융을 받은 그리스는 국가채무 상환 능력을 의심받으며 제2의 위기에 몰리고 있다.

IMF	IMF/SL
구제금융을	구제/NNG+금융/NNG+을/JKO
받은	받/VV+은/ETM
그리스는	그리스/NNP+는/JX
국가채무	국가/NNG+채무/NNG
상환	상환/NNG
능력을	능력/NNG+을/JKO
의심받으며	의심/NNG+받/XSV+으며/EC
제2의	제/XPN+2/SN+의/JKG
위기에	위기/NNG+에/JKB
몰리고	몰리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.19.8.3
국제 신용평가사인 스탠더드 앤드 푸어스(S&P)는 9일 그리스의 국가 신용등급을 BB-에서 B로 2단계 하향조정했다.

국제	국제/NNG
신용평가사인	신용/NNG+평가사/NNG+이/VCP+ㄴ/ETM
스탠더드	스탠더드/NNP
앤드	앤드/NNP
푸어스(S&P)는	푸어스/NNP+(/SS+S/SL+&/SW+P/SL+)/SS+는/JX
9일	9/SN+일/NNB
그리스의	그리스/NNP+의/JKG
국가	국가/NNG
신용등급을	신용/NNG+등급/NNG+을/JKO
BB-에서	BB/SL+-/SO+에서/JKB
B로	B/SL+로/JKB
2단계	2/SN+단계/NNG
하향조정했다.	하향/NNG+조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.19.8.4
경제성장률은 지난해에 이어 마이너스 성장이 예상된다.

경제성장률은	경제/NNG+성장/NNG+률/XSN+은/JX
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
마이너스	마이너스/NNG
성장이	성장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.19.8.5
스페인, 포르투갈(구제금융 신청) 등 다른 남유럽 국가들도 사정은 비슷하다.

스페인,	스페인/NNP+,/SP
포르투갈(구제금융	포르투갈/NNP+(/SS+구제/NNG+금융/NNG
신청)	신청/NNG+)/SS
등	등/NNB
다른	다른/MMD
남유럽	남유럽/NNP
국가들도	국가/NNG+들/XSN+도/JX
사정은	사정/NNG+은/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000030.19.8.6
유로화 강세로 인한 수출경쟁력 저하와 긴축정책에 따른 내수침체라는 안팎의 이중고에도 시달리고 있다.

유로화	유로화/NNG
강세로	강세/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
수출경쟁력	수출/NNG+경쟁력/NNG
저하와	저하/NNG+와/JC
긴축정책에	긴축/NNG+정책/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
내수침체라는	내수/NNG+침체/NNG+이/VCP+라는/ETM
안팎의	안팎/NNG+의/JKG
이중고에도	이중고/NNG+에/JKB+도/JX
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


