# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.178
metadata : {}


# id : NWRW1800000054.178.1.1
[해도해도 너무한 '님비'] (中) "선진국에선 'NIMBY(Not In My Back Yard·우리 지역엔 안돼)'를 'NIMBI(Now I Must Be Involved·나도 이제 참여)'로 해결"

[해도해도	[/SS+하/VV+아도/EC+하/VV+아도/EC
너무한	너무/MAG+하/XSA+ㄴ/ETM
'님비']	'/SS+님비/NNG+'/SS+]/SS
(中)	(/SS+中/SH+)/SS
"선진국에선	"/SS+선진국/NNG+에서/JKB+ㄴ/JX
'NIMBY(Not	'/SS+NIMBY/SL+(/SS+Not/SL
In	In/SL
My	My/SL
Back	Back/SL
Yard·우리	Yard/SL+·/SP+우리/NP
지역엔	지역/NNG+에/JKB+ㄴ/JX
안돼)'를	안/MAG+되/XSV+어/EC+)/SS+'/SS+를/JKO
'NIMBI(Now	'/SS+NIMBI/SL+(/SS+Now/SL
I	I/SL
Must	Must/SL
Be	Be/SL
Involved·나도	Involved/SL+·/SP+나/NP+도/JX
이제	이제/MAG
참여)'로	참여/NNG+)/SS+'/SS+로/JKB
해결"	해결/NNG+"/SS


# id : NWRW1800000054.178.2.1
강영진 갈등해결연구원장

강영진	강영진/NNP
갈등해결연구원장	갈등/NNG+해결/NNG+연구원장/NNG


# id : NWRW1800000054.178.3.1
"님비 분쟁을 막기 위해 선진국은 무엇보다 '예방적 접근'을 중요시합니다."

"님비	"/SS+님비/NNG
분쟁을	분쟁/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
선진국은	선진국/NNG+은/JX
무엇보다	무엇/NP+보다/JKB
'예방적	'/SS+예방/NNG+적/XSN
접근'을	접근/NNG+'/SS+을/JKO
중요시합니다."	중요/NNG+시/XSN+하/XSV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.178.4.1
국내 유일의 '갈등해결학 박사'인 강영진〈사진〉 한국갈등해결연구원장은 지난달 27일 본지 인터뷰에서 "우리보다 먼저 님비(NIMBY·Not In My Back Yard·내 뒷마당에는 안 된다)를 겪은 미국은 이제 님비를 '새로운 님비(NIMBI)'로 해결하고 있다"고 말했다.

국내	국내/NNG
유일의	유일/NNG+의/JKG
'갈등해결학	'/SS+갈등/NNG+해결학/NNG
박사'인	박사/NNG+'/SS+이/VCP+ㄴ/ETM
강영진〈사진〉	강영진/NNP+〈/SS+사진/NNG+〉/SS
한국갈등해결연구원장은	한국갈등해결연구원장/NNG+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"우리보다	"/SS+우리/NP+보다/JKB
먼저	먼저/MAG
님비(NIMBY·Not	님비/NNG+(/SS+NIMBY/SL+·/SP+Not/SL
In	In/SL
My	My/SL
Back	Back/SL
