# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.217
metadata : {}


# id : NWRW1800000036.217.1.1
엽기 참극 일어나도…‘119만도 못한 112센터’

엽기	엽기/NNG
참극	참극/NNG
일어나도…‘119만도	일어나/VV+아도/EC+…/SE+‘/SS+119/SN+만/JX+도/JX
못한	못/MAG+하/XSA+ㄴ/ETM
112센터’	112/SN+센터/NNG+’/SS


# id : NWRW1800000036.217.2.1
[한겨레] 수원 납치·살인사건 부실수사 파문

[한겨레]	[/SS+한겨레/NNP+]/SS
수원	수원/NNP
납치·살인사건	납치/NNG+·/SP+살인/NNG+사건/NNG
부실수사	부실/NNG+수사/NNG
파문	파문/NNG


# id : NWRW1800000036.217.3.1
통합센터, 지역실정 어둡고

통합센터,	통합/NNG+센터/NNG+,/SP
지역실정	지역/NNG+실정/NNG
어둡고	어둡/VA+고/EC


# id : NWRW1800000036.217.4.1
근무자들 전문성도 떨어져

근무자들	근무자/NNG+들/XSN
전문성도	전문/NNG+성/XSN+도/JX
떨어져	떨어지/VV+어/EF


# id : NWRW1800000036.217.5.1
휴대폰 추적도 현실과 괴리

휴대폰	휴대폰/NNG
추적도	추적/NNG+도/JX
현실과	현실/NNG+과/JKB
괴리	괴리/NNG


# id : NWRW1800000036.217.6.1
치안 최일선에서 국민의 생명과 재산을 보호하기 위해 설치된 경찰 112신고센터의 허술한 체계가 이번 경기도 수원 20대 여성 납치·살해 사건에서 고스란히 드러나면서 경찰에 대한 불신이 커지고 있다.

치안	치안/NNG
최일선에서	최/XPN+일선/NNG+에서/JKB
국민의	국민/NNG+의/JKG
생명과	생명/NNG+과/JC
재산을	재산/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
설치된	설치/NNG+되/XSV+ㄴ/ETM
경찰	경찰/NNG
112신고센터의	112/SN+신고/NNG+센터/NNG+의/JKG
허술한	허술하/VA+ㄴ/ETM
체계가	체계/NNG+가/JKS
이번	이번/NNG
경기도	경기도/NNP
수원	수원/NNP
20대	20/SN+대/NNB
여성	여성/NNG
납치·살해	납치/NNG+·/SP+살해/NNG
사건에서	사건/NNG+에서/JKB
고스란히	고스란히/MAG
드러나면서	드러나/VV+면서/EC
경찰에	경찰/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신이	불신/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.217.6.2
절체절명의 상황에서 112로 구조를 호소했던 무고한 20대 여성이 참혹하게 살해된 사건 뒤로 경찰의 112 신고망에 대한 회의론이 급속히 번지고 있는 것이다.

절체절명의	절체절명/NNG+의/JKG
상황에서	상황/NNG+에서/JKB
112로	112/SN+로/JKB
구조를	구조/NNG+를/JKO
호소했던	호소/NNG+하/XSV+았/EP+던/ETM
무고한	무고하/VA+ㄴ/ETM
20대	20/SN+대/NNB
여성이	여성/NNG+이/JKS
참혹하게	참혹/NNG+하/XSA+게/EC
살해된	살해/NNG+되/XSV+ㄴ/ETM
사건	사건/NNG
