# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.127
metadata : {}


# id : NWRW1800000032.127.1.1
프, 니캅 착용 무슬림 여성에 첫 유죄 판결

프,	프/NNP+,/SP
니캅	니캅/NNG
착용	착용/NNG
무슬림	무슬림/NNG
여성에	여성/NNG+에/JKB
첫	첫/MMN
유죄	유죄/NNG
판결	판결/NNG


# id : NWRW1800000032.127.2.1
경찰법원, 여성 2명에 벌금형 선고…이슬람 ‘발칵’

경찰법원,	경찰/NNG+법원/NNG+,/SP
여성	여성/NNG
2명에	2/SN+명/NNB+에/JKB
벌금형	벌금형/NNG
선고…이슬람	선고/NNG+…/SE+이슬람/NNG
‘발칵’	‘/SS+발칵/MAG+’/SS


# id : NWRW1800000032.127.3.1
프랑스에서 니캅(무슬림 여성이 머리에 둘러쓰는 베일) 착용 혐의로 기소된 피고에 대한 첫 유죄판결이 나왔다.

프랑스에서	프랑스/NNP+에서/JKB
니캅(무슬림	니캅/NNG+(/SS+무슬림/NNG
여성이	여성/NNG+이/JKS
머리에	머리/NNG+에/JKB
둘러쓰는	둘러쓰/VV+는/ETM
베일)	베일/NNG+)/SS
착용	착용/NNG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
피고에	피고/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
첫	첫/MMN
유죄판결이	유죄/NNG+판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.127.3.2
프랑스 무슬림들은 물론 이슬람권 전체가 크게 반발했다.

프랑스	프랑스/NNP
무슬림들은	무슬림/NNG+들/XSN+은/JX
물론	물론/MAG
이슬람권	이슬람/NNG+권/XSN
전체가	전체/NNG+가/JKS
크게	크/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.127.3.3
벌금을 대납해주겠다는 시민이 나오고, 한 무슬림 여성은 니캅 차림으로 2003년 대선 출마를 선언하는 등 프랑스 사회가 술렁이고 있다.

벌금을	벌금/NNG+을/JKO
대납해주겠다는	대납/NNG+하/XSV+아/EC+주/VX+겠/EP+다는/ETM
시민이	시민/NNG+이/JKS
나오고,	나오/VV+고/EC+,/SP
한	한/MMN
무슬림	무슬림/NNG
여성은	여성/NNG+은/JX
니캅	니캅/NNG
차림으로	차림/NNG+으로/JKB
2003년	2003/SN+년/NNB
대선	대선/NNG
출마를	출마/NNG+를/JKO
선언하는	선언/NNG+하/XSV+는/ETM
등	등/NNB
프랑스	프랑스/NNP
사회가	사회/NNG+가/JKS
술렁이고	술렁이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.127.4.1
프랑스 북부지역 ‘모’의 경찰법원은 22일 니캅 착용 혐의로 기소된 자국의 무슬림 여성 힌드 아흐마스(32)와 나자테 나이트 알리(36) 등 2명에 대한 즉결심판에서 각각 120유로와 80유로의 벌금을 선고했다고 <아에프페>(AFP) 통신이 전했다.

프랑스	프랑스/NNP
북부지역	북부/NNG+지역/NNG
‘모’의	‘/SS+모/NNP+’/SS+의/JKG
경찰법원은	경찰/NNG+법원/NNG+은/JX
22일	22/SN+일/NNB
니캅	니캅/NNG
착용	착용/NNG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
자국의	자국/NNG+의/JKG
무슬림	무슬림/NNG
여성	여성/NNG
힌드	힌드/NNP
아흐마스(32)와	아흐마스/NNP+(/SS+32/SN+)/SS+와/JC
나자테	나자테/NNP
나이트	나이트/NNP
알리(36)	알리/NNP+(/SS+36/SN+)/SS
등	등/NNB
2명에	2/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
즉결심판에서	즉결/NNG+심판/NNG+에서/JKB
각각	각각/MAG
120유로와	120/SN+유로/NNB+와/JC
80유로의	80/SN+유로/NNB+의/JKG
벌금을	벌금/NNG+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신이	통신/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.127.4.2
지난 4월 프랑스 의회가 공공장소에서 얼굴을 가리는 니캅 착용을 금지하는 법을 논란 끝에 가결한 이래 유죄판결이 나오기는 이번이 처음이다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
프랑스	프랑스/NNP
의회가	의회/NNG+가/JKS
공공장소에서	공공장소/NNG+에서/JKB
얼굴을	얼굴/NNG+을/JKO
가리는	가리/VV+는/ETM
니캅	니캅/NNG
착용을	착용/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
법을	법/NNG+을/JKO
논란	논란/NNG
끝에	끝/NNG+에/JKB
가결한	가결/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
유죄판결이	유죄/NNG+판결/NNG+이/JKS
나오기는	나오/VV+기/ETN+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.127.5.1
두 여성은 즉각 항소하겠다고 밝혔다.

두	두/MMN
여성은	여성/NNG+은/JX
즉각	즉각/MAG
항소하겠다고	항소/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.127.5.2
상급법원에서도 유죄판결이 유지되면 유럽연합 인권재판소에 제소할 작정이다.

상급법원에서도	상급/NNG+법원/NNG+에서/JKB+도/JX
유죄판결이	유죄/NNG+판결/NNG+이/JKS
유지되면	유지/NNG+되/XSV+면/EC
유럽연합	유럽연합/NNP
인권재판소에	인권/NNG+재판소/NNG+에/JKB
제소할	제소/NNG+하/XSV+ㄹ/ETM
작정이다.	작정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.127.5.3
아흐마스는 “이건 벌금 액수가 문제가 아니라 원칙의 문제다.

아흐마스는	아흐마스/NNP+는/JX
“이건	“/SS+이거/NP+ㄴ/JX
벌금	벌금/NNG
액수가	액수/NNG+가/JKS
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
원칙의	원칙/NNG+의/JKG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.127.5.4
종교적 믿음을 자유롭게 따른다는 이유로 유죄판결을 받는 것을 용납할 수 없다”고 말했다.

종교적	종교/NNG+적/XSN
믿음을	믿음/NNG+을/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
따른다는	따르/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
유죄판결을	유죄/NNG+판결/NNG+을/JKO
받는	받/VV+는/ETM
것을	것/NNB+을/JKO
용납할	용납/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.127.6.1
프랑스 기업인이자 무슬림인 라시드 네카즈는 아랍 위성방송 <알자지라>에 “나의 정부가 유럽연합 헌법을 존중하지 않는 법률을 통과시킨 것을 받아들일 수 없다”며 두 여성의 벌금을 대납하겠다고 밝혔다.

프랑스	프랑스/NNP
기업인이자	기업인/NNG+이/VCP+자/EC
무슬림인	무슬림/NNG+이/VCP+ㄴ/ETM
라시드	라시드/NNP
네카즈는	네카즈/NNP+는/JX
아랍	아랍/NNP
위성방송	위성/NNG+방송/NNG
<알자지라>에	</SS+알자지라/NNP+>/SS+에/JKB
“나의	“/SS+나/NP+의/JKG
정부가	정부/NNG+가/JKS
유럽연합	유럽연합/NNP
헌법을	헌법/NNG+을/JKO
존중하지	존중/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
법률을	법률/NNG+을/JKO
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
두	두/MMN
여성의	여성/NNG+의/JKG
벌금을	벌금/NNG+을/JKO
대납하겠다고	대납/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.127.6.2
“두 여성이 거리를 자유롭게 다닐 수 있도록 돕는 게 중요하다”고도 했다.

“두	“/SS+두/MMN
여성이	여성/NNG+이/JKS
거리를	거리/NNG+를/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
다닐	다니/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕는	돕/VV+는/ETM
게	거/NNB+이/JKS
중요하다”고도	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.127.7.1
남부 아비뇽의 무슬림 여성인권 운동가인 켄자 드리데르는 이날 <에이피>(AP) 통신 인터뷰에서 “니캅 금지법은 무슬림 여성에 대한 가택연금법”이라며 “모든 프랑스 여성의 권리를 지키기 위해 내년 대통령 선거에 니캅을 착용한 채 출마하겠다”고 밝혔다.

남부	남부/NNG
아비뇽의	아비뇽/NNP+의/JKG
무슬림	무슬림/NNG
여성인권	여성/NNG+인권/NNG
운동가인	운동가/NNG+이/VCP+ㄴ/ETM
켄자	켄자/NNP
드리데르는	드리데르/NNP+는/JX
이날	이날/NNG
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“니캅	“/SS+니캅/NNG
금지법은	금지법/NNG+은/JX
여성에	여성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가택연금법”이라며	가택/NNG+연금법/NNG+”/SS+이/VCP+라며/EC
“모든	“/SS+모든/MMN
프랑스	프랑스/NNP
여성의	여성/NNG+의/JKG
권리를	권리/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
내년	내년/NNG
대통령	대통령/NNG
선거에	선거/NNG+에/JKB
니캅을	니캅/NNG+을/JKO
착용한	착용/NNG+하/XSV+ㄴ/ETM
채	채/NNB
출마하겠다”고	출마/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


