# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.266
metadata : {}


# id : NWRW1800000053.266.1.1
[홍수용의 다른 경제]비정규직 자녀를 둔 장관 있는가

[홍수용의	[/SS+홍수용/NNP+의/JKG
다른	다른/MMD
경제]비정규직	경제/NNG+]/SS+비/XPN+정규직/NNG
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
장관	장관/NNG
있는가	있/VA+는가/EF


# id : NWRW1800000053.266.2.1
독일 상공회의소에서 브리지트 셸레 직업교육국장을 만난 건 한국에서 노동개혁의 모델로 하르츠 개혁 열풍이 불던 2015년 10월이었다.

독일	독일/NNP
상공회의소에서	상공/NNG+회의소/NNG+에서/JKB
브리지트	브리지트/NNP
셸레	셸레/NNP
직업교육국장을	직업/NNG+교육국장/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
한국에서	한국/NNP+에서/JKB
노동개혁의	노동/NNG+개혁/NNG+의/JKG
모델로	모델/NNG+로/JKB
하르츠	하르츠/NNP
개혁	개혁/NNG
열풍이	열풍/NNG+이/JKS
불던	불/VV+던/ETM
2015년	2015/SN+년/NNB
10월이었다.	10/SN+월/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.266.2.2
한국의 성과주의 정책을 지지할 것 같던 셸레는 “장년층을 공경하는 아시아 문화권에서 이런 정책이라니” 하며 신기해했다.

한국의	한국/NNP+의/JKG
성과주의	성과주의/NNG
정책을	정책/NNG+을/JKO
지지할	지지/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같던	같/VA+던/ETM
셸레는	셸레/NNP+는/JX
“장년층을	“/SS+장년/NNG+층/XSN+을/JKO
공경하는	공경/NNG+하/XSV+는/ETM
아시아	아시아/NNP
문화권에서	문화/NNG+권/XSN+에서/JKB
이런	이런/MMD
정책이라니”	정책/NNG+이/VCP+라니/EF+”/SS
하며	하/VV+며/EC
신기해했다.	신기하/VA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.266.2.3
독일식 직업교육을 한국이 도입했다 하니 “‘틀’을 가져가기는 쉬워도 중세로부터 내려온 ‘문화’를 가져가기는 힘들 것”이라고 했다.

독일식	독일식/NNG
직업교육을	직업/NNG+교육/NNG+을/JKO
한국이	한국/NNP+이/JKS
도입했다	도입/NNG+하/XSV+았/EP+다/EF
하니	하/VV+니/EC
“‘틀’을	“/SS+‘/SS+틀/NNG+’/SS+을/JKO
가져가기는	가져가/VV+기/ETN+는/JX
쉬워도	쉽/VA+어도/EC
중세로부터	중세/NNG+로부터/JKB
내려온	내려오/VV+ㄴ/ETM
‘문화’를	‘/SS+문화/NNG+’/SS+를/JKO
힘들	힘들/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.266.2.4
노동개혁은 문화개혁이라는 의미를 그때는 읽지 못했다.

노동개혁은	노동/NNG+개혁/NNG+은/JX
문화개혁이라는	문화/NNG+개혁/NNG+이/VCP+라는/ETM
의미를	의미/NNG+를/JKO
그때는	그때/NNG+는/JX
읽지	읽/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.266.3.1
임금보다 더 중요한 게 있다

임금보다	임금/NNG+보다/JKB
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
있다	있/VA+다/EF


# id : NWRW1800000053.266.4.1
노동유연성을 높인 하르츠 개혁이나 고용안정을 이룬 네덜란드의 바세나르 협약 전에 각국이 노동자의 신분 문제로 진통을 겪었다는 말을 들은 적이 없다.

노동유연성을	노동/NNG+유연성/NNG+을/JKO
높인	높이/VV+ㄴ/ETM
하르츠	하르츠/NNP
개혁이나	개혁/NNG+이나/JC
고용안정을	고용/NNG+안정/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
네덜란드의	네덜란드/NNP+의/JKG
바세나르	바세나르/NNP
협약	협약/NNG
전에	전/NNG+에/JKB
각국이	각국/NNG+이/JKS
노동자의	노동자/NNG+의/JKG
신분	신분/NNG
문제로	문제/NNG+로/JKB
진통을	진통/NNG+을/JKO
겪었다는	겪/VV+었/EP+다는/ETM
말을	말/NNG+을/JKO
들은	듣/VV+은/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.266.4.2
새 정부의 비정규직 정책이 논란만 거듭하는 것은 일자리 문제의 핵심을 놓치고 변죽만 울리기 때문이다.

새	새/MMA
정부의	정부/NNG+의/JKG
비정규직	비/XPN+정규직/NNG
정책이	정책/NNG+이/JKS
논란만	논란/NNG+만/JX
거듭하는	거듭/MAG+하/XSV+는/ETM
