# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.34
metadata : {}


# id : NWRW1800000037.34.1.1
친미 3개국 ‘JIBs’는 지구촌 트러블메이커

친미	친미/NNG
3개국	3/SN+개국/NNB
‘JIBs’는	‘/SS+JIBs/SL+’/SS+는/JX
지구촌	지구촌/NNG
트러블메이커	트러블/NNG+메이커/NNG


# id : NWRW1800000037.34.2.1
일본 이스라엘 영국 등 ‘친미(親美) 3개국’의 영문 이니셜을 딴 ‘집스(JIBs)’가 국제사회의 골칫거리로 떠오르고 있다고 니혼게이자이신문이 28일 보도했다.

일본	일본/NNP
이스라엘	이스라엘/NNP
영국	영국/NNP
등	등/NNB
‘친미(親美)	‘/SS+친미/NNG+(/SS+親美/SH+)/SS
3개국’의	3/SN+개국/NNB+’/SS+의/JKG
영문	영문/NNG
이니셜을	이니셜/NNG+을/JKO
딴	따/VV+ㄴ/ETM
‘집스(JIBs)’가	‘/SS+집스/NNG+(/SS+JIBs/SL+)/SS+’/SS+가/JKS
국제사회의	국제/NNG+사회/NNG+의/JKG
골칫거리로	골칫거리/NNG+로/JKB
떠오르고	떠오르/VV+고/EC
있다고	있/VX+다고/EC
니혼게이자이신문이	니혼게이자이신문/NNP+이/JKS
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.2.2
JIBs는 세계 최대 정치리스크 컨설팅 회사인 미국 유라시아그룹의 이언 브레머 회장이 올해 초 만든 조어다.

JIBs는	JIBs/SL+는/JX
세계	세계/NNG
최대	최대/NNG
정치리스크	정치/NNG+리스크/NNG
컨설팅	컨설팅/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
유라시아그룹의	유라시아그룹/NNP+의/JKG
이언	이언/NNP
브레머	브레머/NNP
회장이	회장/NNG+이/JKS
올해	올해/NNG
초	초/NNB
만든	만들/VV+ㄴ/ETM
조어다.	조어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.34.2.3
미국의 쇠퇴로 초래된 무극체제(G0) 시대에 3개국이 지역의 안정판 역할을 하기보다 갈등을 부추기고 있다는 비판을 담고 있다.

미국의	미국/NNP+의/JKG
쇠퇴로	쇠퇴/NNG+로/JKB
초래된	초래/NNG+되/XSV+ㄴ/ETM
무극체제(G0)	무극/NNG+체제/NNG+(/SS+G/SL+0/SN+)/SS
시대에	시대/NNG+에/JKB
3개국이	3/SN+개국/NNB+이/JKS
지역의	지역/NNG+의/JKG
안정판	안정판/NNG
역할을	역할/NNG+을/JKO
하기보다	하/VV+기/ETN+보다/JKB
갈등을	갈등/NNG+을/JKO
부추기고	부추기/VV+고/EC
있다는	있/VX+다는/ETM
비판을	비판/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.34.3.1
먼저 영국.

먼저	먼저/MAG
영국.	영국/NNP+./SF


# id : NWRW1800000037.34.3.2
데이비드 캐머런 영국 총리는 23일 “유럽연합(EU)에 대한 환멸은 과거 어느 때보다 강하다”며 2017년까지 영국의 EU 탈퇴에 대한 찬반 의견을 묻는 국민투표를 시행하겠다고 밝혔다.

데이비드	데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리는	총리/NNG+는/JX
23일	23/SN+일/NNB
“유럽연합(EU)에	“/SS+유럽연합/NNP+(/SS+EU/SL+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
환멸은	환멸/NNG+은/JX
과거	과거/NNG
어느	어느/MMD
때보다	때/NNG+보다/JKB
강하다”며	강하/VA+다/EF+”/SS+며/EC
2017년까지	2017/SN+년/NNB+까지/JX
영국의	영국/NNP+의/JKG
EU	EU/SL
탈퇴에	탈퇴/NNG+에/JKB
찬반	찬반/NNG
의견을	의견/NNG+을/JKO
묻는	묻/VV+는/ETM
국민투표를	국민/NNG+투표/NNG+를/JKO
시행하겠다고	시행/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.34.3.3
이는 전날 프랑수아 올랑드 프랑스 대통령과 앙겔라 메르켈 독일 총리가 ‘엘리제 조약’ 50주년을 맞아 유럽 통합을 위한 협력을 선언한 데 찬물을 끼얹는 내용이었다.

이는	이/NP+는/JX
전날	전날/NNG
프랑수아	프랑수아/NNP
올랑드	올랑드/NNP
프랑스	프랑스/NNP
대통령과	대통령/NNG+과/JC
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리가	총리/NNG+가/JKS
‘엘리제	‘/SS+엘리제/NNP
조약’	조약/NNG+’/SS
50주년을	50/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
유럽	유럽/NNP
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협력을	협력/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
데	데/NNB
찬물을	찬물/NNG+을/JKO
끼얹는	끼얹/VV+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.34.3.4
엘리제 조약은 전쟁을 거듭하던 독일과 프랑스가 화해와 협력을 위해 1963년 프랑스 파리 엘리제궁에서 체결한 조약이다.

엘리제	엘리제/NNP
조약은	조약/NNG+은/JX
전쟁을	전쟁/NNG+을/JKO
거듭하던	거듭/MAG+하/XSV+던/ETM
독일과	독일/NNP+과/JC
프랑스가	프랑스/NNP+가/JKS
화해와	화해/NNG+와/JC
협력을	협력/NNG+을/JKO
위해	위하/VV+아/EC
1963년	1963/SN+년/NNB
프랑스	프랑스/NNP
파리	파리/NNP
엘리제궁에서	엘리제궁/NNP+에서/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
조약이다.	조약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.34.4.1
캐머런 총리는 심지어 EU 탈퇴를 국민투표에 부치는 안을 엘리제 조약 50주년의 전날인 22일 발표하려다 하루 연기했다.

캐머런	캐머런/NNP
총리는	총리/NNG+는/JX
심지어	심지어/MAG
EU	EU/SL
탈퇴를	탈퇴/NNG+를/JKO
국민투표에	국민/NNG+투표/NNG+에/JKB
부치는	부치/VV+는/ETM
안을	안/NNG+을/JKO
엘리제	엘리제/NNP
조약	조약/NNG
50주년의	50/SN+주년/NNB+의/JKG
전날인	전날/NNG+이/VCP+ㄴ/ETM
22일	22/SN+일/NNB
발표하려다	발표/NNG+하/XSV+려다/EC
하루	하루/NNG
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.34.4.2
그는 또 EU가 재정위기를 극복하기 위해 추진 중인 재정 및 금융 감독 통합에도 반대하고 있다.

그는	그/NP+는/JX
또	또/MAG
EU가	EU/SL+가/JKS
재정위기를	재정/NNG+위기/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
재정	재정/NNG
및	및/MAG
금융	금융/NNG
감독	감독/NNG
통합에도	통합/NNG+에/JKB+도/JX
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


