# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.153
metadata : {}


# id : NWRW1800000041.153.1.1
캔버스 대신 그래픽 디스플레이… 조각상 대신 로봇… 예술과 과학, 경계선상의 실험

캔버스	캔버스/NNG
대신	대신/NNG
그래픽	그래픽/NNG
디스플레이…	디스플레이/NNG+…/SE
조각상	조각상/NNG
로봇…	로봇/NNG+…/SE
예술과	예술/NNG+과/JC
과학,	과학/NNG+,/SP
경계선상의	경계선/NNG+상/XSN+의/JKG
실험	실험/NNG


# id : NWRW1800000041.153.2.1
서울대미술관-스위스연방공대 DAW ‘하이브리드 하이라이트’ 전

서울대미술관-스위스연방공대	서울대미술관/NNP+-/SO+스위스연방공대/NNP
DAW	DAW/SL
‘하이브리드	‘/SS+하이브리드/NNG
하이라이트’	하이라이트/NNG+’/SS
전	전/NA


# id : NWRW1800000041.153.3.1
예술을 ‘인간이 지닌 유희적 욕구의 발현’으로 본 영국 동물학자 데즈먼드 모리스는 저서 ‘예술적 원숭이’에서 8가지 미술의 법칙 중 하나로 ‘네오필리아(neophilia)의 법칙’을 제시했다.

예술을	예술/NNG+을/JKO
‘인간이	‘/SS+인간/NNG+이/JKS
지닌	지니/VV+ㄴ/ETM
유희적	유희/NNG+적/XSN
욕구의	욕구/NNG+의/JKG
발현’으로	발현/NNG+’/SS+으로/JKB
본	보/VV+ㄴ/ETM
영국	영국/NNP
동물학자	동물학자/NNG
데즈먼드	데즈먼드/NNP
모리스는	모리스/NNP+는/JX
저서	저서/NNG
‘예술적	‘/SS+예술/NNG+적/XSN
원숭이’에서	원숭이/NNG+’/SS+에서/JKB
8가지	8/SN+가지/NNB
미술의	미술/NNG+의/JKG
법칙	법칙/NNG
중	중/NNB
하나로	하나/NR+로/JKB
‘네오필리아(neophilia)의	‘/SS+네오필리아/NNG+(/SS+neophilia/SL+)/SS+의/JKG
법칙’을	법칙/NNG+’/SS+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.153.3.2
새것을 선호하는 인간의 성향이 예술을 발전시켰다는 것이다.

새것을	새것/NNG+을/JKO
선호하는	선호/NNG+하/XSV+는/ETM
인간의	인간/NNG+의/JKG
성향이	성향/NNG+이/JKS
예술을	예술/NNG+을/JKO
발전시켰다는	발전/NNG+시키/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.153.4.1
8일∼12월 7일 서울대미술관에서 열리는 ‘하이브리드 하이라이트―스위스와 한국: 예술-인간-과학’전은 네오필리아의 법칙이 예술 현장에서 어떤 양상으로 드러나는지 보여준다.

8일∼12월	8/SN+일/NNB+∼/SO+12/SN+월/NNB
7일	7/SN+일/NNB
서울대미술관에서	서울대미술관/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘하이브리드	‘/SS+하이브리드/NNG
하이라이트―스위스와	하이라이트/NNG+―/SS+스위스/NNP+와/JC
한국:	한국/NNP+:/SP
예술-인간-과학’전은	예술/NNG+-/SO+인간/NNG+-/SO+과학/NNG+’/SS+전/NA+은/JX
네오필리아의	네오필리아/NNG+의/JKG
법칙이	법칙/NNG+이/JKS
예술	예술/NNG
현장에서	현장/NNG+에서/JKB
어떤	어떤/MMD
양상으로	양상/NNG+으로/JKB
드러나는지	드러나/VV+는지/EF
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.153.4.2
공동 기획주체는 스위스연방공대 디지털아트위크(DAW).

공동	공동/NNG
기획주체는	기획/NNG+주체/NNG+는/JX
스위스연방공대	스위스연방공대/NNP
디지털아트위크(DAW).	디지털아트위크/NNG+(/SS+DAW/SL+)/SS+./SF


# id : NWRW1800000041.153.4.3
2005년 창설한 DAW는 해마다 페스티벌을 열어 예술과 과학의 경계선 위에서 벌어지는 실험을 꾸준히 소개해 왔다.

2005년	2005/SN+년/NNB
창설한	창설/NNG+하/XSV+ㄴ/ETM
DAW는	DAW/SL+는/JX
해마다	해마다/MAG
페스티벌을	페스티벌/NNG+을/JKO
열어	열/VV+어/EC
예술과	예술/NNG+과/JC
과학의	과학/NNG+의/JKG
경계선	경계선/NNG
위에서	위/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
실험을	실험/NNG+을/JKO
꾸준히	꾸준히/MAG
소개해	소개/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.153.5.1
막바지 준비에 한창인 5일 밤 찾아간 전시장의 모습은 1980년대 서울 어린이회관의 기억을 떠올리게 했다.

막바지	막바지/NNG
준비에	준비/NNG+에/JKB
한창인	한창/NNG+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
밤	밤/NNG
찾아간	찾아가/VV+ㄴ/ETM
전시장의	전시장/NNG+의/JKG
모습은	모습/NNG+은/JX
1980년대	1980/SN+년대/NNB
서울	서울/NNP
어린이회관의	어린이회관/NNP+의/JKG
기억을	기억/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.153.5.2
캔버스나 조각상은 찾아볼 수 없다.

캔버스나	캔버스/NNG+나/JC
조각상은	조각상/NNG+은/JX
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.153.5.3
관람객의 움직임에 감응하는 컴퓨터그래픽 디스플레이, 제멋대로 움직이는 로봇, 아이패드 게임, 탄성 케이블에 줄지어 매달린 음향발생기….

관람객의	관람객/NNG+의/JKG
움직임에	움직임/NNG+에/JKB
감응하는	감응/NNG+하/XSV+는/ETM
컴퓨터그래픽	컴퓨터/NNG+그래픽/NNG
디스플레이,	디스플레이/NNG+,/SP
제멋대로	제멋대로/MAG
움직이는	움직이/VV+는/ETM
로봇,	로봇/NNG+,/SP
아이패드	아이패드/NNP
게임,	게임/NNG+,/SP
탄성	탄성/NNG
케이블에	케이블/NNG+에/JKB
줄지어	줄짓/VV+어/EC
매달린	매달리/VV+ㄴ/ETM
음향발생기….	음향/NNG+발생기/NNG+…/SE+./SF


# id : NWRW1800000041.153.5.4
예술인 듯 예술이 아닌 것 같기도.

예술인	예술/NNG+이/VCP+ㄴ/ETM
듯	듯/NNB
예술이	예술/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같기도.	같/VA+기/ETN+도/JX+./SF


# id : NWRW1800000041.153.5.5
모리스가 기대했던 “막다른 길에 이른 기존 트렌드에 구애받지 않는 새로운 독자적 시각”만은 분명 차고 넘친다.

모리스가	모리스/NNP+가/JKS
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
“막다른	“/SS+막다르/VA+ㄴ/ETM
길에	길/NNG+에/JKB
이른	이르/VA+ㄴ/ETM
기존	기존/NNG
트렌드에	트렌드/NNG+에/JKB
구애받지	구애/NNG+받/XSV+지/EC
않는	않/VX+는/ETM
새로운	새롭/VA+ㄴ/ETM
독자적	독자/NNG+적/XSN
시각”만은	시각/NNG+”/SS+만/JX+은/JX
분명	분명/MAG
차고	차/VV+고/EC
넘친다.	넘치/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.153.6.1
‘로봇 공생’이라는 작품을 선보인 김현주 씨는 반구형 투명플라스틱을 뒤집어쓴 소형 로봇들을 강아지 달래듯 분주히 점검하고 있었다.

‘로봇	‘/SS+로봇/NNG
공생’이라는	공생/NNG+’/SS+이/VCP+라는/ETM
작품을	작품/NNG+을/JKO
선보인	선보이/VV+ㄴ/ETM
김현주	김현주/NNP
씨는	씨/NNB+는/JX
반구형	반구/NNG+형/XSN
투명플라스틱을	투명/NNG+플라스틱/NNG+을/JKO
뒤집어쓴	뒤집어쓰/VV+ㄴ/ETM
소형	소형/NNG
로봇들을	로봇/NNG+들/XSN+을/JKO
강아지	강아지/NNG
달래듯	달래/VV+듯/EC
분주히	분주히/MAG
점검하고	점검/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.153.6.2
전시장 바닥에 불룩 돌출한 모양으로 설치한 5개의 석고 영사막에 눈, 입술, 목젖 등 신체 여러 부위를 근접 촬영한 이미지를 비춰 배경으로 삼았다.

전시장	전시장/NNG
바닥에	바닥/NNG+에/JKB
불룩	불룩/MAG
돌출한	돌출/NNG+하/XSV+ㄴ/ETM
모양으로	모양/NNG+으로/JKB
설치한	설치/NNG+하/XSV+ㄴ/ETM
