# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.246
metadata : {}


# id : NWRW1800000046.246.1.1
[경제포커스] 政治 없는 '經濟 대통령'은 환상

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
政治	政治/SH
없는	없/VA+는/ETM
'經濟	'/SS+經濟/SH
대통령'은	대통령/NNG+'/SS+은/JX
환상	환상/NNG


# id : NWRW1800000046.246.2.1
대통령 신년 회견을 보면서 안타까웠던 것은 대통령의 의도와 국민 인식 사이의 괴리다.

대통령	대통령/NNG
신년	신년/NNG
회견을	회견/NNG+을/JKO
보면서	보/VV+면서/EC
안타까웠던	안타깝/VA+었/EP+던/ETM
것은	것/NNB+은/JX
대통령의	대통령/NNG+의/JKG
의도와	의도/NNG+와/JC
국민	국민/NNG
인식	인식/NNG
사이의	사이/NNG+의/JKG
괴리다.	괴리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.246.2.2
대통령이 모두발언 시간의 절반을 경제 문제에 할애하고 42차례나 '경제'라는 단어를 썼지만 국민의 관심은 온통 정치에 쏠렸다.

대통령이	대통령/NNG+이/JKS
모두발언	모두/NNG+발언/NNG
시간의	시간/NNG+의/JKG
절반을	절반/NNG+을/JKO
경제	경제/NNG
문제에	문제/NNG+에/JKB
할애하고	할애/NNG+하/XSV+고/EC
42차례나	42/SN+차례/NNG+나/JX
'경제'라는	'/SS+경제/NNG+'/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
썼지만	쓰/VV+었/EP+지만/EC
국민의	국민/NNG+의/JKG
관심은	관심/NNG+은/JX
온통	온통/MAG
정치에	정치/NNG+에/JKB
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.246.2.3
대통령은 안팎으로 경제가 어렵고 올인해도 시원찮은 판에 엉뚱한 정치놀음에 한눈을 파는 게 온당한가 하는 생각을 가졌는지 모른다.

대통령은	대통령/NNG+은/JX
안팎으로	안팎/NNG+으로/JKB
경제가	경제/NNG+가/JKS
어렵고	어렵/VA+고/EC
올인해도	올인/NNG+하/XSV+아도/EC
시원찮은	시원찮/VA+은/ETM
판에	판/NNB+에/JKB
엉뚱한	엉뚱하/VA+ㄴ/ETM
정치놀음에	정치/NNG+놀음/NNG+에/JKB
한눈을	한눈/NNG+을/JKO
파는	팔/VV+는/ETM
게	거/NNB+이/JKS
온당한가	온당하/VA+ㄴ가/EF
하는	하/VV+는/ETM
생각을	생각/NNG+을/JKO
가졌는지	가지/VV+었/EP+는지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.246.2.4
그래서 대통령은 정부의 올해 경제정책 방향을 하나씩 열거하며 중요성을 강조했다.

그래서	그래서/MAJ
대통령은	대통령/NNG+은/JX
정부의	정부/NNG+의/JKG
올해	올해/NNG
경제정책	경제/NNG+정책/NNG
방향을	방향/NNG+을/JKO
하나씩	하나/NR+씩/XSN
열거하며	열거/NNG+하/XSV+며/EC
중요성을	중요/NNG+성/XSN+을/JKO
