# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.72
metadata : {}


# id : NWRW1800000056.72.1.1
마크롱 누구?

마크롱	마크롱/NNP
누구?	누구/NP+?/SF


# id : NWRW1800000056.72.1.2
‘인간적 매력 넘치는 자유주의자’

‘인간적	‘/SS+인간/NNG+적/XSN
매력	매력/NNG
넘치는	넘치/VV+는/ETM
자유주의자’	자유주의자/NNG+’/SS


# id : NWRW1800000056.72.2.1
[한겨레] 르펜·트럼프 등 극우 사이에서 눈에 띈 ‘중도’

[한겨레]	[/SS+한겨레/NNP+]/SS
르펜·트럼프	르펜/NNP+·/SP+트럼프/NNP
등	등/NNB
극우	극우/NNG
사이에서	사이/NNG+에서/JKB
눈에	눈/NNG+에/JKB
띈	띄/VV+ㄴ/ETM
‘중도’	‘/SS+중도/NNG+’/SS


# id : NWRW1800000056.72.3.1
중도 우파 피용이 스캔들로 무너지며 행운

중도	중도/NNG
우파	우파/NNG
피용이	피용/NNP+이/JKS
스캔들로	스캔들/NNG+로/JKB
무너지며	무너지/VV+며/EC
행운	행운/NNG


# id : NWRW1800000056.72.4.1
의사집안 엘리트 출신에도 ‘연상녀 로맨스’ 호감

의사집안	의사/NNG+집안/NNG
엘리트	엘리트/NNG
출신에도	출신/NNG+에/JKB+도/JX
‘연상녀	‘/SS+연상녀/NNG
로맨스’	로맨스/NNG+’/SS
호감	호감/NNG


# id : NWRW1800000056.72.5.1
경제 부문에선 친기업적 성향 강해

경제	경제/NNG
부문에선	부문/NNG+에서/JKB+ㄴ/JX
친기업적	친/XPN+기업/NNG+적/XSN
성향	성향/NNG
강해	강하/VA+아/EC


# id : NWRW1800000056.72.6.1
“마크롱을 이해하는 가장 좋은 방법은, 그를 규정짓는 말이 ‘자유’라는 것을 아는 것이다.”

“마크롱을	“/SS+마크롱/NNP+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
가장	가장/MAG
좋은	좋/VA+은/ETM
방법은,	방법/NNG+은/JX+,/SP
그를	그/NP+를/JKO
규정짓는	규정짓/VV+는/ETM
말이	말/NNG+이/JKS
‘자유’라는	‘/SS+자유/NNG+’/SS+이/VCP+라는/ETM
것을	것/NNB+을/JKO
아는	알/VV+는/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000056.72.7.1
프랑스 대선 1차 투표에서 23.86%의 득표율로 결선에 진출한 에마뉘엘 마크롱(39) 후보의 친구이자 경제학자인 마르크 페라치는 <가디언>에 마크롱의 이력을 ‘자유’라는 열쇳말로 설명했다.

프랑스	프랑스/NNP
대선	대선/NNG
1차	1/SN+차/NNB
투표에서	투표/NNG+에서/JKB
23.86%의	23/SN+./SP+86/SN+%/SW+의/JKG
득표율로	득표/NNG+율/XSN+로/JKB
결선에	결선/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
에마뉘엘	에마뉘엘/NNP
마크롱(39)	마크롱/NNP+(/SS+39/SN+)/SS
후보의	후보/NNG+의/JKG
친구이자	친구/NNG+이/VCP+자/EC
경제학자인	경제학자/NNG+이/VCP+ㄴ/ETM
마르크	마르크/NNP
페라치는	페라치/NNP+는/JX
<가디언>에	</SS+가디언/NNP+>/SS+에/JKB
마크롱의	마크롱/NNP+의/JKG
이력을	이력/NNG+을/JKO
‘자유’라는	‘/SS+자유/NNG+’/SS+이/VCP+라는/ETM
열쇳말로	열쇳말/NNG+로/JKB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.72.7.2
그는 “마크롱이 아미앵(마크롱의 고향)을 떠난 이유는 브리지트 트로뇌(마크롱의 아내)와의 자유로운 관계를 위해서였고, 투자은행 로스차일드에 재직한 것은 금전적 자유를 위해서였다.

그는	그/NP+는/JX
“마크롱이	“/SS+마크롱/NNP+이/JKS
아미앵(마크롱의	아미앵/NNP+(/SS+마크롱/NNP+의/JKG
고향)을	고향/NNG+)/SS+을/JKO
떠난	떠나/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
브리지트	브리지트/NNP
트로뇌(마크롱의	트로뇌/NNP+(/SS+마크롱/NNP+의/JKG
아내)와의	아내/NNG+)/SS+와/JKB+의/JKG
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
관계를	관계/NNG+를/JKO
위해서였고,	위하/VV+아서/EC+이/VCP+었/EP+고/EC+,/SP
투자은행	투자/NNG+은행/NNG
로스차일드에	로스차일드/NNP+에/JKB
재직한	재직/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
금전적	금전/NNG+적/XSN
자유를	자유/NNG+를/JKO
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.72.7.3
이후 그가 경제부 장관직을 내려놓은 것도 정치적 자유를 가지기 위함이었다”고 말했다.

이후	이후/NNG
그가	그/NP+가/JKS
경제부	경제부/NNG
장관직을	장관직/NNG+을/JKO
내려놓은	내려놓/VV+은/ETM
것도	것/NNB+도/JX
정치적	정치/NNG+적/XSN
자유를	자유/NNG+를/JKO
가지기	가지/VV+기/ETN
위함이었다”고	위하/VV+ㅁ/ETN+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.72.8.1
2014년 현 사회당 정부에서 최연소 경제장관을 역임하긴 했지만 단 한번도 선출직 공무원으로 일한 적 없는 마크롱이 대선에서 ‘돌풍’을 일으키기까지는 정치적 행운이 뒤따랐다.

2014년	2014/SN+년/NNB
현	현/MMD
사회당	사회당/NNP
정부에서	정부/NNG+에서/JKB
최연소	최/XPN+연소/NNG
경제장관을	경제/NNG+장관/NNG+을/JKO
역임하긴	역임/NNG+하/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
단	단/MMA
한번도	한번/NNG+도/JX
선출직	선출직/NNG
공무원으로	공무원/NNG+으로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없는	없/VA+는/ETM
마크롱이	마크롱/NNP+이/JKS
대선에서	대선/NNG+에서/JKB
‘돌풍’을	‘/SS+돌풍/NNG+’/SS+을/JKO
일으키기까지는	일으키/VV+기/ETN+까지/JX+는/JX
정치적	정치/NNG+적/XSN
행운이	행운/NNG+이/JKS
뒤따랐다.	뒤따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.72.8.2
유력 주자였던 중도 우파 프랑수아 피용 후보가 세비 횡령 스캔들로 무너지며 마크롱에게 시선이 쏠렸다.

유력	유력/NNG
