# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.328
metadata : {}


# id : NWRW1800000052.328.1.1
새누리 선진화법 개정안 11일 발의

새누리	새누리/NNP
선진화법	선진/NNG+화/XSN+법/NNG
개정안	개정안/NNG
11일	11/SN+일/NNB
발의	발의/NNG


# id : NWRW1800000052.328.2.1
[한겨레] “과반 요구하면 본회의 직권상정을”

[한겨레]	[/SS+한겨레/NNP+]/SS
“과반	“/SS+과반/NNG
요구하면	요구/NNG+하/XSV+면/EC
본회의	본회의/NNG
직권상정을”	직권/NNG+상정/NNG+을/JKO+”/SS


# id : NWRW1800000052.328.3.1
“법사위 권한 축소…자구수정만”

“법사위	“/SS+법사위/NNG
권한	권한/NNG
축소…자구수정만”	축소/NNG+…/SE+자구/NNG+수정/NNG+만/JX+”/SS


# id : NWRW1800000052.328.4.1
개정안 직권상정 요구방침

개정안	개정안/NNG
직권상정	직권/NNG+상정/NNG
요구방침	요구/NNG+방침/NNG


# id : NWRW1800000052.328.5.1
정의장 “상임위서 결정” 부정적

정의장	정/NNP+의장/NNG
“상임위서	“/SS+상임위/NNG+서/JKB
결정”	결정/NNG+”/SS
부정적	부정/NNG+적/XSN


# id : NWRW1800000052.328.6.1
야 “타협 기반 걷어차” 강력반발

야	야/NNG
“타협	“/SS+타협/NNG
기반	기반/NNG
걷어차”	걷어차/VV+아/EC+”/SS
강력반발	강력/NNG+반발/NNG


# id : NWRW1800000052.328.7.1
여당 일각도 “국회폭력 되살리기”

여당	여당/NNG
일각도	일각/NNG+도/JX
“국회폭력	“/SS+국회/NNG+폭력/NNG
되살리기”	되살리/VV+기/ETN+”/SS


# id : NWRW1800000052.328.8.1
새누리당은 8일 의원총회를 열어 국회의장의 직권상정 요건을 완화하고, 법제사법위원회가 상임위 통과 법안을 수정할 수 없도록 하는 내용 등이 담긴 국회법 개정안을 발의하기로 했다.

새누리당은	새누리당/NNP+은/JX
8일	8/SN+일/NNB
의원총회를	의원/NNG+총회/NNG+를/JKO
열어	열/VV+어/EC
국회의장의	국회/NNG+의장/NNG+의/JKG
직권상정	직권/NNG+상정/NNG
요건을	요건/NNG+을/JKO
완화하고,	완화/NNG+하/XSV+고/EC+,/SP
법제사법위원회가	법제/NNG+사법/NNG+위원회/NNG+가/JKS
상임위	상임위/NNG
통과	통과/NNG
법안을	법안/NNG+을/JKO
수정할	수정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
하는	하/VX+는/ETM
내용	내용/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
국회법	국회법/NNG
개정안을	개정안/NNG+을/JKO
발의하기로	발의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.8.2
야당은 정의화 국회의장의 직권상정 거부로 노동5법 등 ‘대통령 관심 법안’ 국회 통과가 가로막히자 아예 국회법을 바꿔 법안을 강행하려는 의도라며 비판했다.

야당은	야당/NNG+은/JX
정의화	정의화/NNP
국회의장의	국회/NNG+의장/NNG+의/JKG
직권상정	직권/NNG+상정/NNG
거부로	거부/NNG+로/JKB
노동5법	노동/NNG+5/SN+법/NNG
등	등/NNB
‘대통령	‘/SS+대통령/NNG
관심	관심/NNG
법안’	법안/NNG+’/SS
국회	국회/NNG
통과가	통과/NNG+가/JKS
가로막히자	가로막히/VV+자/EC
아예	아예/MAG
국회법을	국회법/NNG+을/JKO
바꿔	바꾸/VV+어/EC
법안을	법안/NNG+을/JKO
강행하려는	강행/NNG+하/XSV+려는/ETM
의도라며	의도/NNG+이/VCP+라며/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.9.1
2012년 6월부터 시행중인 현행 국회법(일명 ‘국회 선진화법’)에는, 국회의장이 본회의에 안건을 직권상정할 수 있는 경우를 △천재지변 △전시·사변 또는 이에 준하는 국가비상사태 △여야 원내대표가 합의할 때로 엄격히 제한하고 있다.

2012년	2012/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
시행중인	시행/NNG+중/NNB+이/VCP+ㄴ/ETM
현행	현행/NNG
국회법(일명	국회법/NNG+(/SS+일명/NNG
‘국회	‘/SS+국회/NNG
선진화법’)에는,	선진/NNG+화/XSN+법/NNG+’/SS+)/SS+에/JKB+는/JX+,/SP
국회의장이	국회/NNG+의장/NNG+이/JKS
본회의에	본회의/NNG+에/JKB
안건을	안건/NNG+을/JKO
직권상정할	직권/NNG+상정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경우를	경우/NNG+를/JKO
△천재지변	△/SW+천재지변/NNG
△전시·사변	△/SW+전시/NNG+·/SP+사변/NNG
또는	또는/MAG
이에	이/NP+에/JKB
준하는	준하/VV+는/ETM
국가비상사태	국가/NNG+비상사태/NNG
△여야	△/SW+여야/NNG
원내대표가	원내/NNG+대표/NNG+가/JKS
합의할	합의/NNG+하/XSV+ㄹ/ETM
때로	때/NNG+로/JKB
엄격히	엄격히/MAG
제한하고	제한/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.328.10.1
새누리당은 여기에다 ‘재적 의원 과반 이상이 본회의 부의를 요구할 경우’를 추가하기로 했다.

새누리당은	새누리당/NNP+은/JX
여기에다	여기/NP+에다/JKB
‘재적	‘/SS+재적/NNG
의원	의원/NNG
과반	과반/NNG
이상이	이상/NNG+이/JKS
본회의	본회의/NNG
부의를	부의/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
경우’를	경우/NNG+’/SS+를/JKO
추가하기로	추가/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.328.10.2
다만 ‘국민안전에 중대한 침해, 국가 재정경제에 심각한 손해 발생이 우려되는 경우’를 조건으로 하는 방안도 검토하고 있다.

다만	다만/MAG
‘국민안전에	‘/SS+국민/NNG+안전/NNG+에/JKB
중대한	중대/NNG+하/XSA+ㄴ/ETM
침해,	침해/NNG+,/SP
국가	국가/NNG
재정경제에	재정/NNG+경제/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
손해	손해/NNG
발생이	발생/NNG+이/JKS
우려되는	우려/NNG+되/XSV+는/ETM
경우’를	경우/NNG+’/SS+를/JKO
조건으로	조건/NNG+으로/JKB
하는	하/VV+는/ETM
방안도	방안/NNG+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.328.11.1
새누리당은 또 상임위원회에서 통과된 법안 내용을 법사위가 수정할 수 없도록 하는 규정도 개정안에 넣겠다고 밝혔다.

새누리당은	새누리당/NNP+은/JX
또	또/MAG
상임위원회에서	상임/NNG+위원회/NNG+에서/JKB
통과된	통과/NNG+되/XSV+ㄴ/ETM
법안	법안/NNG
내용을	내용/NNG+을/JKO
법사위가	법사위/NNG+가/JKS
