# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.303
metadata : {}


# id : NWRW1800000026.303.1.1
한국, 기술뿐만 아니라 맛과 멋도 함께 팔아야;伊미소니그룹 비토리오 미소니 회장

한국,	한국/NNP+,/SP
기술뿐만	기술/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
맛과	맛/NNG+과/JC
멋도	멋/NNG+도/JX
함께	함께/MAG
팔아야;伊미소니그룹	팔/VV+아야/EC+;/SW+伊/SH+미소니그룹/NNP
비토리오	비토리오/NNP
미소니	미소니/NNP
회장	회장/NNG


# id : NWRW1800000026.303.2.1
한국은 하이테크 면에서 세계 최고입니다.

한국은	한국/NNP+은/JX
하이테크	하이테크/NNG
면에서	면/NNG+에서/JKB
세계	세계/NNG
최고입니다.	최고/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000026.303.2.2
하지만 그 외엔 별로 떠오르는 게 없습니다.

하지만	하지만/MAJ
그	그/NP
외엔	외/NNB+에/JKB+ㄴ/JX
별로	별로/MAG
떠오르는	떠오르/VV+는/ETM
게	거/NNB+이/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000026.303.2.3
요즘 같은 이미지 경쟁 시대에 국가 브랜드를 향상시켜야 살아남을 수 있습니다.

요즘	요즘/NNG
같은	같/VA+은/ETM
이미지	이미지/NNG
경쟁	경쟁/NNG
시대에	시대/NNG+에/JKB
국가	국가/NNG
브랜드를	브랜드/NNG+를/JKO
향상시켜야	향상/NNG+시키/XSV+어야/EC
살아남을	살아남/VV+을/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000026.303.2.4
'한국' 제품이니까 사고 싶게 만들어야 합니다.

'한국'	'/SS+한국/NNP+'/SS
제품이니까	제품/NNG+이/VCP+니까/EC
사고	사/VV+고/EC
싶게	싶/VX+게/EC
만들어야	만들/VV+어야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000026.303.3.1
9일 서울 삼성동에서 만난 이탈리아 명품 브랜드 미소니(Missoni)그룹 비토리오 미소니(50) 회장은 국가브랜드 육성을 거듭 강조했다.

9일	9/SN+일/NNB
서울	서울/NNP
삼성동에서	삼성동/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
이탈리아	이탈리아/NNP
명품	명품/NNG
브랜드	브랜드/NNG
미소니(Missoni)그룹	미소니/NNP+(/SS+Missoni/SL+)/SS+그룹/NNG
비토리오	비토리오/NNP
미소니(50)	미소니/NNP+(/SS+50/SN+)/SS
회장은	회장/NNG+은/JX
국가브랜드	국가/NNG+브랜드/NNG
육성을	육성/NNG+을/JKO
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.303.3.2
오는 11월 열릴 'G20(주요 20개국) 정상회의' 행사 참가국을 대표하는 문화·예술계 인사들을 초청, 한국 문화 체험과 토론의 장을 마련한 'C20(culture 20)'에 참석한 미소니 회장은 "하나의 상품이 아닌 국가 브랜드로 팔아야 하는 시대"라고 말했다.

오는	오/VV+는/ETM
11월	11/SN+월/NNB
열릴	열리/VV+ㄹ/ETM
'G20(주요	'/SS+G/SL+20/SN+(/SS+주요/NNG
20개국)	20/SN+개국/NNB+)/SS
정상회의'	정상/NNG+회의/NNG+'/SS
행사	행사/NNG
참가국을	참가국/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
문화·예술계	문화/NNG+·/SP+예술/NNG+계/XSN
인사들을	인사/NNG+들/XSN+을/JKO
초청,	초청/NNG+,/SP
한국	한국/NNP
문화	문화/NNG
체험과	체험/NNG+과/JC
토론의	토론/NNG+의/JKG
장을	장/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
'C20(culture	'/SS+C/SL+20/SN+(/SS+culture/SL
20)'에	20/SN+)/SS+'/SS+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
미소니	미소니/NNP
회장은	회장/NNG+은/JX
"하나의	"/SS+하나/NR+의/JKG
상품이	상품/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
국가	국가/NNG
브랜드로	브랜드/NNG+로/JKB
팔아야	팔/VV+아야/EC
하는	하/VX+는/ETM
시대"라고	시대/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.303.4.1
전날 청와대에서 김윤옥 여사와 가진 C20 간담회에서도 "한국의 기술뿐만 아니라 맛과 멋을 함께 홍보하라"고 조언했다.

전날	전날/NNG
청와대에서	청와대/NNP+에서/JKB
김윤옥	김윤옥/NNP
여사와	여사/NNG+와/JKB
가진	가지/VV+ㄴ/ETM
C20	C/SL+20/SN
간담회에서도	간담회/NNG+에서/JKB+도/JX
"한국의	"/SS+한국/NNP+의/JKG
기술뿐만	기술/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
맛과	맛/NNG+과/JC
멋을	멋/NNG+을/JKO
함께	함께/MAG
홍보하라"고	홍보/NNG+하/XSV+라/EF+"/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.303.5.1
미소니뿐 아니라 페라가모, 토즈 등 전통과 기술력으로 안정된 소비층을 보유한 이탈리아 대표 브랜드들은 최근 예술, 음식은 물론 페라리 같은 고급차까지 곁들여 '이탈리아식으로 살아라'는 총체적인 이미지 마케팅을 펼치고 있다.

미소니뿐	미소니/NNP+뿐/JX
아니라	아니/VCN+라/EC
페라가모,	페라가모/NNP+,/SP
토즈	토즈/NNP
등	등/NNB
전통과	전통/NNG+과/JC
기술력으로	기술력/NNG+으로/JKB
안정된	안정/NNG+되/XSV+ㄴ/ETM
소비층을	소비/NNG+층/XSN+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
이탈리아	이탈리아/NNP
대표	대표/NNG
브랜드들은	브랜드/NNG+들/XSN+은/JX
최근	최근/MAG
예술,	예술/NNG+,/SP
음식은	음식/NNG+은/JX
물론	물론/MAG
페라리	페라리/NNP
같은	같/VA+은/ETM
고급차까지	고급차/NNG+까지/JX
곁들여	곁들이/VV+어/EC
'이탈리아식으로	'/SS+이탈리아식/NNG+으로/JKB
살아라'는	살/VV+아라/EF+'/SS+는/ETM
총체적인	총체/NNG+적/XSN+이/VCP+ㄴ/ETM
이미지	이미지/NNG
마케팅을	마케팅/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.303.5.2
그의 목표는 고객들이 하루 종일 미소니를 소비하는 것.

그의	그/NP+의/JKG
목표는	목표/NNG+는/JX
고객들이	고객/NNG+들/XSN+이/JKS
하루	하루/NNG
종일	종일/NNG
미소니를	미소니/NNP+를/JKO
소비하는	소비/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000026.303.5.3
음료부터 전자회사까지 다양하게 협업하며 일상을 파고들고 있다.

음료부터	음료/NNG+부터/JX
전자회사까지	전자/NNG+회사/NNG+까지/JX
다양하게	다양/NNG+하/XSA+게/EC
협업하며	협업/NNG+하/XSV+며/EC
일상을	일상/NNG+을/JKO
파고들고	파고들/VV+고/EC
있다.	있/VX+다/EF+./SF


