# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.32
metadata : {}


# id : NWRW1800000030.32.1.1
역대 유엔 사무총장들은… 부트로스-갈리 빼곤 7명 모두 연임

역대	역대/NNG
유엔	유엔/NNP
사무총장들은…	사무총장/NNG+들/XSN+은/JX+…/SE
부트로스-갈리	부트로스/NNP+-/SO+갈리/NNP
빼곤	빼/VV+곤/EC
7명	7/SN+명/NNB
모두	모두/MAG
연임	연임/NNG


# id : NWRW1800000030.32.2.1
1945년 유엔이 출범한 이후 반기문 현 사무총장을 포함해 모두 8명이 사무총장직을 수행했다.

1945년	1945/SN+년/NNB
유엔이	유엔/NNP+이/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
반기문	반기문/NNP
현	현/MMD
사무총장을	사무총장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
8명이	8/SN+명/NNB+이/JKS
사무총장직을	사무총장/NNG+직/NNG+을/JKO
수행했다.	수행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.2.2
이 가운데 연임에 실패한 이집트 출신의 부트로스 부트로스-갈리 6대 사무총장(1992~96)을 제외한 나머지 7명은 모두 재선했다.

이	이/MMD
가운데	가운데/NNG
연임에	연임/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
이집트	이집트/NNP
출신의	출신/NNG+의/JKG
부트로스	부트로스/NNP
부트로스-갈리	부트로스/NNP+-/SO+갈리/NNP
6대	6/SN+대/NNB
사무총장(1992~96)을	사무총장/NNG+(/SS+1992/SN+~/SO+96/SN+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
7명은	7/SN+명/NNB+은/JX
모두	모두/MAG
재선했다.	재선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.32.2.3
부트로스-갈리 전 사무총장도 다른 총장들처럼 재선을 노렸지만, 미국이 자국의 중동정책을 반대했던 그의 연임에 거부권을 행사해 꿈을 접어야 했다.

부트로스-갈리	부트로스/NNP+-/SO+갈리/NNP
전	전/MMD
사무총장도	사무총장/NNG+도/JX
다른	다른/MMD
총장들처럼	총장/NNG+들/XSN+처럼/JKB
재선을	재선/NNG+을/JKO
노렸지만,	노리/VV+었/EP+지만/EC+,/SP
미국이	미국/NNP+이/JKS
자국의	자국/NNG+의/JKG
중동정책을	중동/NNP+정책/NNG+을/JKO
반대했던	반대/NNG+하/XSV+았/EP+던/ETM
그의	그/NP+의/JKG
연임에	연임/NNG+에/JKB
거부권을	거부/NNG+권/XSN+을/JKO
행사해	행사/NNG+하/XSV+아/EC
꿈을	꿈/NNG+을/JKO
접어야	접/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.32.2.4
유엔 사무총장 임기는 5년이며 재선이 가능하다.

유엔	유엔/NNP
사무총장	사무총장/NNG
임기는	임기/NNG+는/JX
5년이며	5/SN+년/NNB+이/VCP+며/EC
재선이	재선/NNG+이/JKS
