# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.203
metadata : {}


# id : NWRW1800000052.203.1.1
욕설·엉만튀…사진 찍어두세요

욕설·엉만튀…사진	욕설/NNG+·/SP+엉만튀/NNG+…/SE+사진/NNG
찍어두세요	찍/VV+어/EC+두/VX+시/EP+어요/EF


# id : NWRW1800000052.203.2.1
‘길거리 괴롭힘’ 1년간 177건 접수

‘길거리	‘/SS+길거리/NNG
괴롭힘’	괴롭힘/NNG+’/SS
1년간	1/SN+년/NNB+간/XSN
177건	177/SN+건/NNB
접수	접수/NNG


# id : NWRW1800000052.203.3.1
언어적 괴롭힘·신체 추행순 많아

언어적	언어/NNG+적/XSN
괴롭힘·신체	괴롭힘/NNG+·/SP+신체/NNG
추행순	추행/NNG+순/NNB
많아	많/VA+아/EF


# id : NWRW1800000052.203.4.1
20대 여성 ㄱ씨는 지난해 황당한 일을 겪었다.

20대	20/SN+대/NNB
여성	여성/NNG
ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
지난해	지난해/NNG
황당한	황당하/VA+ㄴ/ETM
일을	일/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.203.4.2
지하철을 타려고 개찰구를 통과하려는데 뒤에서 기다리던 남성이 “이×아, 빨리 타”라고 자신에게 욕설을 퍼부은 것이다.

지하철을	지하철/NNG+을/JKO
타려고	타/VV+려고/EC
개찰구를	개찰구/NNG+를/JKO
통과하려는데	통과/NNG+하/XSV+려는데/EC
뒤에서	뒤/NNG+에서/JKB
기다리던	기다리/VV+던/ETM
남성이	남성/NNG+이/JKS
“이×아,	“/SS+이/MMD+×/SW+아/JKV+,/SP
빨리	빨리/MAG
타”라고	타/VV+아/EF+”/SS+라고/JKQ
자신에게	자신/NNG+에게/JKB
욕설을	욕설/NNG+을/JKO
퍼부은	퍼붓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.203.4.3
개찰구가 붐비지 않았지만 ㄱ씨 뒤에 바짝 붙어 서 있던 이 남성은 김씨가 개찰구를 빠져나와 뒤를 돌아보자 금세 발걸음을 옮겼다.

개찰구가	개찰구/NNG+가/JKS
붐비지	붐비/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
ㄱ씨	ㄱ/NNG+씨/NNB
뒤에	뒤/NNG+에/JKB
바짝	바짝/MAG
붙어	붙/VV+어/EC
서	서/VV+어/EC
있던	있/VX+던/ETM
이	이/MMD
남성은	남성/NNG+은/JX
김씨가	김/NNP+씨/NNB+가/JKS
개찰구를	개찰구/NNG+를/JKO
빠져나와	빠져나오/VV+아/EC
뒤를	뒤/NNG+를/JKO
