# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.107
metadata : {}


# id : NWRW1800000056.107.1.1
누운 배

누운	눕/VV+ㄴ/ETM
배	배/NNG


# id : NWRW1800000056.107.2.1
[한겨레] 책거리

[한겨레]	[/SS+한겨레/NNP+]/SS
책거리	책거리/NNG


# id : NWRW1800000056.107.3.1
김은실 이화여대 여성학과 교수는 광장의 시기에 한국인들 상당수가 스스로 ‘약자, 주변인, 외부자, 타자’임을 확인하거나 적어도 “그런 것 같다”는 생각을 하게 되었다고 보았습니다.

김은실	김은실/NNP
이화여대	이화여대/NNP
여성학과	여성/NNG+학과/NNG
교수는	교수/NNG+는/JX
광장의	광장/NNG+의/JKG
시기에	시기/NNG+에/JKB
한국인들	한국인/NNG+들/XSN
상당수가	상당수/NNG+가/JKS
스스로	스스로/MAG
‘약자,	‘/SS+약자/NNG+,/SP
주변인,	주변인/NNG+,/SP
외부자,	외부자/NNG+,/SP
타자’임을	타자/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
확인하거나	확인/NNG+하/XSV+거나/EC
적어도	적어도/MAG
“그런	“/SS+그런/MMD
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
되었다고	되/VV+었/EP+다고/EC
보았습니다.	보/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000056.107.3.2
‘비상정국’은 “한국사회를 움직이는 사람들”인 ‘내부자’와 그렇지 않은 ‘외부자’를 알게 하는 시간이었다는 것이죠.

‘비상정국’은	‘/SS+비상/NNG+정국/NNG+’/SS+은/JX
“한국사회를	“/SS+한국/NNP+사회/NNG+를/JKO
움직이는	움직이/VV+는/ETM
사람들”인	사람/NNG+들/XSN+”/SS+이/VCP+ㄴ/ETM
‘내부자’와	‘/SS+내부자/NNG+’/SS+와/JC
그렇지	그렇/VA+지/EC
않은	않/VX+은/ETM
‘외부자’를	‘/SS+외부자/NNG+’/SS+를/JKO
알게	알/VV+게/EC
하는	하/VX+는/ETM
시간이었다는	시간/NNG+이/VCP+었/EP+다는/ETM
것이죠.	것/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000056.107.3.3
(<말과 활> 2017 봄호, 권두비평)

(<말과	(/SS+</SS+말/NNG+과/JC
활>	활/NNG+>/SS
2017	2017/SN
봄호,	봄/NNG+호/NNB+,/SP
권두비평)	권두/NNG+비평/NNG+)/SS


# id : NWRW1800000056.107.4.1
‘촛불 광장’이 대통령 파면과 조기 대선을 불러왔지만 사람들의 분노와 우울함이 새 시대를 향한 희망과 환희로 곧장 이어지는 것 같지는 않습니다.

‘촛불	‘/SS+촛불/NNG
광장’이	광장/NNG+’/SS+이/JKS
대통령	대통령/NNG
파면과	파면/NNG+과/JC
조기	조기/NNG
대선을	대선/NNG+을/JKO
불러왔지만	불러오/VV+았/EP+지만/EC
사람들의	사람/NNG+들/XSN+의/JKG
분노와	분노/NNG+와/JC
우울함이	우울함/NNG+이/JKS
새	새/MMA
시대를	시대/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
희망과	희망/NNG+과/JC
환희로	환희/NNG+로/JKB
곧장	곧장/MAG
이어지는	이어지/VV+는/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000056.107.4.2
그래선가요.

그래선가요.	그래서/MAJ+이/VCP+ㄴ가/EF+요/JX+./SF


# id : NWRW1800000056.107.4.3
서점가에서는 ‘힐링 책’들이 집중적인 관심을 받고 있습니다.

서점가에서는	서점가/NNG+에서/JKB+는/JX
‘힐링	‘/SS+힐링/NNG
책’들이	책/NNG+’/SS+들/XSN+이/JKS
집중적인	집중/NNG+적/XSN+이/VCP+ㄴ/ETM
관심을	관심/NNG+을/JKO
받고	받/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000056.107.4.4
며칠 전 서점에서 비닐 포장에 싸인 예쁜 책 몇 권을 사 들고 와 읽어 보았지만 왠지 몰입이 안 되더군요.

며칠	며칠/NNG
전	전/NNG
서점에서	서점/NNG+에서/JKB
비닐	비닐/NNG
포장에	포장/NNG+에/JKB
싸인	싸이/VV+ㄴ/ETM
예쁜	예쁘/VA+ㄴ/ETM
책	책/NNG
몇	몇/NR
권을	권/NNB+을/JKO
사	사/VV+아/EC
들고	들/VV+고/EC
와	오/VV+아/EC
읽어	읽/VV+어/EC
보았지만	보/VX+았/EP+지만/EC
왠지	왠지/MAG
몰입이	몰입/NNG+이/JKS
안	안/MAG
되더군요.	되/VV+더군/EF+요/JX+./SF


# id : NWRW1800000056.107.4.5
책이 점점 공공적인 가치를 잃고 팬시 상품처럼 변해가는 것은 아닌가 우려도 들었고, 중요한 질문을 던지고 있지만 어렵고 복잡해서 ‘팔리지 않는 책’은 갈수록 나오기 힘들겠구나 걱정이 되었습니다.

책이	책/NNG+이/JKS
점점	점점/MAG
공공적인	공공/NNG+적/XSN+이/VCP+ㄴ/ETM
가치를	가치/NNG+를/JKO
잃고	잃/VV+고/EC
팬시	팬시/NNG
상품처럼	상품/NNG+처럼/JKB
변해가는	변하/VV+아/EC+가/VX+는/ETM
것은	것/NNB+은/JX
아닌가	아니/VCN+ㄴ가/EF
우려도	우려/NNG+도/JX
들었고,	듣/VV+었/EP+고/EC+,/SP
중요한	중요/NNG+하/XSA+ㄴ/ETM
질문을	질문/NNG+을/JKO
던지고	던지/VV+고/EC
있지만	있/VX+지만/EC
어렵고	어렵/VA+고/EC
복잡해서	복잡하/VA+아서/EC
‘팔리지	‘/SS+팔리/VV+지/EC
않는	않/VX+는/ETM
책’은	책/NNG+’/SS+은/JX
갈수록	갈수록/MAG
나오기	나오/VV+기/ETN
힘들겠구나	힘들/VA+겠/EP+구나/EF
걱정이	걱정/NNG+이/JKC
되었습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000056.107.4.6
